#tail	head
COL4A3BP	MARK3
NDUFS1	ALDH2
NDUFS1	HTT
NDUFS1	TAF1
NDUFS1	NTRK1
NDUFS1	TNIP2
EHMT1	HTT
EHMT1	TNIP2
SYN1	PPP2CA
TSC22D1	RPL38
TSC22D1	FN1
AJUBA	HIST1H3J
AJUBA	TCF3
AJUBA	CLASP1
MARK3	TRPC1
MARK3	NTRK1
MARK3	PPP2CA
MARK3	YWHAH
MARK3	TAF1
HIST1H3D	RPL19
HIST1H3D	ACTB
HIST1H3D	RTF2
HIST1H3D	HTT
HIST1H3D	GTPBP4
HIST1H3D	S100A6
HIST1H3D	SSB
ZNF767P	TFCP2
SNRPB2	CD2BP2
SNRPB2	SF1
SNRPB2	CSTF1
SNRPB2	THOC7
SNRPB2	BUD13
TRPC1	SORBS1
TRPC1	SELENOP
TRPC1	EEF1D
ACLY	PHGDH
ACLY	EEF1D
ACLY	KPNA2
ACLY	CTTN
ACLY	TCF3
ACLY	TAF1
ACLY	TNIP2
ACLY	RRBP1
ACLY	NTRK1
ZNF783	OIP5
SPIB	MYC
FN1	PHB2
FN1	SLC39A9
FN1	CAND1
FN1	PPP2CA
FN1	NDUFA2
FN1	RPL13
FN1	ACTB
FN1	GSTP1
FN1	YWHAH
THOC7	CD2BP2
THOC7	SF1
MAPRE3	TFCP2
GSTP1	KPNA2
GSTP1	MYC
GSTP1	EEF1D
GPT	TCF3
GPT	BBOX1
RPL13	TAF1
RPL13	TP53
RPL13	TCF3
RPL13	HIST1H3J
RRM1	SLC9A8
TSR1	PIH1D1
TSR1	CAND1
SORBS1	MYO6
SORBS1	TCF3
SORBS1	SF1
SORBS1	PHGDH
SORBS1	HTT
SORBS1	BUB3
SORBS1	COPS3
PPP2CA	TAF1
PPP2CA	RACGAP1
PPP2CA	NTRK1
PPP2CA	BUB3
PPP2CA	PIH1D1
PPP2CA	MTF1
PPP2CA	CLASP1
PPP2CA	SSB
PPP2CA	RPL19
PPP2CA	CENPO
PPP2CA	RPL38
PPP2CA	HTT
ACTB	HTT
ACTB	MYC
ACTB	VCAN
ACTB	TNIP2
ACTB	CAND1
BUD13	SF1
CENPO	RACGAP1
FTSJ1	MYC
FTSJ1	PHB2
FTSJ1	EEF1D
EIF5	YWHAH
EIF5	TP53
EIF5	RPS15
CLASP1	BUB3
CLASP1	HTT
CLASP1	NTRK1
SSB	NTRK1
SSB	CTTN
SSB	TAF1
SSB	CAND1
RACGAP1	HIST1H3J
RACGAP1	TUBG1
CDK6	RTF2
SF1	CD2BP2
SF1	YWHAH
SF1	CTTN
SF1	EEF1D
SF1	PHB2
SF1	KPNA2
SF1	RRBP1
SF1	MYO6
HIST1H3J	TAF1
HIST1H3J	GTPBP4
MYC	HTT
MYC	COPS3
MYC	TUBG1
SELENOP	TP53
SELENOP	ALDH2
RPL19	PIH1D1
RPL19	CAND1
NTRK1	RRBP1
NTRK1	KPNA2
NTRK1	PHB2
KCNMA1	TCF3
ALDH2	TP53
ALDH2	EEF1D
HTT	EEF1D
HTT	LDHAL6A
RTF2	CTTN
RTF2	PHGDH
RTF2	BBOX1
RTF2	PIH1D1
COPS3	PHGDH
COPS3	CTTN
COPS3	TAF1
EEF1D	PIH1D1
EEF1D	RRBP1
EEF1D	PHGDH
S100A6	TP53
S100A6	CD2BP2
S100A6	KPNA2
CD2BP2	TUBG1
VCAN	TP53
VCAN	PHGDH
VCAN	TCF3
YWHAH	TUBG1
MYO6	CTTN
MYO6	TP53
TP53	TUBG1
TP53	S100B
TP53	XRCC1
TP53	GTPBP4
XRCC1	CAND1
XRCC1	RRBP1
ZNF512	TUBG1
LDHAL6A	PHGDH
MTF1	GTPBP4
KPNA2	PHB2
PHGDH	CAND1
PHGDH	BUB3
TAF1	BUB3
TAF1	TUBG1
CSTF1	TNIP2
TNIP2	CTTN
TNIP2	RPS15
CTTN	BUB3
CAND1	PIH1D1
CAND1	RPS15
CAND1	GTPBP4
PHB2	RRBP1
BUB3	PIH1D1
BUB3	RRBP1
RPS15	RPL38
