#tail	head
CHCHD6	MMGT1
BRINP1	ZNF326
BRINP1	JUN
BRINP1	ANAPC15
REEP5	OR5B21
REEP5	OR2W5
REEP5	GNAL
REEP5	OR52N2
REEP5	ATP1B3
REEP5	GNB1
REEP5	GNGT1
REEP5	PLP1
COBL	PACSIN2
COBL	SEPT2
COBL	JUN
COBL	SNX9
GNB1	GNAL
GNB1	OR5B21
GNB1	OR2W5
GNB1	GNGT1
GNB1	SNX9
GNB1	ATP1B3
GNB1	QRFP
GNB1	CD3E
GNB1	PIK3CA
GNB1	SEPT2
GNB1	OPRM1
GNB1	RTP1
GNB1	JUN
GNB1	CD247
GNB1	PPP1CC
GNB1	OR52N2
GNB1	XPO1
GNB1	BTC
CD3E	CD247
CD3E	PIK3CA
CD3E	JUN
CD3E	HLA-DQB1
CD3E	HNF4A
CD3E	TNF
CD3E	HLA-B
SCIN	OCIAD2
SCIN	PIK3CA
PACSIN2	SNX9
PACSIN2	PIK3CA
PACSIN2	BTC
PACSIN2	SEPT2
PACSIN2	HSPA1A
PACSIN2	BIN1
GNL3	RPS12
GNL3	RRP1B
GNL3	JUN
GNL3	MNDA
GNL3	HNF4A
GNL3	BOP1
GNL3	PPP2R5A
GNL3	NOP58
BTC	GNGT1
BTC	CD247
BTC	PIK3CA
BTC	KRAS
BTC	BIN1
BTC	SNX9
OR5B21	GNGT1
OR5B21	GNAL
OR5B21	RTP1
TPD52L1	SNX9
TPD52L1	SNX5
TPD52L1	AP1S3
RPS12	JUN
RPS12	TNF
RPS12	EIF2S1
RPS12	NOP58
RPS12	ENO1
RPS12	RRP1B
RPS12	DYNC1LI1
RPS12	EIF3D
CEP70	ZNF20
CEP70	MZT2B
CEP70	CCDC85B
CEP70	CDK1
CEP70	SEPT2
CEP70	EIF3D
OR2W5	RTP1
OR2W5	GNGT1
OR2W5	GNAL
DYNC1LI1	JUN
DYNC1LI1	HLA-DQB1
DYNC1LI1	HNF4A
DYNC1LI1	PPP1CC
