#tail	head
FAM171A2	JPH4
NCL	RPS7
NCL	RPS6KB2
NCL	TFDP1
NCL	HNRNPK
NCL	KAT5
NCL	ZMYND11
NCL	GABARAPL1
NCL	CDC7
NCL	VDAC1
NCL	USP7
NCL	DCAF1
NCL	SP1
NCL	POU5F1
NCL	PRKDC
MED14	TCP1
MED14	NEK4
MED14	EGR2
MED14	SP1
MED14	PRKDC
MED14	CEBPA
ARID4A	HIST1H4F
ARID4A	SP1
ARID4A	HIST1H4H
ARID4A	TFDP1
PRIM2	CDC7
PRIM2	KDM1A
PRIM2	MCM7
HNRNPK	RPS7
HNRNPK	SP1
HNRNPK	SMAD4
HNRNPK	POU5F1
HNRNPK	RPS6KB2
HNRNPK	GABARAPL1
HNRNPK	PRKDC
HNRNPK	PHC1
HNRNPK	MAP1LC3B
JPH4	SMYD2
RPS7	RPS6KB2
RPS7	POU5F1
RPS7	GABARAPL1
RPS7	VDAC1
PTCH1	EGR2
PTCH1	HLA-C
PTCH1	SP1
PTCH1	SMAD1
ATF3	RAB1A
ATF3	TNFRSF19
ATF3	IL21R
ATF3	KAT5
ATF3	SP1
ATF3	TP53TG5
ATF3	RNF14
ATF3	IL6
ATF3	RIF1
ATF3	GABARAPL1
ATF3	SMAD4
ARHGEF10	PTRH2
ARHGEF10	RHOB
NRBP1	RIF1
NRBP1	MLF1
POU5F1	SMAD4
POU5F1	TCP1
POU5F1	ZNF281
POU5F1	DCAF1
POU5F1	TCF4
POU5F1	USP7
POU5F1	SP1
POU5F1	PRKDC
C4BPB	PROS1
C4BPB	IL6
C4BPB	NEK4
IL6	HIST1H4H
IL6	PTGDS
IL6	SP1
IL6	HIST1H4F
ZMYND11	TRAF5
HIST1H4H	RIF1
HIST1H4H	HSPH1
HIST1H4H	RAB1A
HIST1H4H	MEAF6
HIST1H4H	KDM1A
HIST1H4H	PRKDC
HIST1H4H	COPRS
HIST1H4H	PHC1
HIST1H4H	GABARAPL1
HIST1H4H	NCOA6
HIST1H4H	HIST1H2AM
HIST1H4H	EGR2
HIST1H4H	KAT5
SP1	GABARAPL1
SP1	TFDP1
SP1	PROS1
SP1	PRKDC
SP1	ZNF281
SP1	TCF4
SP1	DCAF1
SP1	SMAD4
SP1	LYL1
SP1	EGR2
SP1	TAL1
SP1	PTRH2
SP1	MCM7
SP1	APH1A
SP1	KAT5
SP1	NCOA6
SP1	HSPH1
SP1	RAB1A
SP1	PTGDS
MEAF6	HIST1H4F
MEAF6	USP7
MEAF6	KAT5
DCAF1	PRKDC
DCAF1	TP53TG5
APH1A	ASGR1
APH1A	SMAD4
APH1A	TFDP1
ZSCAN20	PPL
ZSCAN20	SMAD1
ZSCAN20	KLK10
RAB1A	CEBPA
RAB1A	GABARAPL1
RAB1A	PRKDC
RAB1A	HIST1H4F
ATP5PD	VDAC1
GABPB1	HSPH1
GABPB1	EGR2
GABPB1	PTRH2
PROS1	CEBPA
MAP1LC3B	TCP1
MAP1LC3B	VDAC1
MAP1LC3B	HSPH1
MAP1LC3B	PRKDC
MAP1LC3B	KRT77
TNFRSF19	TCF4
TNFRSF19	PPL
TNFRSF19	KLK10
TNFRSF19	NEK4
TNFRSF19	TRAF5
TCP1	RPS6KB2
TCP1	HSPH1
TCP1	PRKDC
RNF14	TCF4
RNF14	SMAD1
RNF14	SMAD4
RIF1	KAT5
RIF1	KLK10
RIF1	VDAC1
RIF1	HIST1H4F
CEBPA	RHOB
CEBPA	SMAD4
CEBPA	EGR2
CEBPA	PPL
CEBPA	PTGDS
CEBPA	TFDP1
CEBPA	KAT5
CEBPA	TCF4
CEBPA	ASGR1
CEBPA	NCOA6
PTGDS	HIST1H4F
PHC1	HIST1H4F
PHC1	TFDP1
KDM1A	SMAD4
KDM1A	HIST1H4F
KDM1A	TAL1
KDM1A	LYL1
KDM1A	HIST1H2AM
KDM1A	USP7
KDM1A	TCF4
NEK4	PRKDC
NEK4	COPRS
NEK4	HIST1H2AM
HIST1H2AM	KAT5
HIST1H2AM	HIST1H4F
TAL1	TFDP1
TAL1	TCF4
TAL1	LYL1
LYL1	TCF4
MCM7	TFDP1
MCM7	HIST1H4F
MCM7	MLF1
MCM7	PRKDC
HIST1H4F	COPRS
HIST1H4F	HSPH1
HIST1H4F	GABARAPL1
HIST1H4F	EGR2
HIST1H4F	KAT5
HIST1H4F	PRKDC
RPS6KB2	HSPH1
RPS6KB2	USP7
HSPH1	USP7
HSPH1	GABARAPL1
HSPH1	PRKDC
USP7	KAT5
USP7	TRAF5
USP7	PPL
SMAD1	EGR2
SMAD1	TCF4
SMAD1	SMYD2
ZNF281	EGR2
ZNF281	NCOA6
JAK1	EFNB2
JAK1	IL21R
TFDP1	NCOA6
TFDP1	PRKDC
TFDP1	SMAD4
KAT5	TCF4
GABARAPL1	KRT77
SMAD4	TCF4
NCOA6	PRKDC
PRKDC	TCF4
