#tail	head
ZCCHC3	SDC4
MPG	ESR1
MPG	MOB1A
SRSF3	RBMX
SRSF3	SF1
PAX3	SLC18A2
CFB	IGHG1
CFB	CAMTA1
CFB	KLK3
CFB	DGKG
CDCP1	APOA2
CDCP1	CAMTA1
CDCP1	TIAM1
CDCP1	IGHG1
CROT	APOA2
IGHG1	TIAM1
IGHG1	SHC1
RBMX	CTNNB1
RBMX	PAN2
RBMX	SF1
SDC4	CTNNB1
SDC4	SHC1
SDC4	TNXB
SDC4	COL5A1
EGR1	SF1
EGR1	MGLL
EGR1	MDM2
EGR1	SLC3A2
MDM2	HIST1H4A
MDM2	KLK3
MDM2	HSP90AA1
MDM2	SUV39H1
SELENOK	BID
SELENOK	NOS3
POT1	TBCD
SHC1	HSP90AA1
CES2	BID
ESR1	PDPK1
ESR1	SUV39H1
ESR1	CTNNB1
ESR1	GDPD1
ESR1	SGK1
CEBPA	ALDH1A1
EFNA1	CTNNB1
EFNA1	SGK1
EFNA1	TIAM1
SGK1	PDPK1
APOA2	BID
CTNNB1	PRKCZ
CTNNB1	CAND1
CTNNB1	SUV39H1
CTNNB1	SF1
TNXB	COL5A1
TNXB	ELN
CAND1	HIST1H4A
HSP90AA1	NOS3
HSP90AA1	PDPK1
TIAM1	KLK3
ELN	COL5A1
ELN	TNC
STOM	SF1
SLC3A2	NOS3
SLC3A2	SF1
KANK2	NOS3
SF1	GDPD1
ALDH1A1	BID
PRDX6	SLC18A2
KLK3	HIST1H4A
