#tail	head
EYA2	EPHB3
SDHC	HNF4A
SDHC	FLOT2
PDE4B	NOG
PDE4B	PYGB
PDE4B	IFNG
PDE4B	PDZRN4
ATP6AP1	PHGDH
ATP6AP1	PYGB
ATP6AP1	SF1
ATP6AP1	AQP1
SEC23A	PPP1CB
SEC23A	CDK2
SEC23A	PHGDH
SEC23A	HLA-G
EPHX1	GSTM4
EPHX1	NXF1
TRAF3IP3	APP
COPZ2	KIF26B
TUBB2A	TP53
C1orf94	PRKAG1
GNB1	CXCL2
GNB1	PHGDH
GNB1	OR5I1
GNB1	TFDP1
GNB1	NAPA
GNB1	KCNJ9
GNB1	SNCA
GNB1	NRG2
NAPA	PON2
NAPA	HSPH1
NAPA	ACTN4
APH1A	NXF1
APH1A	HNF4A
APH1A	NOTCH4
ARFGAP3	APP
ARFGAP3	OGA
INO80	HIST1H3C
INO80	ACTN4
INO80	MAX
PACSIN2	VAMP8
ATP1B2	SLC1A5
ATP1B2	KCNN4
ATP1B2	KCNJ9
ATP1B2	GRIA1
SLC38A10	PPIB
PHB	EIF3K
PHB	PTMA
PHB	SDHB
PHB	ACTB
PHB	FLOT2
APOA4	OR3A2
APOA4	SLC1A5
APOA4	F7
APOA4	FAM71E2
APOA4	KRT10
APOA4	KRT1
DLL3	CXCR2
CDK2	AHNAK
CDK2	SORT1
CDK2	PPIB
CDK2	TP53
CDK2	NUMA1
CDK2	AKT1
CDK2	ZBTB16
CDK2	RPS7
CDK2	EP300
CDK2	APP
CDK2	PHGDH
EBF2	UQCC2
EBF2	CA7
F7	HNF4A
F7	GFAP
F7	CST3
SLC39A8	HDAC4
SLC39A8	KRT10
SLC39A8	PTK2
SLC39A8	PDIA3
SLC39A8	MMP9
SLC39A8	NOG
SLC39A8	MAX
COPB1	NXF1
FARSB	PYGB
FARSB	NXF1
FARSB	ACTB
LGALS3	APP
LGALS3	SLC1A5
LGALS3	HRAS
AKT1	PRKAG1
AKT1	PPP1CB
AKT1	APP
AKT1	AHNAK
AKT1	HRAS
AKT1	ACTB
AKT1	PKN2
HRAS	IFNB1
HRAS	NRG2
HRAS	KAT2A
KDM3B	MOV10
KDM3B	EGLN3
KDM3B	GTF3A
FZR1	SEM1
GRIA1	NOG
PYGB	KATNAL2
PYGB	APP
CD3EAP	ERCC6
CD3EAP	EP300
CD3EAP	SRSF2
CD3EAP	BAZ1B
CD3EAP	MAX
PKN2	HNF4A
PKN2	PPIB
RPL7	EIF3K
RPL7	TP53
RPL7	RNPS1
RPL7	OGA
RPL7	HSPH1
RPL7	OBSL1
RPL7	RPS28
RPL7	MOV10
MRPS35	CAND1
MRPS35	SLC1A5
MRPS35	HNF4A
PDIA3	IFNG
AHSA1	SF1
GFAP	PDZRN4
GFAP	KRT1
PGF	TP53
PGF	IFNG
PGF	PLCG1
ERCC6	IFNB1
ERCC6	HNF4A
ERCC6	THPO
ERCC6	APP
ERCC6	SMARCA5
TOP2A	TP53
TOP2A	NOG
IL2RA	IL9
IL2RA	REL
MRPL39	MRPL9
ELMOD1	THG1L
SRSF2	OBSL1
SRSF2	MAX
USP37	HNF4A
ATP4A	AHNAK
ATP4A	VAMP8
NUMA1	EIF3M
NUMA1	NXF1
NUMA1	TP53
NUMA1	HSPH1
IFNAR2	IL9
GALK1	ASB14
RPS7	SNCA
RPS7	C1D
RPS7	HIST1H2BE
RPS7	RPS28
IGKV1-5	CRK
IGKV1-5	TRAT1
OR5I1	MAG
P3H1	RNPS1
P3H1	COL2A1
P3H1	PPIB
AHNAK	SF1
AHNAK	ACTB
AHNAK	OGA
AHNAK	TP53
ACTB	BAZ1B
ACTB	GTF3A
ACTB	KRT10
ACTB	EIF3M
ACTB	SNCA
ACTB	SLC25A6
ACTB	HIST1H2BE
PDZRN4	CST3
PDZRN4	SLC1A5
PDZRN4	FAM71E2
PDZRN4	OBSL1
MAX	KCNN4
MAX	EIF3K
MAX	RUVBL2
MAX	SMARCA5
MAX	UBL5
MAX	CHRM1
LTV1	RPS28
LTV1	APP
LTV1	VHL
EXOSC9	UTP14A
CCL4	CLEC4E
PAPOLA	SLC4A7
MMP9	COL2A1
MMP9	CXCR2
MMP9	IL1A
FAM71E2	OR3A2
FAM71E2	SLC1A5
BAZ1B	HIST1H3C
BAZ1B	OGA
RNF138	APP
ATP6V0C	AQP1
ATP6V0C	ATP6V0E1
ATP6V0C	SF1
ATP6V0C	PRKAG1
AQP1	FLOT2
REL	SEM1
REL	EP300
REL	EGLN3
NACC1	GTF3A
SF1	PRKAG1
HIST1H3C	POLD3
HIST1H3C	HIST1H2BE
HIST1H3C	RPS28
HIST1H3C	TAF6
FLOT2	CAND1
FLOT2	ACTN4
FLOT2	ARNT
FLOT2	OBSL1
NXF1	RUVBL2
NXF1	OBSL1
ACOX1	HNF4A
ACOX1	NOG
EGLN3	BCOR
EGLN3	PHGDH
EGLN3	SEM1
EGLN3	SORT1
EGLN3	KATNAL2
PPP1CB	ACTN4
PPP1CB	PHGDH
PTMA	HDAC4
PTMA	GTF3A
PTMA	TP53
HDAC4	HNF4A
HDAC4	NOG
HDAC4	ACTN4
CXCL2	PON2
CXCL2	IFNG
KRT10	IL1A
KRT10	OR3A2
KRT10	SLC1A5
KRT10	CST3
KRT10	SLC4A7
KRT10	KRT1
KRT10	ACTN4
MOV10	PPIB
MOV10	TP53
MOV10	PHGDH
MOV10	ZFC3H1
MOV10	TMED3
DNAH12	APP
NOG	THPO
NOG	PPIB
NOG	TMEM139
NOG	YIPF6
NOG	MME
NOG	HSPH1
NOG	COL4A6
NOG	TRIM8
TMED3	KIF26B
EIF3K	VHL
EIF3K	RPS28
EIF3K	HNF4A
EIF3K	EIF3M
EIF3K	EIF1B
TEK	CRK
TEK	PTK2
CA7	SLC4A10
EIF3M	EIF1B
ATP6V0E1	SLC25A6
OGA	GTF3A
OGA	ARNT
RUVBL2	APP
RUVBL2	HNF4A
RUVBL2	SMARCA5
RUVBL2	MME
CRK	PTK2
GSTM4	HNF4A
SDHB	CAND1
PRKAG1	KCNN4
IL1A	ARNT
PRPF4B	RNPS1
PRPF4B	HNF4A
HSPH1	PHGDH
HSPH1	EP300
