#tail	head
MRPS26	GFM2
ACAA1	SPINT1
ACAA1	PLEKHA7
ACAA1	MRPL42
ACAA1	HADHA
RPL36AL	SSR2
SRPK2	LMNA
KPNA6	LMNA
AXIN1	RPS27A
AXIN1	NCK2
AXIN1	PSMA6
AXIN1	ESR1
HIST1H2BJ	RAD21
HIST1H2BJ	UBE2V2
HIST1H2BJ	ESR1
HIST1H2BJ	RPS27A
HIST1H2BJ	HOXB2
RPL5	RAD21
RPL5	GSK3A
RPL5	SPINT1
RPL5	LMNA
MRPL11	MRPL10
MRPL11	MRRF
TPR	NCBP1
TPR	SF3B6
TPR	KPNB1
TPR	NDUFB7
TPR	CDK7
ZRSR2	NCBP1
IFI16	RAE1
REXO4	FGF8
HIST1H1A	CDK7
LZIC	GABPB2
GINS1	GINS4
SPINT1	KPNB1
SPINT1	HADHA
SPINT1	OLA1
HIST1H3H	DNMT3A
HIST1H3H	CBX4
HIST1H3H	BUB3
HIST1H3H	LMNA
HIST1H3H	RAD21
CKMT1A	ESR1
SF3B6	NCBP1
RAE1	SMTN
GABPB2	ZNF687
GABPB2	NCBP1
GABPB2	C10orf25
UBE3A	UBE2V2
UBE3A	ESR1
UBE2V2	BCL10
UBE2V2	ASB3
ESR1	CDK7
ESR1	SKP2
ESR1	RPS27A
ESR1	DNMT3A
ESR1	MAP3K1
GABPB1	EIF3D
GABPB1	FBXW9
NDUFS7	INTS1
NDUFS7	NDUFB7
E2F1	BUB3
E2F1	SKP2
FBXW9	COMMD9
RPS27A	DDOST
RPS27A	BUB3
RPS27A	RAD21
NCBP1	INTS1
NCBP1	KPNB1
NCBP1	SMTN
NCBP1	PLEKHA7
NCBP1	CDK7
MYH9	SMN1
MYH9	PLEKHA7
PLEKHA7	RRBP1
PLEKHA7	BUB3
PLEKHA7	USP20
PBX4	GINS4
KPNB1	RRBP1
KPNB1	SMTN
BUB3	RAD21
BUB3	PSMA6
BUB3	RRBP1
RRBP1	SMN1
RRBP1	RPL38
OLA1	SMTN
MRPL10	MRPL3
SLX1A	SMN1
BCL10	CARD14
SMTN	SMN1
