#tail	head
P2RX5	ATP2A3
HIST1H2BN	RNF40
HIST1H2BN	SPI1
HIST1H2BN	ASH2L
AIMP1	SHKBP1
AIMP1	JUN
SPSB1	ELOB
NUP153	KPNB1
NUP153	CDK1
EZR	SPTAN1
EZR	PPA2
ZC3H4	NTRK1
MCM4	CDK1
MCM4	EP300
MCM4	MCM3
MCM4	RPA2
MCM3	SHKBP1
MCM3	SPTAN1
MCM3	JUN
MCM3	EP300
MCM3	NTRK1
MCM3	RPA2
CASP2	EEF1A1
TBP	HNRNPK
TBP	SPI1
TBP	HNF4A
TBP	TAF9
TBP	HAPLN1
IRS2	IL15RA
IRS2	CDK1
IRS2	IGKV2D-40
IRS2	JAK3
IRS2	NTRK1
MTM1	NTRK1
USP22	CDK1
RPA2	EFTUD2
IL15RA	JAK3
IL15RA	CSF3R
RRM1	ATP1B3
RRM1	NTRK1
RRM1	SLC9A8
RRM1	SLC5A9
RRM1	FASN
PSMD11	ELOB
PSMD11	CYLD
PSMD11	NTRK1
HNRNPK	SF3B3
HNRNPK	CRK
HNRNPK	VCAM1
HNRNPK	JUN
HNRNPK	EFTUD2
HNRNPK	RAB7A
HNRNPK	CPSF4
HNRNPK	CPSF3
CPSF3	CPSF4
CPSF3	EFTUD2
TPRKB	METTL1
NCKAP1L	SH2D2A
SLC5A9	ATP1B3
PKN1	CHRM4
NLRP1	CP
CSF3R	IFNA14
CSF3R	JAK3
CDK1	TNF
CDK1	EFTUD2
CDK1	BTRC
CDK1	JAK3
CDK1	DLG1
JAK3	IFNA16
JAK3	GHR
JAK3	TNF
KPNB1	JUN
KPNB1	HADHB
KPNB1	ANXA6
PFKL	EEF1A1
PFKL	HADHB
PFKL	EFTUD2
SPTAN1	EEF1A1
SPTAN1	HADHB
SPTAN1	DLG1
SPTAN1	ASH2L
SPTAN1	SORBS3
SPTAN1	TBC1D2
SORBS3	CCDC22
SORBS3	CACNA1D
SHKBP1	DLG1
SHKBP1	FASN
SHKBP1	PDZK1
SHKBP1	EEF1A1
SHKBP1	HADHB
KDM6B	ASH2L
KDM6B	JUN
EEF1A1	VCAM1
EEF1A1	EP300
EEF1A1	JUN
EEF1A1	ECPAS
EEF1A1	RAB7A
EEF1A1	TNF
SPI1	TNF
SPI1	JUN
ARHGEF39	JUN
IGKV2D-40	IL1RAP
BTRC	GHR
BTRC	EP300
BTRC	GH2
BTRC	HNF4A
NTRK1	FASN
NTRK1	SRSF9
NTRK1	HADHB
NTRK1	DLG1
NTRK1	FEN1
ATP2A3	DLG1
TAF9	EFTUD2
TAF9	HNF4A
VEGFD	CRK
IFNA16	GRM6
IFNA16	EP300
EIF3M	EFTUD2
EIF3M	CYLD
EIF3M	CP
CRK	JUN
GHR	IL1RAP
GHR	IFNA14
GHR	ELOB
CYLD	JUN
CYLD	TNF
CPSF4	SF3B3
CPSF4	EFTUD2
CPSF4	HTRA4
HNF4A	ZNF451
HNF4A	EFTUD2
HNF4A	RNF40
HNF4A	PDZK1
HNF4A	IL1RAP
CP	JUN
ELOB	CCDC22
ELOB	EFTUD2
RAB7A	VPS16
EFTUD2	RNF40
EFTUD2	SF3B3
ATP1B3	DLG1
TNF	GRM6
TNF	EP300
TNF	IL1RAP
EP300	FEN1
HADHB	JUN
SF3B3	SRSF9
SF3B3	JUN
IFNA14	IL1RAP
IFNA14	GRM6
FEN1	JUN
