#tail	head
RWDD1	NRF1
IKBKE	PSMC2
IKBKE	BIRC3
IKBKE	PSMB1
IKBKE	TRAF3IP2
GCNT4	PLOD3
GCNT4	PIGH
GCNT4	UGT1A7
RBP4	HNF1A
RBP4	JUN
HNF1A	DLG2
HNF1A	JUN
HNF1A	ZEB1
HNF1A	TMEM51
HNF1A	NR6A1
STIM1	PPP3CA
STIM1	IFNG
STIM1	MLH1
STIM1	ACTN2
STIM1	SLC8B1
PGR	HSD17B1
PGR	PIAS3
PGR	VSX1
PGR	NEDD4
NR3C1	JUN
NR3C1	PPP3CA
NR3C1	HSD17B1
NR3C1	NEDD4
SORBS2	SDC4
SORBS2	MYL12B
SORBS2	ACTR2
SORBS2	PHGDH
SORBS2	DENND1A
SORBS2	PPP1CA
BMP1	COL1A2
BMP1	COL5A3
NRF1	SLC22A18AS
NRF1	GNG10
NRF1	HMOX1
NRF1	PLOD3
NRF1	MLH1
SDC4	MYL12B
SDC4	COL1A2
SDC4	IFNG
SDC4	ACTR2
SDC4	PHGDH
SDC4	DENND1A
PPP1CA	JUN
PPP1CA	PHGDH
DENND1A	CLTB
DENND1A	PHGDH
RHOG	ACTR2
PPP3CB	ACTN2
PPP3CB	JUN
PPP3CB	ZEB1
PPP3CB	ATP2B4
PPP3CB	PPP3CA
PPP3CB	DLG2
PPP3CB	IFNG
PPP3CB	TRBC1
COL1A2	ACTN2
COL1A2	PLOD3
COL1A2	LAMA5
COL1A2	JUN
GJC2	ADRA1B
DNMT3L	JUN
IL2RG	CYFIP2
IL2RG	IFNG
IL2RG	TRBC1
IL2RG	STAT1
IL2RG	INPP5D
DEFB103B	AQP6
ACTR2	CLTB
ACTR2	VAMP8
TAB2	BIRC3
TAB2	JUN
TAB2	TRADD
TAB2	ZEB1
PSMC2	PSMB1
PSMC2	NDRG1
PSMC2	JUN
PSMC2	BIRC3
PSMC2	BUB1B
LAMA5	ACTN2
LAMA5	TMPRSS6
IFNG	TRBC1
IFNG	TRADD
IFNG	BIRC3
IFNG	JUN
IFNG	HMOX1
PSMB1	JUN
PSMB1	PSMD14
PSMB1	PSMA6
PSMB1	BUB1B
ZEB1	DLG2
ZEB1	SLA2
ZEB1	TRAF3IP2
PHGDH	STAT1
PHGDH	CLTB
PHGDH	JUN
BUB1B	PSMA6
BUB1B	PSMD14
BUB1B	PMF1
VAMP8	CLTB
VAMP8	INPP5D
CYFIP2	ERBB3
CYFIP2	BIRC3
CYFIP2	GNG10
CYFIP2	VSX1
PIGH	UGT1A7
PIGH	GXYLT1
HSD17B1	HSD17B6
HSD17B1	UGT1A7
NDRG1	ERBB3
CENPL	PMF1
GNG10	INPP5D
GNG10	ERBB3
GNG10	ADRA1B
AQP6	HMOX1
GAP43	VSX1
SLC22A18AS	JUN
INPP5D	ERBB3
PLOD3	GXYLT1
PLOD3	COL5A3
PLOD3	UGT1A7
VSX1	PMF1
VSX1	DLG2
VSX1	ATP2B4
VSX1	MLLT10
VSX1	NR6A1
NEDD4	TMEM51
NEDD4	JUN
STAT1	TRADD
STAT1	NR6A1
STAT1	ERBB3
STAT1	ADRA1B
STAT1	JUN
MLLT10	PMF1
TRADD	HMOX1
TRADD	BIRC3
PSMA6	PPP3CA
DLG2	ATP2B4
DLG2	ACTN2
DLG2	PPP3CA
HSD17B6	ATP2B4
BIRC3	PSMD14
HMOX1	JUN
HMOX1	TMPRSS6
COL5A3	JUN
IL17RC	TRAF3IP2
TRAF3IP2	JUN
TRBC1	JUN
TRBC1	SLA2
ADRA1B	SLA2
ATP2B4	PPP3CA
ATP2B4	SLC8B1
PPP3CA	JUN
JUN	ZC3HAV1L
JUN	PSMD14
