#tail	head
TREML2	RAB6A
KCNAB3	KCNA2
SAMD1	CBWD1
ADH6	KMO
ADH6	COMT
ADH6	ME3
ADH6	ACSS1
ADH6	LDHA
ADH6	ALDH4A1
ADH6	HPGD
FGF10	PIP5K1C
FGF10	EGFR
FGF10	ZMYM2
FGF10	ESR2
FGF10	UBB
FGF10	IGHV2-70
SEC23A	SMTN
SEC23A	HIST1H4F
SEC23A	CDH1
SEC23A	PPP2R1A
SEC23A	ANXA2
CHD1	HNRNPU
CHD1	AGO2
GRIN2B	PRKACG
GRIN2B	CAMK2A
GRIN2B	DLG1
GRIN2B	AP2M1
GRIN2B	RAC1
GRIN2B	MAX
GRIN2B	STAT1
GRIN2B	SLC6A5
CAMK1	HDAC4
MED27	CEBPA
MED27	PLIN1
MED27	MED4
MED27	CREB1
MED27	MED17
MED27	GATA1
ALDH4A1	DLD
ALDH4A1	ACSS1
ALDH4A1	LDHA
KCNA4	DLG1
DVL3	KL
DVL3	LYN
DVL3	PTEN
DVL3	CBL
DVL3	IGHV2-70
DVL3	CSNK1A1
DVL3	SIRT1
PACSIN2	PTPN12
PACSIN2	EGFR
PACSIN2	CLTC
PACSIN2	SMTN
PACSIN2	PIK3R6
PACSIN2	SMN2
UBE2V2	HIST1H4J
UBE2V2	H2BFS
SH2B2	JAK1
INPP4B	TGFA
INPP4B	PIK3R6
INPP4B	AGFG1
INPP4B	LRP2
INPP4B	PTEN
INPP4B	CBL
INPP4B	GAPDHS
PLEKHA1	UBB
PLEKHA1	CHRM2
PLEKHA1	INS
PLEKHA1	PIK3R6
PLEKHA1	TGFA
NFKBIB	MTIF2
NFKBIB	CLTC
PPARD	ACSL5
PPARD	NSMCE4A
PPARD	UBB
PPARD	CEBPA
KIF17	TTC30A
TIMM50	RAF1
BRAP	KSR1
BRAP	RAF1
MCM7	HIST1H4J
MCM7	TGFB1
MCM7	NFKB1
MCM7	RMND5A
MCM7	CDK7
HIST1H4F	PTEN
HIST1H4F	H2BFS
HIST1H4F	RPA3
HIST1H4F	ACE
HIST1H4F	MARS
HIST1H4F	OGT
HIST1H4F	GATA1
HIST1H4F	CEP57
HIST1H4F	SIRT1
HIST1H4F	HIST1H2AB
EPHA5	PTEN
SUPT5H	LCA5
STAT1	TRADD
STAT1	RAC1
STAT1	HDAC3
STAT1	SYT6
STAT1	CDH1
STAT1	CHD4
STAT1	NAA10
STAT1	CASP3
ACSBG1	SUCLA2
ACSBG1	HNRNPU
AKR1C2	PTK2
AKR1C2	TGFB1
XAGE1C	YAF2
GGT3P	DLG1
CNDP2	NME1
CNDP2	SLC38A1
KCNC2	SLC24A5
ERAL1	STOML2
ERAL1	MTIF2
MED17	ESR2
MED17	MED10
CBL	CLTC
CBL	ITGB3
TRADD	KRT8
RBM41	CCDC85B
PPP5C	HIST1H4J
PPP5C	HSPA7
PPP5C	H2BFS
HSD17B4	CASP9
HSD17B4	NCOA6
HSD17B4	SMTN
HSD17B4	TFF2
HSD17B4	HSD17B12
HSD17B4	SQSTM1
HSD17B4	ARF6
PIK3R6	CLTC
PIK3R6	PTEN
PIK3R6	LRP2
PIK3R6	TRAF6
PIK3R6	AP2M1
PIK3R6	AKT2
PIK3R6	IGHV3-23
PIK3R6	TGFA
SNRNP70	MRPS22
SNRNP70	RBM17
SNRNP70	AP2M1
SNRNP70	MAX
SNRNP70	RIOK1
SNRNP70	OGT
THOC5	WTAP
THOC5	SNRPD3
AKT2	NRG2
AKT2	IGHG2
AKT2	CASP9
AKT2	NSMCE4A
AKT2	CDC37
AKT2	RAF1
AKT2	JAK1
AKT2	TRAF6
SOX2	GATA1
SOX2	HDAC3
SOX2	RMND5A
CSNK1A1	MARS
CSNK1A1	RPN1
CSNK1A1	DDB1
CSNK1A1	TARDBP
CEP164	USP36
CEP164	AKAP9
CEP164	CEP57
SUCLA2	PLOD3
SUCLA2	DNM1L
SUCLA2	LDHA
SUCLA2	GAPDHS
SMN2	LDHA
SMN2	VCP
SMN2	HIST1H2AB
SMN2	PPP2R1A
SMN2	YBX1
SMN2	NUPL2
SMN2	STOML2
OGT	ESR2
OGT	PLOD3
MED10	UBB
SLC6A1	DLG1
H2BFS	ESR2
H2BFS	GATA1
H2BFS	HIST1H4J
PTGES	EGFR
RPS2	PTEN
RPS2	SMG7
RPS2	PPP2R1A
RPS2	RPN1
RPS2	FAU
RPS2	MAGOHB
HPGD	CASP9
HTATSF1	WTAP
HTATSF1	SNRPD3
HTATSF1	INS
AP2M1	MED4
AP2M1	STOML2
AP2M1	HSPA7
AP2M1	STK11
AP2M1	PTEN
