#tail	head
CBX8	DGKZ
RASSF1	MET
TXN	PTEN
NCKAP1	MYO16
NCKAP1	ABL1
NCKAP1	IGHV1-46
MCM5	SSRP1
MCM5	SYNCRIP
MCM5	NOTCH1
MCM5	PSMD2
BLOC1S2	BCAS4
BLOC1S2	BORCS5
PBX2	CDC5L
GNAQ	GNG10
GNAQ	PTEN
GNAQ	CYTH1
DGKZ	PLCB4
DGKZ	IGHV1-46
LILRB4	B2M
RBM5	WBP4
RBM5	WBP11
SEC22B	TRIM25
PLCB4	PTEN
LILRB2	HLA-H
MET	DUSP15
MET	PTPN14
MET	FGFR1OP2
MET	DUSP14
MET	BTK
MET	FGFR4
BCAS4	BLOC1S5
MLH1	EZH2
AMOT	EWSR1
HIST1H2BA	RPS27A
HIST1H2BA	GATA1
HIST1H2BA	BARD1
HIST1H2BA	BMI1
HIST1H2BA	SSRP1
HIST1H2BA	EZH2
SRSF2	PPWD1
SRSF2	TRIM25
SRSF2	CDC5L
SRSF2	ZMAT5
SRSF2	GOLGA2
HOXA11	EZH2
HOXA11	CDC5L
IGKV1D-39	FGFR1OP2
IGKV1D-39	FGFR4
TXK	DUSP10
TXK	PTPN14
TXK	PTEN
TXK	FGFR4
TXK	IGHV1-46
TXK	DUSP15
RHOF	ARHGAP26
RHOF	TRIM25
RHOF	ARHGAP42
RHOF	OPHN1
PPP2CA	TRIM25
PPP2CA	PSMD2
PPP2CA	NOTCH1
MAPK1IP1L	EWSR1
PBDC1	SSRP1
PBDC1	PPP1R16A
NUTF2	TRIM25
GNG10	FGFR4
GNG10	CCKBR
GNG10	IGHV1-46
GEM	ZMAT5
GEM	ZBTB42
PPWD1	WBP11
PPWD1	SYNCRIP
ODAPH	OTUD4
CDC5L	SF3B6
CDC5L	DUSP14
CDC5L	EWSR1
CDC5L	CALM3
B2M	FGFR1OP2
B2M	FGFR4
ARMC7	ZMAT5
ARMC7	GATA1
IRF8	SYNCRIP
WBP4	EWSR1
EWSR1	BTK
EWSR1	WBP11
EWSR1	TNIP2
ZMAT5	SF3B6
SF3B6	TNIP2
CYTH1	TNIP2
OPHN1	ARHGAP26
OPHN1	TRIM25
PPP1R13L	TRIM25
SPG21	FBXO44
SYNCRIP	RPS27A
TRIM25	EEF1A2
TRIM25	LPIN1
TRIM25	GATA1
TRIM25	PSMD2
TRIM25	HSPA7
TRIM25	COPZ1
ARHGAP26	MYO16
ARHGAP26	PTEN
RPS27A	BARD1
RPS27A	UBQLN2
RPS27A	PTEN
PLG	PLAU
DUSP15	PSMD2
ABL1	PTEN
ABL1	PTPN14
FBXO25	BORCS5
DUSP10	BTK
ARF1	WBP11
DUSP14	BMI1
DUSP14	FGFR4
EEF1A2	PTEN
EEF1A2	BTK
HSPA7	UBQLN2
FGFR4	BTK
GOLGA2	RAMAC
GOLGA2	NOTCH1
GOLGA2	BARD1
SSRP1	CALM3
CALM3	ASCL2
CALM3	PSMD2
CALM3	BMI1
BMI1	PTEN
