#tail	head
ASPH	KCNIP3
ABHD2	INS
SEC24C	SLC3A2
SEC24C	PGK1
SEC24C	ARPC2
SEC24C	PPP1CB
SEC24C	EIF4A3
SEC24C	CLTA
ERG	STAT1
ERG	RARA
ERG	XRCC4
SPANXN3	FBXW11
SPANXN3	CUL1
TOR1AIP1	LRRK2
TOR1AIP1	GATA1
PGK1	STAT1
PGK1	FN1
PGK1	PCNA
PGK1	YBX1
PGK1	RPS6
PGK1	MAPK1
PGK1	MAPK13
LRRK2	INS
LRRK2	RPS14
LRRK2	PPP1CB
LRRK2	NUP153
LRRK2	PAK1
LRRK2	PSMC6
LRRK2	MCM3
POLR2D	EIF4A3
POLR2D	BLM
POLR2D	MEIS1
POLR2D	RARA
POLR2D	ERCC6
POLR2D	PCNA
POLR2D	YBX1
POLR2D	HIST1H2BA
POLR2D	ZC3H8
POLR2D	H2AFB1
POLR2D	XPA
POLR2D	ZNF830
POLR2D	POLR2L
MED15	FAM120B
MED15	STAT1
MED15	CCNT1
KCNIP3	STAT1
ZC3H8	POLR2L
ZC3H8	CCNT1
MAPK13	PABPC1
MAPK13	INS
MAPK13	CANX
MAPK13	STAT1
MAFB	ZEB1
MAFB	HIST1H3J
CLTA	ARPC2
CLTA	FN1
CLTA	GATA1
CLTA	CANX
CTDSPL	SLC3A2
CTDSPL	INS
MFHAS1	HIC2
NUP153	MAPK1
NUP153	WDR33
NUP153	SNRPD3
NUP153	INS
NUP153	SNRPE
NUP153	FBXW11
INSL5	ARSB
MAPK1	INS
MAPK1	FN1
MAPK1	COL1A1
MAPK1	YBX1
MAPK1	CD3G
MAPK1	CUL7
MAPK1	RXRA
STAT1	MCM3
STAT1	MEIS1
STAT1	RXRA
STAT1	EGR2
STAT1	CANX
STAT1	PAK1
RPL9P9	EIF4A3
RPL9P9	RPS14
RPL9P9	YBX1
WDR33	NUP160
WDR33	SNRPD3
WDR33	POLR2H
WDR33	NUP54
MCM3	FN1
MCM3	NEK4
MCM3	PCNA
SLC3A2	SLC4A7
SLC3A2	CUL7
SLC3A2	INS
SLC3A2	FN1
SLC3A2	ATP1A2
ERCC6	HIST1H2BA
ERCC6	POLR2L
ERCC6	H2AFB1
ERCC6	NEK4
ERCC6	FN1
ERCC6	BLM
ERCC6	XPA
ERCC6	CUL7
FN1	PSMC6
FN1	RPS6
FN1	RPS14
FN1	PCNA
FN1	SNRPD3
CD3G	SYNJ2
CD3G	ARPC2
HIST1H2BA	HIST1H3J
HIST1H2BA	H2AFB1
HIST1H2BA	RXRA
HIST1H2BA	POLR2L
HIST1H2BA	EGR2
HIST1H2BA	POLR2H
HIST1H2BA	MEIS1
RPS14	PABPC1
RPS14	YBX1
RPS14	CUL7
RPS14	RPS6
RPS14	RARA
RPS14	NEK4
RPS14	EIF4A3
AKAP5	HIST1H3J
COL1A1	INS
COL1A1	RXRA
COL1A1	PAK1
XPA	POLR2L
XPA	ZNF830
XPA	POLR2H
XPA	INS
XPA	PCNA
PCNA	CUL1
PCNA	TFDP2
PCNA	RARA
PCNA	CUL7
PCNA	YBX1
PCNA	POLR2H
RARA	HIST1H3J
RARA	INS
RARA	CUL1
RARA	ZEB1
RARA	H2AFB1
RARA	CPSF1
RARA	RPL37A
BLM	HIST1H3J
BLM	ZNF830
FAM120B	NXF2B
FAM120B	RXRA
CDK11B	NDE1
FOXA2	ZEB1
MEIS1	POLR2L
MEIS1	MDK
MEIS1	HIC2
MEIS1	POLR2H
MEIS1	H2AFB1
MEIS1	HIST1H3J
MEIS1	INS
SNAPC4	CCNT1
SNAPC4	POLR2L
SNAPC4	POLR2H
RAB6C	MARC1
RAB6C	RAB10
TFDP2	CCNT1
HIST1H3J	RXRA
HIST1H3J	ZNF830
HIST1H3J	PABPC1
HIST1H3J	H2AFB1
HIST1H3J	POLR2H
HIST1H3J	PPP1CB
HIST1H3J	RPL37A
CCNT1	POLR2L
CCNT1	POLR2H
CCNT1	HIC2
SIPA1L2	NXF2B
SIPA1L2	TSPYL1
PPP1CB	AATK
PPP1CB	PAK1
PPP1CB	DST
PPP1CB	CPSF1
PPP1CB	ARPC2
PPP1CB	INS
SNRPD3	PABPC1
SNRPD3	CUL1
SNRPD3	POLR2L
RAB10	CUL7
NUP160	NDE1
NUP160	NXF2B
NUP160	EIF4A3
SNRPE	POLR2H
SNRPE	INS
SNRPE	ZNF830
SNRPE	POLR2L
SNRPE	CUL7
SNRPE	PABPC1
SNRPE	NEK4
SNRPE	YBX1
CPSF1	EIF4A3
CPSF1	POLR2H
CPSF1	NUP54
CPSF1	INS
RPS6	CUL1
SDHB	CUL1
CUL1	CUL7
CUL1	EIF4A3
CUL1	FBXW11
CUL1	INS
CUL1	YBX1
CUL1	XRCC4
IQGAP2	POLR2L
IQGAP2	ZEB1
IQGAP2	INS
POLR2H	POLR2L
POLR2H	RXRA
POLR2H	YBX1
INS	RXRA
INS	PABPC1
INS	OVOL1
INS	SLC4A7
INS	TSPYL1
INS	NASP
AMZ2	NDE1
GATA1	EGR2
GATA1	ARPC2
GATA1	H2AFB1
GATA1	ROBO1
NUP54	NXF2B
NUP54	EIF4A3
H2AFB1	POLR2L
PAK1	ROBO1
SCAND1	ZEB1
EIF4A3	RPL37A
EIF4A3	CUL7
EIF4A3	POLR2L
EIF4A3	NXF2B
SRP19	RPL37A
FBXW11	POLR2L
FBXW11	ZEB1
ATP1A2	RXRA
ATP1A2	SLC4A7
ZEB1	DST
ZEB1	ETV5
ZEB1	EGR2
RXRA	POLR2L
RXRA	SLC4A7
CUL7	YBX1
SLC4A7	DST
YBX1	RPL37A
YBX1	POLR2L
POLR2L	EGR2
POLR2L	ZNF830
NEK4	CANX
NEK4	C21orf58
AMER1	TSPYL1
