#tail	head
IGKV2D-40	FGF17
ATP5F1D	MTG2
ATP5F1D	PSMD6
ATP5F1D	SGK1
DSG2	SEMA7A
DSG2	SFPQ
DSG2	FLNA
DSG2	RRBP1
ATP1B3	SEMA7A
ATP1B3	SLC4A8
ATP1B3	PSMD6
ATP1B3	SFPQ
ATP1B3	RRBP1
FCHO2	SEMA7A
FCHO2	AP2A2
FCHO2	RRBP1
FCHO2	SFPQ
FCHO2	PI4K2A
FCHO2	AAK1
WDYHV1	ACTG1
WDYHV1	MTG2
WDYHV1	LCE1D
PI4K2A	AP2A2
PI4K2A	AAK1
SNRNP27	SNRPB
SNRNP27	CHORDC1
SNX14	SIGLECL1
SNX14	SLC4A8
FGF17	GRM8
GRM8	FLNA
SNRPB	SFPQ
SNRPB	GEMIN6
SGK1	MYH1
SGK1	PSMD6
SFPQ	PSMD6
SFPQ	SEMA7A
SFPQ	IGF2BP2
SFPQ	RRBP1
SFPQ	FLNA
SFPQ	CHORDC1
SFPQ	ACTG1
SFPQ	AAK1
SFPQ	AP2A2
SEMA7A	ACTG1
SEMA7A	AAK1
SEMA7A	AP2A2
SEMA7A	PSMD6
SEMA7A	IGF2BP2
SEMA7A	RRBP1
SEMA7A	FLNA
SEMA7A	CHORDC1
GEMIN6	SIGLECL1
AAK1	RRBP1
AAK1	AP2A2
IGF2BP2	RRBP1
AP2A2	ACTG1
AP2A2	RRBP1
PSMD6	RRBP1
RRBP1	FLNA
RRBP1	CHORDC1
RRBP1	ACTG1
MYH1	ACTG1
FLNA	ACTG1
