#tail	head
PPP2R2D	ATXN2L
PLCG2	SH2D1B
PLCG2	PRKD2
PLCG2	HSPD1
AGO1	HSPD1
AGO1	NUDCD1
AGO1	CUL3
AGO1	TMEM33
PSMB11	BUB3
PSMB11	RPS27A
PSMB11	CUL3
PSMB11	PPP2R5D
PSMB11	PSMA4
ATF3	CREB1
ATF3	ORAI1
ATF3	GPRASP2
ATF3	PSMD3
ATF3	SUV39H2
ARIH2	RPS27A
ARIH2	EEF1G
ARIH2	CCDC33
PPP2R5D	PSMA4
PPP2R5D	PSMD3
PPP2R5D	INS
PPP2R5D	PSMB8
PPP2R5D	RPS27A
PPP2R5D	BUB3
TDRD7	HSPD1
LBP	CBFA2T2
ATP1B2	INS
PSMD3	PSMB8
PSMD3	PSMB3
PSMD3	POU5F1
PSMD3	DDB1
PSMD3	DLD
PSMD3	CUL3
PSMD3	ZC3H18
PSMD3	RPS27A
NF1	ATP6V1A
NF1	CBFA2T2
NF1	CREB1
NF1	NUDCD1
CDA	PNPO
ASB3	UBE2E1
ASB3	RPS27A
PSMB3	CUL3
PSMB3	UBE2E1
PSMB3	PSMB8
PSMB3	PSMG2
PSMB3	BUB3
CCHCR1	NFKBID
CCHCR1	TPM1
CCHCR1	SORBS3
CCHCR1	CARD9
F8	SLC24A4
BCAT2	TAT
BCAT2	ABAT
BCAT2	HSPD1
BCAT2	PNPO
BCAT2	PKM
HSD17B4	HSF2
HSD17B4	CARTPT
HSD17B4	POU5F1
HSD17B4	CUL4B
HSD17B4	DLD
EEF1G	DLD
EEF1G	UBR5
EEF1G	CUL3
EEF1G	TRIB2
EEF1G	RPS27A
EEF1G	DDB1
EEF1G	INS
MRPS9	PSMA4
MRPS9	NOP53
MRPS9	PSMB8
GPRASP2	HSF2
GPRASP2	CUL3
MICU2	DCAF11
ABAT	ING5
ABAT	CAD
WDR70	ZC3H18
WDR70	TSSC4
CARD9	PSMA4
CARD9	CCDC13
ERH	ASB18
ERH	ZC3H18
DCAF11	DDB1
DCAF11	CUL4B
CHMP3	SIX2
CHMP3	ATP6V1A
PSMA4	UBE2E1
PSMA4	BUB3
PSMA4	CUL3
NUDCD1	KCTD21
NUDCD1	INS
ING5	CCDC33
ATXN2L	RNF31
CBFA2T2	TAGAP
SUV39H2	CREB1
SLC24A4	ATP6V1A
SLC24A4	ORAI1
HSPD1	TRIB2
HSPD1	RNF31
HSPD1	CREB1
HSPD1	DDOST
HSPD1	INS
HSPD1	CUL3
RPS16	DDOST
RPS16	RPS27A
RPS16	ZNF746
RPS16	RPL30
RPS16	RNF31
RNF31	INS
PSMB8	UBE2E1
PSMB8	NFKBID
SORBS3	MYL10
SORBS3	ORAI1
DLC1	INS
DLC1	CUL3
DLC1	DDB1
DLC1	ETS2
DLC1	RHOQ
UBR5	UBE2E1
UBR5	ZNF746
UBR5	POU5F1
UBR5	CAD
UBR5	DDB1
TPM1	INS
TPM1	ORAI1
TPM1	MYL10
TPM1	DLD
PKM	TAT
PKM	CUL3
PKM	ATP6V1A
PKM	INS
PKM	CCR4
POU5F1	INS
POU5F1	RPL30
CUL3	RPL30
CUL3	DDB1
CUL3	CUL4B
CUL3	ZC3H18
CUL3	ATP6V1A
CUL3	BUB3
CUL3	KCTD21
CUL3	UBE2E1
CUL3	RPS27A
CUL3	VIPAS39
TAT	DLD
TAT	CAD
MYL10	ORAI1
CAD	ZNF746
TMEM33	CUL4B
KCTD21	TRIB2
RPL30	ZNF354A
RPL30	CUL4B
RPL30	ZC3H18
RPL30	RPS27A
NFKBID	CREB1
NFKBID	ETS2
NFKBID	HSF2
RPS27A	UBE2E1
RPS27A	ZC3H18
RPS27A	BUB3
RPS27A	CUL4B
RPS27A	DDB1
ITGA1	ETS2
ETS2	INS
INS	PSMG2
INS	ORAI1
ATP6V1A	HSF2
RHOQ	CREB1
ASB18	UBE2E1
UBE2E1	BUB3
UBE2E1	TRIB2
