#tail	head
MRPS26	LMNA
PAX3	SMARCE1
PAX3	PTGS1
PAX3	EGR2
PAX3	CCDC130
TMEM30A	HTR3C
RPRD1B	THOC6
SP1	SMARCE1
SP1	RPIA
SP1	CYP2A6
SP1	HTT
SP1	EPB41L5
SP1	EGR2
SP1	MYLIP
SP1	EFHC2
SP1	CIAO1
SP1	CASP7
SP1	SYNCRIP
COX5A	HTT
HSCB	EBP
HSCB	AGTRAP
F2	CASP7
GGH	TRIP6
GGH	ALDH18A1
GGH	SLBP
CASP7	PRKAA1
CASP7	NEDD8
CASP7	CYP2A6
SRRT	ASH2L
SRRT	SYNCRIP
SRRT	INTS2
SRRT	ADA
WDR33	THOC6
TARBP1	SYNCRIP
TARBP1	VSIG1
TARBP1	LYPD3
UBE2W	EGR2
ABO	UGT2B7
ABO	TMEM79
RBM33	SORCS3
RBM33	RRP1B
RBM33	OGDH
ZRANB1	IL16
HNRNPLL	ATXN1
SGF29	DR1
SGF29	SLBP
SGF29	ASH2L
PPP1R12C	IL16
OGDH	THEM5
BCKDHB	ESRRA
PCDHAC2	LSR
PCDHAC2	LAPTM4B
RRP1B	CIAO1
KCNQ5	HTR3C
E2F5	CYP2A6
CCL7	TNF
NEDD8	RBX1
NEDD8	DCAF8
DR1	GABPB1
CCDC130	ZNF17
LAPTM4B	EXOC4
SMAD1	ARID1A
SMAD1	TRIP6
SMAD1	MUTYH
ACSF2	AGTRAP
ASH2L	EGR2
ASH2L	EPB41L5
ASH2L	HIST1H4J
EBP	TMEM254
EBP	SHMT2
DUSP11	SYNCRIP
UHRF1BP1	EPB41L5
LMNA	SHMT2
LMNA	HIST1H3F
LMNA	SLBP
LMNA	MRE11
LMNA	CYP2A6
STK16	TRIP6
FBXL13	IL16
HTT	FEM1B
HTT	PRKAA1
SORCS3	ATXN1
SYNCRIP	MRE11
SYNCRIP	SLBP
HIST2H3C	HIST1H3F
ATXN1	TRIP6
NKG7	AGTRAP
PRKAA1	TNF
SLBP	EPB41L5
RBX1	FEM1B
RBX1	HIST1H4J
RBX1	MRE11
HSDL1	EDA2R
UGT2B7	CYP2A6
TRIP6	SHMT2
MRE11	HIST1H4J
DDB1	DCAF8
HIST1H4J	EGR2
LYPD3	AGR2
MAFG	TOX2
SHMT2	PRUNE1
DCAF8	EPB41L5
