#tail	head
PCGF1	ELK1
MT-CO2	LEF1
RASSF1	CDC20
CRY2	E4F1
REEP5	OR4K2
TRPC4	CACNA1D
TRPC4	MAZ
BRF2	POLR2F
PTPRB	GDPGP1
PTPRB	MAPK1
PTPRB	ERBB2
PTPRB	SRMS
PTPRB	MTHFD1
PTPRB	EGFR
C2CD3	PLK1
ZNF692	NSD1
NIPAL3	LEF1
LCE1A	FUCA2
SMU1	WTAP
GAB1	GNAI1
GAB1	RHOA
GAB1	IGLV3-1
GAB1	CYFIP1
ATP6V1G2	NME3
POLR2F	HIST1H3I
POLR2F	WTAP
POLR2F	POLR3H
MYOZ3	KRT36
AJUBA	HIST1H4J
AJUBA	PPP2R1A
AJUBA	H2AFX
AJUBA	LEF1
CDK2	SPAG9
CDK2	RPS3
CDK2	CDK7
CDK2	MYL12B
CDK2	WEE1
CDK2	ACTA1
CDK2	ANKLE2
CA13	ATP6V1E1
DNAL4	GNA14
CCND1	KRT18
CCND1	HIST1H4J
CCND1	TRIM25
CCND1	LEF1
CCND1	MAX
AKT1	MKRN1
AKT1	LAMB1
AKT1	MAPK1
TMEM67	HAUS2
TMEM67	PGRMC2
INPP5D	TRAT1
INPP5D	SCARB2
TIMM50	TUBB3
LIMA1	KRT18
LIMA1	SQSTM1
UCHL5	TMEM205
UCHL5	HIST1H4J
UCHL5	EGLN3
PLRG1	BUD13
MAPK1	PSMA1
MAPK1	MAP2K1
MAPK1	HNF4A
MAPK1	PDE4D
MAPK1	HIF1A
TRIM11	AMPD1
FUS	TRIM25
FUS	MAX
MAP2K1	IL17RD
MAP2K1	PPP2R1A
MAP2K1	EGFR
SLC25A10	ATP6V1E1
HAUS2	YWHAE
HAUS2	AURKA
HAUS2	PPP2R1A
BANP	HIF1A
MXD1	MAX
MXD1	RPS6KB1
RPS12	RPL10A
RPS12	RPL27
RPS12	TRIM25
TKT	CALU
TKT	GAPDHS
TKT	FH
SPCS2	RPL27A
CDC25B	CDC20
CDC25B	AURKA
CDC25B	LEF1
SRMS	PTPN22
SRMS	TCF3
NCOA3	FGFR1
RANBP2	NBEAL2
RANBP2	XPO1
RANBP2	SMN2
CYFIP1	MAZ
CYFIP1	PPP2R1A
CYFIP1	ERBB2
LYSMD1	TULP3
CUL2	IGF2BP1
CUL2	RPS3
CUL2	SKP1
CUL2	ENO1
RAD52	HSPD1
RAD52	ENO1
RAD52	YWHAE
CPNE1	CACNG3
CPNE1	CACNA1D
MCL1	SRF
ACTA1	FGFR1
ACTA1	VAV1
ACTA1	RPS6KB1
ACTA1	HIF1A
SPAG9	TRIM25
MTHFD1	EIF3G
MTHFD1	DNAJC6
MTHFD1	PTPRD
MTHFD1	HNF4A
LEF1	NTF3
LEF1	CLTC
LEF1	MKRN1
LEF1	MAZ
LEF1	AURKA
THOC5	TFIP11
RBCK1	IRF1
RBCK1	UBE2U
CDC14B	FGFR1
SOX2	TUBB3
SRSF11	TRIM25
RTCB	XPO1
RTCB	NANOG
SMAD7	MAX
RPL36AL	RPL27
SMN2	EPRS
SMN2	PPP2R1A
SMN2	YWHAE
SMN2	SEMA7A
HUWE1	ABL1
HUWE1	YWHAE
HUWE1	MRTFB
HUWE1	AMPD1
HUWE1	STK38L
HUWE1	NANOG
HUWE1	CLTC
HUWE1	RPL27A
PDLIM7	XPO1
ELK1	RPL28
ELK1	CALU
ELK1	SRF
ELK1	SLC30A7
ELK1	AURKA
ELK1	GAR1
LAMB1	HSPD1
RPS6KB1	AKR1C3
RPS6KB1	THPO
RPS6KB1	HNF4A
RPS6KB1	BTK
PLK1	TUBB3
PLK1	HIST1H4J
PLK1	TUBGCP5
PLK1	CDC20
SEPT7	TCF3
SEPT7	LRPPRC
SEPT7	EPRS
NBEAL2	RPL10A
NUMB	PSMA1
GNB4	GNA14
GNB4	ERBB2
GNB4	TUBA1B
GNB4	CACNA1D
GNB4	CNTRL
ATP6V1E1	SCO2
RPS3	RPL27A
RPS3	YWHAE
APOC1	KRT6A
MKRN1	IGF2BP1
MKRN1	AMPD1
MAX	RPL27
MAX	CCT5
MAX	STAM
MAX	TUBA1B
MAX	SRF
MAX	PRDM14
ARID1B	TRIM25
BUD13	PYHIN1
BUD13	RBM22
CLTC	GGA1
CLTC	RAB5A
WTAP	PABPC1
WTAP	HIST1H4J
KLF4	SRF
CCR9	GNAI1
DNAJC6	TUBGCP5
WEE1	XPO1
MMP9	SLC30A7
HSPD1	KRT18
HSPD1	AURKA
HSPD1	ESRRB
HSPD1	TRIM25
IL17RD	EGFR
KRT18	KPNA2
KRT18	CLEC3B
SLC31A1	E4F1
SLC31A1	CLEC3B
SLC31A1	APOE
VWC2	HPCA
YWHAE	CNTRL
YWHAE	AURKA
YWHAE	CDC25A
YWHAE	TRIM25
EPRS	STOML2
EPRS	AMPD1
EPRS	STK38L
IGHM	NTF3
CACNA1D	ATP2A3
CACNA1D	MYL12B
IGLC7	NTF3
ORAI3	E4F1
ENO1	HIF1A
GNA14	TCF3
SCO2	EGLN3
CAB39	TM4SF20
EGLN3	DNAJB6
EGLN3	CCT5
IRF1	NFKB1
E4F1	GRM3
BAK1	NME3
ATXN3	SQSTM1
ATXN3	SLC30A7
CNTRL	VAV1
KIDINS220	NTF3
TRAT1	RHOA
LRPPRC	STOML2
LRPPRC	PDK1
LRPPRC	HIST1H4J
LRPPRC	SKP1
NTF3	GRM3
HIST1H3I	DDB2
HIST1H3I	RPL27
HIST1H3I	ANP32E
MYL12B	TRIM25
MYL12B	STOML2
EIF3G	STOML2
EIF3G	PABPC1
GNAI1	CHRNA6
C2orf49	EGFR
STOML2	CCT5
STOML2	ACTN4
SLC39A6	HNF4A
PPP2R1A	CKAP5
PPP2R1A	EGFR
PPP2R1A	RPL28
PPP2R1A	TUBGCP5
XPO1	EGFR
XPO1	HNF4A
XPO1	EIF2S2
XPO1	WDR34
SQSTM1	CCNF
SQSTM1	TRIM25
SQSTM1	NFKB1
SQSTM1	HIF1A
CDC20	PSMA1
CDC20	FGFR1
CDC20	SPINT2
NSD1	PABPC1
TRIM25	ACTN4
PTPN22	ERBB2
FH	SEMA7A
GSTM2	EGFR
OR8J3	RTP5
TUBB3	TUBA1B
TUBB3	DNAJB6
CACNG3	CACNA2D3
CACNG3	TNNC2
APEX1	OTUD6B
RHOA	TLR9
PRPF4B	HNF4A
TUBA1B	PTP4A3
TUBA1B	RPL10A
TAF1C	HIST1H4J
NFKB1	PTPRD
FGFR1	ZBTB17
FGFR1	PTPRD
STAM	HNF4A
HEXIM2	MAZ
HEXIM2	PIM1
CKAP5	KLHL40
GAR1	ASTE1
GAR1	HNF4A
KRTAP12-3	FBXW5
OTUD6B	SLC51A
CDK7	PTP4A3
HNF4A	THPO
HNF4A	RTCA
HNF4A	DNAJB12
IL3RA	IFNA10
AURKA	EPS15
AURKA	ERBB2
AURKA	FOXP1
AURKA	IGF2BP1
IGF2BP1	MAZ
MAP3K14	TCF3
MAP3K14	TNFSF12
DNAJB6	ESRRB
REEP6	KLRF1
GAPDHS	SGPP2
GAPDHS	KLRF1
