#tail	head
UBXN11	TCEANC
NDUFB7	ATP1B3
NDUFB7	TIMMDC1
NDUFB7	ATG9A
STAG3	DIDO1
STAG3	NRF1
STAG3	SP1
STAG3	HIST1H4H
RBM15	MYC
RBM15	DIDO1
RBM15	SSRP1
SP1	NAA80
SP1	MYC
SP1	CLPTM1
SP1	CCT3
SP1	HNRNPA1
SP1	NRF1
SP1	YWHAG
SP1	RPL36AL
SH3BP4	YWHAG
SH3BP4	CCT3
SH3BP4	CBY1
SH3BP4	MYC
SSRP1	HNRNPA1
SSRP1	HIST1H4H
FAM20B	CD79B
FAM20B	TIMMDC1
MYC	DVL3
MYC	CCT3
MYC	HNRNPA1
MYC	RPL23
MYC	HIST1H4H
MYC	ATP1B3
MYC	ATG9A
MYC	CHRM1
MYC	CD79B
LCE2C	KRTAP9-2
HNRNPA1	NRF1
HNRNPA1	RPL23
GNB1	CHRM1
GNB1	RPTOR
GNB1	CD79B
GNB1	DVL3
GNB1	CCT3
GNB1	ATP1B3
DDIT4L	KRTAP9-2
DDIT4L	STK16
RPL23	YWHAG
RPL23	RPL36AL
TCEANC	DVL3
TCEANC	KRT35
KRTAP9-2	ATG9A
CBY1	NRF1
CBY1	YWHAG
CBY1	RPTOR
ATP1B3	SCNN1D
ZNF71	DVL3
ZNF71	RPL36AL
CLPTM1	SCNN1D
RPTOR	CD79B
RPTOR	CCT3
RPTOR	YWHAG
STK16	NAA80
DIDO1	NRF1
DIDO1	DVL3
KRT35	ATG9A
KRT35	YWHAG
CCT3	NRF1
CD79B	DVL3
