#tail	head
ATAD3B	AGO1
AGO1	SLC25A5
AGO1	HIF1AN
AGO1	RPL19
AGO1	HIST1H4C
TMEM223	DUSP19
TMEM223	SLC25A5
KXD1	NUDT18
GABPA	DDX50
GABPA	ESRRA
GABPA	TGIF2
GABPA	HIRIP3
GABPA	ZNF646
GABPA	TRIM39
HSPA5	DSTN
HSPA5	TRAF2
HSPA5	RNF2
HSPA5	TRPV1
HSPA5	CDC20
HSPA5	DDIT3
HSPA5	MOV10
HSPA5	RING1
TMEM14B	PLLP
TMEM14B	TRIM25
TMEM14B	DGAT2L6
TMEM14B	SLC39A2
AIFM1	CUL2
AIFM1	NDUFA8
AIFM1	NEK4
AIFM1	ESRRA
AIFM1	CHCHD3
AIFM1	AAR2
AIFM1	SLC25A5
AIFM1	NR2F2
DUSP19	PYGM
DUSP19	CAPNS1
LEUTX	STATH
LEUTX	VAMP4
LEUTX	ZNF646
SLC25A5	NEK4
SLC25A5	HIF1AN
SLC25A5	LMNA
SLC25A5	MT-CO1
SLC25A5	RPL19
SLC25A5	ESRRA
SLC25A5	AAR2
PYGM	NADSYN1
PYGM	CACNG3
PYGM	ASNS
PYGM	TRPV1
F2	DMD
F2	CACNA2D2
F2	ESRRA
TRPV1	DDIT3
NUDT18	SH2D3C
NUDT18	TRAF2
STAT1	IRF8
STAT1	CACNA2D2
STAT1	CHCHD3
STAT1	TRAF2
RPS12	AAR2
PCM1	ODF2
PCM1	PRC1
SLC30A2	LMNA
NR2F2	ESRRA
NR2F2	GTF3A
RNF2	RING1
RNF2	RPL19
RNF2	TRAF2
RNF2	MOV10
RNF2	UBE2D3
CUL2	MOV10
CUL2	HIST1H4C
CPNE1	CACNG3
CPNE1	GRIN2D
CPNE1	ESRRA
DSTN	AAR2
ZKSCAN3	ZKSCAN4
HIRIP3	HIST2H2BE
HIRIP3	HIST1H4C
YIPF6	SLC7A8
YIPF6	SLC10A6
SPATC1	DDIT3
SPATC1	ESRRA
CACTIN	MOV10
CCL4L2	GJB5
CCL4L2	SLC10A6
UBE2D3	NHLH1
UBE2D3	RING1
UBE2D3	CDC20
TCHP	PRKN
TCHP	ATPAF2
TCHP	ODF2
HIST2H2BE	LMNA
HIST2H2BE	HIST1H4C
HIST2H2BE	RPL19
PLLP	SLC10A6
PLLP	MOV10
PLLP	LMNA
PRC1	TRIM25
SLC7A7	SLC7A8
SLC7A7	GRIN2C
PRKCA	CACNG3
PRKCA	TRAF2
PRKCA	PRKN
PRKCA	GRIN2D
LMNA	HIST1H4C
LMNA	TRIM39
LMNA	ZKSCAN4
GRIN2D	VDAC3
GRIN2D	DMD
GRIN2D	CACNA2D2
GRIN2D	SLC10A6
ESRRA	GTF3A
ESRRA	PRKN
ESRRA	DDIT3
ESRRA	DMD
ESRRA	TRIM25
RPL19	MOV10
HIST1H4C	RING1
MOV10	HSD3B7
MOV10	CDC20
MOV10	RING1
MOV10	TRIM25
PRKN	CDC20
PRKN	DDIT3
PAX5	CACNG3
CDC20	CAPNS1
TRIM25	ASNS
TRIM25	TGIF2
TRIM25	DMD
TRIM25	TRAF2
TRIM25	FMC1
GTF3A	TRIM39
GTF3A	IGFBP7
CACNG3	DMD
CACNG3	VDAC3
PDE11A	NADSYN1
ZKSCAN4	TRIM39
DMD	GRIN2C
DMD	TPCN2
NAPB	DGAT2L6
NAPB	GJB5
ZNF646	EMSY
DGAT2L6	SLC10A6
ATPAF2	DDIT3
ATPAF2	NEK4
GRIN2C	CAPNS1
ASNS	NADSYN1
VDAC3	TPCN2
SLC10A6	PRAF2
