#tail	head
FIG4	PTCH1
GRIN1	LMO2
GRIN1	NF1
GRIN1	HNRNPU
ZNF143	FAM90A1
ZNF143	POLR2F
ZNF143	POLR2K
SMN2	SMTN
SMN2	HIST1H1B
SMN2	QARS
SMN2	HNRNPU
SMN2	ESR2
SMN2	VPS26A
MTOR	MYC
QARS	DISC1
PDE4B	NME7
PDE4B	NT5C
PDE4B	DISC1
PDE4B	GNAZ
PDE4B	ESR2
HNRNPU	POLR2K
HNRNPU	IQGAP1
HNRNPU	POLR2F
HNRNPU	UBASH3B
PTCH1	SHH
PTCH1	DYNC1H1
PTCH1	NF1
TRAF3	CDC37
POLR2K	POLE4
POLR2K	WTAP
POLR2K	MYC
POLR2K	POLR2F
POLR2K	HIST1H2AC
POLR2K	ESR2
POLR2K	HIST1H2AD
KRT40	TCHP
KRT40	INPP5D
KRT40	ZNF581
KRT40	DMRT3
POLE4	POLR2F
SOX14	LMO2
CDC37	DISC1
LMO2	POLR2F
LMO2	FAM90A1
LMO2	DMRT3
LMO2	WTAP
POLR2F	HIST1H2BH
RBM26	ESR2
RBM26	MYC
WTAP	CENPU
WTAP	PRSS1
WTAP	ESR2
UBASH3B	INPP5D
UBASH3B	DMRT3
UBASH3B	IQGAP1
UBASH3B	ACACA
MMP13	PRSS1
MMP13	HMOX1
ACACA	MYC
ACACA	PHKG2
ACACA	NF1
ACACA	ESR2
NF1	DYNC1H1
HIST1H2AC	HJURP
HIST1H2AC	NOTCH1
HIST1H2AC	CENPU
HIST1H2AC	HIST1H2BH
HIST1H2AC	MYC
RIOK1	HIST1H1B
RIOK1	DYNC1H1
RIOK1	IQGAP1
RIOK1	HIST1H2BH
DYNC1H1	CENPU
DYNC1H1	DISC1
DYNC1H1	NME7
DYNC1H1	MYC
HJURP	ESR2
HJURP	HIST1H2AD
HJURP	CENPU
HJURP	HIST1H2BH
ADAM17	NOTCH1
ERLEC1	SHH
PHKG2	INPP5D
MDM4	MCOLN1
MDM4	CAPN7
MDM4	MYC
YES1	RASGRP1
YES1	SMTN
YES1	ESR2
CENPU	HIST1H2BH
CENPU	HIST1H2AD
NME7	NT5C
MCOLN1	HMOX1
MCOLN1	RASGRP1
MCOLN1	MYC
HIST1H2BH	NOTCH1
NT5C	ZNF581
INPP5D	RASGRP1
INPP5D	ESR2
ESR2	MYC
ESR2	HIST1H1B
ESR2	SMTN
ESR2	RASGRP1
ESR2	HMOX1
HIST1H2AD	MYC
HIST1H2AD	NOTCH1
IQGAP1	GNAZ
IQGAP1	SMTN
NOTCH1	MYC
SMTN	HIST1H1B
GNAZ	RASGRP1
