#tail	head
PPP2R2D	ZBTB21
PEX2	PIPOX
PEX2	AGXT
PDE4B	ARRB2
PDE4B	AMPD3
PDE4B	RABEPK
ABTB1	FOXO3
PRDM6	HDAC1
KMT2D	H2AFX
KMT2D	BMP15
COL12A1	LEF1
NR3C1	CLDN10
NR3C1	UBB
NR3C1	KAT5
NR3C1	IL2
NR3C1	LARP7
NR3C1	SLC47A2
NR3C1	IL4
NR3C1	TRPV6
NR3C1	AGT
SLC1A2	HIST2H4A
SLC1A2	HIST1H4L
CORO6	CSF3
WDR5	HIST1H4L
WDR5	JUN
WDR5	EP300
WDR5	HIST1H2BK
WDR5	PRKRA
WDR5	HDAC1
WDR5	PPP1CB
WDR5	POLR2D
WDR5	LEF1
ARRB2	CUL3
ARRB2	YWHAB
ARRB2	MAZ
ARRB2	HNRNPU
ARRB2	HCK
GPR63	FOXO1
GPR63	PPARA
PDE6D	GMPS
PDE6D	GUCY1A2
HIST2H4A	JUN
HIST2H4A	LEF1
HIST2H4A	ATM
HIST2H4A	HIST1H2AC
HIST2H4A	POLR2F
HIST2H4A	IFI16
HIST2H4A	STAG2
HIST2H4A	PPARA
HIST2H4A	EP300
HIST2H4A	IL2
HIST2H4A	CENPK
HIST2H4A	HNRNPU
MRPL58	JUN
MRPL58	ATP5MG
MRPL58	TFAM
MRPL58	ATP5F1A
POLR2D	U2AF1
POLR2D	ELAVL1
POLR2D	EFTUD2
POLR2D	HNRNPL
POLR2D	RAD51D
POLR2D	POLR2I
POLR2D	USP7
POLR2D	PCF11
HOMER3	CDC37
HOMER3	NLGN4Y
ATP6V1G2	AK7
POLR2F	SUPT16H
POLR2F	H2AFB1
POLR2F	CPSF1
POLR2F	ATM
POLR2F	POLR1A
POLR2F	HNRNPD
POLR2F	NABP1
POLR2F	EP300
POLR2F	RAD51D
POLR2F	EGR2
POLR2F	SF3B2
POLR2F	HNRNPU
POLR2F	RARB
NMU	KRTAP12-3
HIST1H2AC	HIST1H2BK
HIST1H2AC	HDAC1
HIST1H2AC	POLR2I
HIST1H2AC	TAF10
HIST1H2AC	EP300
HIST1H2AC	JUN
HIST1H2AC	LEF1
HIST1H2AC	SAP130
SETDB1	HDAC1
SETDB1	HIST1H4C
DDAH1	ELAVL1
PAK1IP1	RBM34
PAK1IP1	PPARA
YWHAB	G3BP1
YWHAB	H2AFX
YWHAB	SHKBP1
YWHAB	LEF1
YWHAB	MAZ
YWHAB	UBB
YWHAB	XPO1
YWHAB	ELAVL1
HIST1H2BG	ATP5F1A
HIST1H2BG	STAG2
