#tail	head
NIT2	ASPG
FOXO4	BMI1
FOXO4	KYAT1
FOXO4	YWHAG
FOXO4	FOXG1
NR3C1	SMAD4
NR3C1	IFNGR2
NR3C1	IL4
NR3C1	FRY
TP53BP2	YWHAG
TP53BP2	RPGRIP1L
PRMT5	CLNS1A
PRMT5	NFE4
PTBP1	BMI1
PTBP1	SNU13
PTBP1	HSD17B10
PTBP1	SNW1
ATP5F1A	MYL12A
KAT2B	SNW1
KAT2B	PTF1A
IL4	BMI1
IL4	OSMR
IL4	IFNGR2
DCAF16	ZBTB44
ALPP	GPAT4
ALPP	CPT2
SLC3A2	QRSL1
SLC3A2	PIH1D1
SLC3A2	SNRNP70
ABCC4	IL10
ABCC4	CPT2
NCOA3	SUMO2
NCOA3	POLR2B
RPL7A	RPLP2
RPL7A	RPL28
RPL7A	PIH1D1
RPL7A	RPS3A
RPL7A	RPL19
RPL7A	ILF3
SNRNP70	IDH1
SNRNP70	DCUN1D1
SNRNP70	CLNS1A
SNRNP70	TNIP2
GPAT4	IDH1
GPAT4	GSDME
GPAT4	CPT2
GPAT4	NUDT12
SNU13	BMI1
SNU13	ACTA2
SNU13	RPGRIP1L
SNU13	RPL19
SNU13	ILF3
CEP63	TUBGCP3
CEP63	RPGRIP1L
OSMR	IL10
RPGRIP1L	NEDD1
RPGRIP1L	CEP85
RPGRIP1L	YWHAG
RPGRIP1L	PCNT
DCUN1D1	RPS3A
DCUN1D1	ILF3
DCUN1D1	RPLP2
ELOA3B	GTF2H1
NEDD1	YWHAG
NEDD1	RPS3A
IFNGR2	TRIM25
HSD17B10	PIH1D1
HSD17B10	HIBCH
CERS1	NAGS
GTF2H1	POLR2B
GTF2H1	RFC1
JAGN1	UBE2J1
POLI	ZBTB44
CPT2	NAGS
CPT2	NUDT12
CPT2	IDH1
CPT2	MLYCD
RPS3A	RPLP2
RPS3A	ZC3H3
RPS3A	POLR2B
RPS3A	ACTA2
RPS3A	MYL12A
RPS3A	SAP18
FOXG1	TNIP2
PANK2	TRIM25
MRPS21	MYL12A
IL4I1	IDH1
IL4I1	BBOX1
IL4I1	KYAT1
RPL19	ILF3
RPL19	TRIM25
RPL19	ACTA2
RPL19	TNIP2
POLR2B	TRIM25
POLR2B	RAD51D
PRKN	BBOX1
PRKN	MYL12A
PRKN	MTERF3
RAD51D	BARD1
GABPB1	SNW1
GABPB1	UBA1
GABPB1	POLRMT
TRIM25	TNIP2
TRIM25	UBA1
TRIM25	CEP85
CERS4	TOMM6
SNW1	IDH1
KYAT1	NAGS
NGRN	TNIP2
YWHAG	PIH1D1
YWHAG	TNIP2
CEP85	TNIP2
ILF3	RPL28
MSH3	TSC22D2
RPLP2	ACTA2
FAF2	UBE2J1
DHX32	TNIP2
ACTA2	RPL28
NAGS	MLYCD
IDH1	ENPP1
IDH1	NUDT12
IDH1	HIBCH
IL10	BMI1
SAP18	TNIP2
SAP18	BMI1
ACADSB	ENPP1
