#tail	head
HDAC4	UGDH
NME1	EXTL1
NME1	ATP6V0A1
NME1	EXT1
NME1	HMGCR
NME1	ALG5
NME1	ATP6V1G2
NME1	HSPA1A
HNRNPU	RBM34
HNRNPU	RPS16
HNRNPU	FBL
HNRNPU	DHX16
HNRNPU	TP53
HNRNPU	REXO4
TCTN2	PIGQ
TCTN2	RFX1
TCTN2	ATP2A2
TCTN2	SSR3
TP53	MLLT6
TP53	AR
TP53	SF3B2
TP53	NFYB
TP53	LZTS2
TP53	HIST1H1A
TP53	HSPA1A
TP53	MPHOSPH6
TP53	SQSTM1
TP53	CHRNA4
TP53	NME4
TP53	RPS16
TP53	ANXA1
DCAF7	SNX9
DCAF7	HSPA1A
SDC4	ATP6V0A1
SDC4	EXT1
SDC4	CSNK1D
SDC4	TCF3
REXO4	FBL
HSPA1A	GZMA
HSPA1A	AR
HSPA1A	SNX9
HSPA1A	UBASH3B
HSPA1A	ANXA1
HIST1H1A	RBM34
FOXP2	AR
FOXP2	MEIS1
FOXP2	TCF3
CSNK1D	SQSTM1
CSNK1D	SNX9
CSNK1D	LZTS2
SSR3	RPS16
CALM3	LMO2
CALM3	AR
ATP6V1G2	CA13
ATP6V1G2	NME4
LMO2	TCF3
FBL	GTF2A1L
FBL	RPS16
FBL	RBM34
FBL	TCF3
FBL	SQSTM1
FBL	MPHOSPH6
UBASH3B	HOXA4
SQSTM1	TCF3
SQSTM1	MYL2
SQSTM1	ATP6V0A1
GTF2A1L	TCF3
CA13	ATP5MC3
CA13	ATP6V0A1
PIGQ	B3GALT2
PIGQ	MGAT3
PIGQ	SLC35B4
PIGQ	EXT1
PIGQ	B3GLCT
PIGQ	ALG5
PIGQ	NME4
SF3B2	DHX16
SNX9	ECH1
UGDH	SLC35B4
UGDH	TCF3
UGDH	UGT1A5
B3GLCT	ALG5
B3GLCT	EXT1
B3GLCT	MGAT3
UGT1A5	B3GALT2
UGT1A5	EXT1
UGT1A5	ALG14
UGT1A5	ALG5
RPS16	DDX47
B3GALT2	EXT1
B3GALT2	AR
B3GALT2	MGAT3
B3GALT2	ALG5
B3GALT2	TCF3
ALG14	EXTL1
ALG14	ALG5
ALG14	MGAT3
ALG14	EXT1
MGAT3	ALG5
MGAT3	GCNT3
MGAT3	EXT1
HMGCR	NME4
HMGCR	NFYB
EXT1	NME4
EXT1	SLC35B4
ATP6V0A1	NME4
MLLT6	TCF3
ANXA1	CHRNA4
HOXA4	ZIC4
RYR3	ATP2A2
MEIS1	TCF3
ATP2A2	CHRNA4
MGAT2	ALG5
MGAT2	NME4
MGAT2	GCNT3
GCNT3	EXTL1
AR	GNAZ
ALG5	EXTL1
ALG5	SLC35B4
SLC35B4	EXTL1
NME4	EXTL1
NME4	ATP5MC3
