#tail	head
MRPS36	MRPL35
EGF	ZMYM2
EGF	HDAC6
EGF	SH3GL1
EGF	SMAD1
EGF	IGHV3-30
ZNF143	POLR2I
ZNF143	MAZ
RPL19	RPL11
RPL19	TRAM1
RPL19	FBL
PGR	MAZ
PGR	CAPZA2
IGHV3-30	IGHD
IGHV3-30	ESR2
GTF2B	DDX20
SMAD3	SMARCA4
SMAD3	CFLAR
SMAD3	ESR2
NOG	NCOA3
NOG	KDM2B
NOG	CDC42EP5
NOG	RAB3A
NOG	ARHGAP6
NOG	ARPC1B
NOG	CLDN6
NOG	ATXN7L1
NOG	NR3C2
NOG	GSPT2
NOG	SPEF2
NOG	TCF3
CLCA3P	CACNB1
HIST1H2BM	NCOA3
HIST1H2BM	TADA3
ARPC1B	DVL2
HIST2H3A	ATXN7L3
HIST2H3A	NCOA6
HIST2H3A	POLR2I
HIST2H3A	TBL1XR1
PAX4	NCOA3
RPL22L1	UPF2
RPL22L1	RPL11
FBL	MAZ
FBL	MRPS27
FBL	CFLAR
CAPZA2	SEPT2
CAPZA2	NR3C2
SEPT2	TBL1XR1
MRPS27	ESR2
CYFIP2	RAC2
MAZ	FUS
RAB3A	CHRNA2
RAB3A	CACNB1
MYOD1	RAC2
MYOD1	RABAC1
MYOD1	CACNB1
DVL2	ESR2
MED24	ESR2
FUS	ZMYM2
FUS	HDAC6
FUS	RALY
RASD2	SMAD1
IGHD	ZMYM2
IGHD	RAC2
ESR2	NCOA6
ESR2	ZMYM2
ESR2	DDX20
ATXN7L3	ATXN7L1
EAF1	DDX20
LDLRAP1	SH3GL1
MCM3	LZTR1
MCM3	DDX20
SH3GL1	RALY
SMAD1	SMARCA4
SMAD1	HDAC6
NCOA3	NCOA6
NCOA3	SMARCA4
RABAC1	NR3C2
DDX20	TCF3
ZMYM2	RAC2
TCF3	ATXN7L1
NCOA6	NR3C2
TBL1XR1	HDAC6
TLE4	HDAC6
