#tail	head
TMOD4	MYL2
SLC38A2	ATP1B4
SLC38A2	TMEM17
SLC38A2	SLC1A4
SLC38A2	PTDSS2
ERG	ETS2
ERG	HDAC2
ERG	H2AFX
ERG	JUN
KIF5A	NCOA2
SLC35D2	CHSY3
SLC35D2	GYS2
HMOX2	TCTN3
GNG11	IGKV2-28
GNG11	HSP90AA1
GNG11	ESR1
GNG11	DRD5
GNG11	TRAF6
GNG11	ADORA2A
GNG11	ADM
GNG11	ETS2
GNG11	FGF17
ESR1	IRF8
ESR1	IGKV2-28
ESR1	GATA4
ESR1	HSP90AA1
ESR1	EIF5A
ESR1	STAR
ESR1	CNR1
ESR1	HIST1H3D
ESR1	SMARCD1
ESR1	EP300
ESR1	SLC2A1
ESR1	PIAS3
ESR1	SNW1
ESR1	FGF17
ESR1	SREBF1
ESR1	RARG
TMEM17	SLC1A4
TMEM17	LNPK
GYS2	GABARAP
PPM1A	FBXL14
HIST1H2BG	AR
HIST1H2BG	HIST1H4J
HIST1H2BG	HIST1H3D
HIST1H2BG	RTF1
HIST1H2BG	ATM
DRD5	INHA
DRD5	TGFB2
HIST1H3D	EP300
HIST1H3D	H2AFX
HIST1H3D	CEP170P1
HIST1H3D	SMARCB1
HIST1H3D	MSH2
HIST1H3D	RARG
RHOB	PKN3
RHOB	DLG4
SLC35A1	GATA4
AR	HIST1H4J
AR	GTF2H1
AR	PIAS3
AR	TP53
AR	HIST2H2AC
AR	H2AFX
QDPR	ALDH3A2
CCL2	TP53
CCL2	EP300
ALDH3A2	GABARAP
ALDH3A2	TCTN3
ELOC	ATM
CEBPE	DDIT3
CIAPIN1	SNW1
RELL2	HIF1A
HIST2H2AC	HDAC2
HIST2H2AC	BRCC3
HIST2H2AC	BABAM1
HIST2H2AC	JUN
HIST2H2AC	RNF8
HIST2H2AC	HIST1H2BD
HIST2H2AC	RARG
TXNL4A	USP43
TXNL4A	SNW1
RARG	HIST1H2BD
SMARCB1	ATM
SMARCB1	HIST1H4J
SMARCB1	SNW1
SMARCB1	GTF2H1
SMARCB1	ETS2
SMARCB1	SMARCD1
GTF2H1	EP300
GTF2H1	SMARCD1
GTF2H1	TAF9
GTF2H1	SREBF1
GTF2H1	RTF1
CHSY3	SCGB2A2
PCBP1	SLC2A1
PCBP1	SNW1
PCBP1	RPL27
HSP90AA1	H2AFX
HSP90AA1	GRK7
HSP90AA1	SNW1
HSP90AA1	TCTN3
HSP90AA1	JUN
HSP90AA1	SF3B3
HSP90AA1	GABARAP
RETREG2	ZDHHC11
PTGES2	EP300
SMARCD1	JUN
TBCD	TP53
CDKN1A	ETS2
CDKN1A	GADD45A
CDKN1A	HSP90AB1
CDKN1A	TP53
CDKN1A	HIF1A
NCOA2	DLG4
NCOA2	PIAS3
NCOA2	TAF9
NCOA2	SLC2A1
GRK7	ADORA2A
GRK7	HSP90AB1
TCTN3	SSR1
ATP1B4	SLC5A11
ATP1B4	SLC1A4
ATP1B4	LMF2
IRF8	GPR22
IRF8	EIF5A
CHRNA9	KLC2
PIAS3	CBS
HIST1H2BD	ATM
HIST1H2BD	HDAC2
HIST1H2BD	H2AFX
HIST1H2BD	RTF1
B4GAT1	UGT1A1
MPG	PAFAH1B2
MPG	JUN
MPG	CSTF1
ADM	JUN
HSP90AB1	SREBF1
HSP90AB1	TP53
HSP90AB1	SSR1
HSP90AB1	SF3B3
SLC1A4	GCLM
SLC1A4	NFS1
PCBD1	GABARAP
TAF9	EP300
TAF9	SNW1
TAF9	TADA2B
SSR3	HIF1AN
TLE1	GADD45A
SNW1	HDAC2
SNW1	GJA1
SNW1	TP53
CBS	TP53
CBS	GCLM
FAM135A	HIF1AN
ETS2	EIF5A
HIF1AN	HDAC2
HIF1AN	EP300
RNF8	BABAM1
GCLM	TP53
STAR	HIF1A
GABARAP	SREBF1
RPL27	NAP1L1
RPL27	JUN
RPL27	EP300
RPL27	TP53
ATM	BRCC3
ATM	HIST1H4J
ATM	H2AFX
ATM	DDIT3
ATM	SREBF1
SLC5A11	DLG4
TP53	TRAF6
TP53	GATA4
TP53	BRCC3
TP53	NAP1L1
EP300	EID2
EP300	SLC2A1
HIST1H4J	JUN
HIST1H4J	H2AFX
HIST1H4J	EIF5A
GJA1	JUN
HIF1A	JUN
HIF1A	AK3
DLG4	JUN
NAP1L1	EIF5A
NAP1L1	SF3B3
NAP1L1	H2AFX
SF3B3	EIF5A
BRCC3	H2AFX
MSH2	SLC2A1
DDIT3	SREBF1
EIF5A	JUN
JUN	HDAC2
SLC2A1	SSR1
