#tail	head
TNFSF11	PLK1
CALM1	ATP1B2
CALM1	GNAQ
CALM1	GNG2
CALM1	IGHV4-34
CALM1	GNGT1
CALM1	PRSS55
CMA1	EDN2
FGFR4	GNGT1
FGFR4	PTPMT1
SIRPA	SPI1
SRPK2	LMNA
SRPK2	HERC3
HERC3	CYP39A1
MYO18A	PICALM
MYO18A	GNG2
MYO18A	PIP5K1A
MYO18A	CALM2
MYO18A	GNG3
PTPRE	KIT
PTPRE	FLT1
PTPRE	PTK2
PTPRE	SUCLG1
FXYD1	GNG3
FXYD1	HNF4A
FXYD1	KCNA2
FXYD1	KCNMA1
FXYD1	ATP1B2
EIF3A	SEPT7
GNG3	GNAQ
GNG3	KIT
GNG3	ATP1B2
GNG3	GNG2
GNG3	GNGT1
GNG3	GNAO1
GNG3	CCL4L1
PLK1	PTK2
PLK1	PKMYT1
PLK1	DNAJB9
SORD	C12orf10
ERG	EP300
KCNMA1	HNRNPL
KCNMA1	PTK2
SEPT7	HNF4A
SEPT7	PICALM
DNAJB9	HNF4A
DNAJB9	MANSC1
ATXN1L	EPB41L2
CCL4L1	GNAQ
CCL4L1	GNGT1
GNS	GBP2
CALM2	PRSS55
CALM2	GNAO1
SUCLG1	HNF4A
PFN1	SRPK1
PFN1	HNF4A
PFN1	FLOT1
LPAR3	GNGT1
LPAR3	LMNA
PICALM	TBC1D8B
PICALM	STON2
GNAO1	GNG2
ATP1B2	GNGT1
ATP1B2	KCNA2
BNIP3L	GBP2
SRPK1	FLOT1
CCL18	GNG2
CCL18	UNC119
GNAQ	STON2
SOCS2	PTK2
EPB41L2	STON2
KCNA2	PDX1
PTK2	HNF4A
PTK2	FLOT1
PTK2	PIP5K1A
PTK2	NDFIP1
BTC	GNG2
BTC	IGHV4-34
BTC	GNGT1
BTC	MATK
BTC	PIP5K1A
VAMP7	PIP5K1A
MARCO	FLOT1
PIP5K1A	KIT
PIP5K1A	IGHV4-34
PIP5K1A	STON2
GNG2	IGHV4-34
TFDP1	SPI1
STON2	HNRNPL
CPLX2	PDX1
NDFIP1	SPI1
KIT	GNGT1
KIT	MATK
LMNA	HNF4A
