#tail	head
EIF2AK3	DLK2
JCHAIN	IGHV3-33
PHF1	GTF3A
ZBTB25	RBL1
SLC38A2	ATP1B4
ARL13B	SACM1L
TRAF3IP1	KIF3C
DNM3	NOG
DNM3	NME2
DNM3	ITSN2
DNM3	SYNJ1
DNM3	PACSIN1
GRK2	LEF1
SP1	ARPC5L
SP1	ADCY8
SP1	ILF3
INPP5E	ARF1
INPP5E	LIMA1
LRRK2	AKT2
LRRK2	NOG
LRRK2	ARF1
GGT7	GSTM1
GGT7	GABPB2
NF1	TANC2
NF1	ZMYM2
NF1	LEF1
NF1	NOG
NF1	LIMA1
YWHAB	BCL2L11
YWHAB	PPP2R2A
LIMA1	HIST1H3F
INPP5D	SNX18
INPP5D	CFTR
INPP5D	PACSIN1
CRACR2B	LNX1
MCM4	EGF
MCM4	ILF3
MCM4	HIST1H3F
PRKAG2	GABPB2
PRKAG2	AKT2
DHX30	RBL1
ARPC5L	SYNJ1
FLT3	GNG12
FLT3	IGHV3-33
LEF1	NOTCH2NLA
LEF1	FGF20
LEF1	CCDC80
LEF1	PID1
LEF1	BCL2L11
AKT2	FGFR1OP2
AKT2	PIK3CA
YY1	CIPC
RABGEF1	CIPC
GTF2I	BCL2L11
SLC38A7	FAM209A
IGKV1-5	FGFR1OP2
IGKV1-5	GNG12
E2F5	EGF
PDE1C	NME2
HLA-DRB4	KIF3C
SLC7A11	NME2
GEM	DISC1
HCN2	ADCY8
SYNJ1	PPP2R5E
SYNJ1	CFTR
SYNJ1	PACSIN1
SYNJ1	SNX18
SYNJ1	IGHV3-33
NME2	GABPB2
KIFC2	COPB2
KIFC2	NOG
ZMYM2	PIK3CA
ZMYM2	NOG
CD28	EGF
CFTR	GAPVD1
CFTR	GOPC
CFTR	CCDC80
CFTR	PPP2R2A
RBL1	PPP2R2A
VAV3	IGHV4-39
VAV3	IGHV3-33
VAV3	PIK3CA
VAV3	GAB2
PTPN13	PIK3CA
NOG	SNX18
NOG	PATZ1
GABPB2	SHC1
SHC1	FCGR2B
SHC1	FGFR1OP2
GNG12	IGHV4-39
IGHV3-33	FGF20
GTF3A	LBX1
ILF3	ILF2
IGHV4-39	PIK3CA
OR2T12	NOTCH2NLA
SNX18	GAPVD1
HIST1H3F	ZKSCAN8
EGF	DDIT3
FAM209A	LRP10
FAM209A	CD53
PIK3CA	FGF20
GAPVD1	GDI1
