#tail	head
CCNJL	TROAP
TRPC7	IGKV1-39
TRPC7	IGKV2D-30
TRPC7	ITPR3
TRPC7	CALM1
TRPC7	TRPC1
TRPC7	GNG12
TRPC7	RASGRP4
PHF1	NOG
PHF1	PAX4
PHF1	MAGED1
PHF1	HIST1H3B
PHF1	HIST1H4A
PHF1	RAD50
MAPK8	MAGED1
MAPK8	FADD
MAPK8	HDAC1
MAPK8	HIST4H4
MAPK8	TP53
MAPK8	NOG
MAPK8	MYC
MAPK8	HIST1H4I
MAPK8	PNP
MAPK8	AQP9
MAPK8	CDKN1B
MAPK8	YWHAG
MAPK8	AKT2
MAPK8	RAD50
MAPK8	SMAD1
MAPK8	RB1
CCNH	ELOA3B
CCNH	RFC1
CCNH	RAD50
CCNH	POLR2A
CCNH	POLR2I
CCNH	TCF12
CCNH	AKT2
MRPL24	NTRK1
MRPL24	NPM1
MRPL24	NXF1
MRPL24	MRPS16
MRPL24	HSPD1
GRIN2B	GRIA1
GRIN2B	GRIK1
GRIN2B	TCF12
GRIN2B	GGT1
GRIN2B	CALM1
GRIN2B	MYC
GRIN2B	VAMP2
GRIN2B	MYL12B
GRIN2B	PPP2CB
GRIN2B	RASGRP4
GRIN2B	SLC9A2
GRIN2B	SPI1
IGKV1-39	CALM1
IGKV1-39	IGHV2-5
IGKV1-39	GNG12
IGKV1-39	IRS2
IGKV1-39	BDNF
IGKV1-39	SRC
IGKV1-39	MYD88
KNL1	PPP2CB
KNL1	SGO1
KNL1	HIST1H4I
KNL1	HIST4H4
KNL1	INS
KNL1	HIST1H4A
KNL1	NDE1
KNL1	BUB1B
KNL1	HIST1H4F
WWP2	UBB
WWP2	NPM1
WWP2	NTRK1
WWP2	HIST1H4A
WWP2	SMAD1
WWP2	CSDE1
GDA	LGSN
GDA	HSPD1
GDA	PNP
GDA	SLC9A2
GDA	RHBG
IL12B	NFKB1
IL12B	HIST1H4I
IL12B	EPOR
IL12B	IL10
IL12B	HDAC3
IL12B	TP53
IL12B	NAMPT
IL12B	NOG
MED13	CRX
MED13	HIST1H4I
MED13	HIST4H4
MED13	SRF
MED13	MED28
MED13	KAT2A
MED13	INS
MED13	HIST1H4F
MED13	NFKB1
MED13	CHUK
MED13	NUDCD1
GBP5	C1orf159
GBP5	LCA5L
PSMC2	NXF1
PSMC2	CUL1
PSMC2	NFKB1
PSMC2	SDHA
PSMC2	PPP2CB
PSMC2	GFPT1
PSMC2	MYC
PSMC2	RBL1
NF1	BDNF
NF1	GIGYF2
NF1	C4B
NF1	TYR
NF1	AQP9
NF1	VAMP2
NF1	CALM1
NF1	SOAT1
NF1	NOG
BUB1B	AQP9
BUB1B	UBB
BUB1B	SGO1
PYGM	ATP6V0D1
PYGM	ITPR3
PYGM	TP53
PYGM	PYGB
PYGM	TRPC4AP
PYGM	GCLC
PYGM	PAX4
PYGM	GRIA1
PYGM	GRIK1
PYGM	IARS
PNP	NOG
PNP	FPGS
PNP	PTPRQ
PNP	PEX6
SGO1	KNTC1
SGO1	NDC80
SGO1	NDE1
RPLP0	RPL28
RPLP0	OBSL1
RPLP0	INS
RPLP0	HNRNPM
RPLP0	SGTA
RPLP0	TP53
RPLP0	UBB
RPLP0	LDHA
RPLP0	IARS
RPLP0	NTRK1
HIST1H3B	NOG
HIST1H3B	RBL1
HIST1H3B	HDAC8
HIST1H3B	POLR2A
HIST1H3B	NPM1
HIST1H3B	SIN3A
HIST1H3B	MRPS27
HIST1H3B	HIST1H4I
HIST1H3B	AKT2
HIST1H3B	KDM2A
HIST1H3B	POLDIP2
HIST1H3B	HSPD1
HIST1H3B	RFC1
KDM1A	EPAS1
KDM1A	LOXL4
KDM1A	OBSL1
KDM1A	RB1
KDM1A	SIN3A
KDM1A	HIST1H4F
KDM1A	HIST1H3H
KDM1A	INS
KDM1A	HIST1H4A
HIST1H4F	HDAC8
HIST1H4F	MYC
HIST1H4F	NTRK1
HIST1H4F	NPM1
HIST1H4F	HNRNPH1
HIST1H4F	OBSL1
HIST1H4F	RELA
HIST1H4F	POLR2A
HIST1H4F	NFKB1
HIST1H4F	POLR2I
HIST1H4F	HDAC3
LGSN	BCAT1
LGSN	SLC9A2
LGSN	GFPT1
LGSN	RHBG
RAB11A	TMEM43
RAB11A	SOAT1
RAB11A	HAUS4
RAB11A	PAX4
RAB11A	NTRK1
RAB11A	NDE1
RAB11A	ATP5F1C
RAB11A	GRIA1
PYGB	TRPC1
PYGB	TRPC4AP
PYGB	CACNB4
PYGB	ATP6V0D1
PYGB	ITPR3
PYGB	CACNG2
PYGB	GCLC
GRIA1	GSTT1
GRIA1	CACNG2
GRIA1	AHCYL2
GRIA1	VAMP2
GRIA1	CLCA3P
GRIA1	NOG
GRIA1	PAX4
STXBP4	VAMP2
STXBP4	NFKB1
STXBP4	INS
IGKV1D-16	IRS2
IGKV1D-16	KL
IGKV1D-16	SRC
IGKV1D-16	ITPR3
IGKV1D-16	BDNF
IGKV1D-16	MYD88
IGKV1D-16	C4B
AKR1C2	TYR
AKR1C2	GSTA1
AKR1C2	IL10
AKR1C2	LDHA
AKR1C2	LDHAL6B
AKR1C2	NOG
AKR1C2	TRPC1
ITPR3	TRPC1
ITPR3	MYL12B
ITPR3	NPM1
ITPR3	INS
ITPR3	VAMP2
ITPR3	EPOR
ITPR3	NOG
ITPR3	IGKV2D-30
POLDIP2	SORBS1
POLDIP2	STOML2
POLDIP2	HIST1H3H
POLDIP2	NAPG
GGT1	NOG
GGT1	GSTT1
GGT1	FPGS
GGT1	GSTA1
GGT1	MYC
TRPC1	VAMP2
TRPC1	INS
TRPC1	HNRNPM
TRPC1	CLCA3P
TRPC1	FCHSD2
TRPC1	TYR
TRPC1	IARS
TRPC1	MYL12B
SIN3A	HDAC1
SIN3A	HIST4H4
SIN3A	HDAC3
SIN3A	NXF1
SIN3A	NTRK1
SIN3A	NOG
SIN3A	GTF2A1
SIN3A	INS
SIN3A	HIST1H4A
SIN3A	RELA
SIN3A	SPI1
SIN3A	DDX20
SOAT1	ATP5F1C
SOAT1	IARS
SOAT1	NOG
SOAT1	HDAC8
SOAT1	RB1
SOAT1	RPL28
IRS2	IGHV2-5
IRS2	AKT2
IRS2	IGKV2D-30
IRS2	CALM1
IRS2	NTRK1
SLC9A2	RRM2
FBXO11	PAX4
FBXO11	COMMD6
FBXO11	SPI1
FBXO11	COMMD10
DDX20	MYC
DDX20	SGTA
DDX20	SORBS1
DDX20	POLR2A
RELA	BDNF
RELA	HIST1H4I
RELA	COMMD6
RELA	S100B
RELA	HIST1H4A
RELA	NAMPT
RELA	RASGRP4
RELA	PEX1
RELA	PPP2CB
RELA	NOG
RELA	MYC
RELA	BAG2
RELA	HSP90AA1
RELA	KDM2A
RELA	GSTA1
RELA	GCLC
RELA	CHUK
RELA	HDAC3
RELA	NPM1
RELA	NTRK1
RELA	SRF
IGKV2D-30	AKT2
IGKV2D-30	BDNF
IGKV2D-30	DGKH
IGKV2D-30	C4B
IGKV2D-30	SRC
AKT2	INS
AKT2	UBB
AKT2	BDNF
AKT2	PRKAA1
AKT2	CUL1
AKT2	OR5I1
AKT2	HIST1H3H
AKT2	SRC
AKT2	PHF20
COMMD6	INS
COMMD6	DCAF7
COMMD6	COMMD10
COMMD6	KLHL42
COMMD6	DCAF4
PHF20	HIST1H4I
PHF20	HIST1H3H
PHF20	MAX
FCHSD2	SDHA
FCHSD2	MYC
FCHSD2	MAX
FCHSD2	PAX4
FCHSD2	LCA5L
FCHSD2	GSTT1
FCHSD2	GTF2A1
VAMP2	CALM1
VAMP2	CACNG2
VAMP2	CLTB
VAMP2	INS
VAMP2	CACNB4
VAMP2	GTF2A1
VAMP2	AP1B1
VAMP2	UBB
