#tail	head
RBL1	BCL3
SLC25A22	GPT
BLNK	GRB2
BLNK	PIK3R3
BLNK	IGHV3-7
BLNK	MYD88
ACSBG2	BAAT
AHR	RHOA
AHR	COL6A2
SLC38A2	SLC38A1
SLC38A2	SLC36A1
SMC2	HIST1H4L
MYD88	RNF4
MYD88	RHOA
AIFM1	ADRB2
AIFM1	RPL36A
AIFM1	SMIM12
NR0B2	SERPINF1
SLC38A1	SLC7A10
SLC38A1	SLC36A1
SLC38A1	BAAT
SLC38A1	GPT
SLC38A1	SLC9A7
NOG	SLC31A1
NOG	ZCCHC17
NOG	ESR2
NOG	VEGFA
NOG	ATP1B2
NOG	ENO1
NOG	DLX4
NOG	PIK3R3
NOG	GPLD1
ADRB2	VEGFA
ADRB2	GRB2
ADRB2	SCO1
ADRB2	NDUFS3
HIST1H2BM	HIST1H4L
GC	PIK3R3
SLC7A10	GPT
STAT5A	ESR2
STAT5A	TRIM47
CCL3	VEGFA
VEGFA	PIK3R3
VEGFA	GRB2
HIST1H4L	DCN
HIST1H4L	ESR2
HIST1H4L	RNF4
IDH3B	GPT
AKR1B15	ENO1
SLC36A1	BAAT
RNF4	NDUFA9
RNF4	PTRH2
FCGR3B	GPLD1
FCGR3B	NRP2
IDE	ESR2
SERPINF1	SCO1
SERPINF1	SLC31A1
HECW2	EIF3H
RHOA	PIK3R3
RHOA	GRB2
ESR2	ENO1
ESR2	USP30
ESR2	NDUFS3
ESR2	IGHV3-7
ESR2	TRIM47
ESR2	GRB2
ESR2	EIF3H
GRB2	IGHV3-7
SCO1	NDUFS3
HIF1AN	NDUFS3
DAPP1	PIK3R3
IGHV3-7	PIK3R3
