#tail	head
NEK1	TTC25
GRIN1	SNAP25
GRIN1	PTAFR
GRIN1	PRKCA
GRIN1	SLC9A2
GRIN1	UNC13B
GRIN1	PPP3CA
GRIN1	PPP2R1A
GRIN1	UNC80
GRIN1	EPHB2
GRIN1	CHRNA4
GRIN1	HSPA1A
GRIN1	HTT
GRIN1	HSPA1B
GRIN1	SLC6A11
GRIN1	MYH3
ELOA	POLR2L
ELOA	NTRK1
ELOA	PSMB9
ELOA	TAF1
ELOA	GRIPAP1
ZAP70	STAT5B
ZAP70	PTPN21
ZAP70	SHB
ZAP70	PRKCA
ZAP70	EGFR
ZAP70	PTGS2
ZAP70	WIPF1
ZAP70	DUSP7
RUSC1	FAM9B
RUSC1	ACTB
RUSC1	C17orf82
CLDN3	ALB
CLDN3	C4B_2
CLDN3	HTT
CLDN3	PRKCA
CLDN3	KRT8
CLDN3	YBX1
CLDN3	TNF
CLDN3	EGFR
STAT2	GRIPAP1
STAT2	PRKAB1
STAT2	PAK2
STAT2	EGFR
STAT2	TAF1
STAT2	ESR1
STAT2	PRKAB2
STAT2	STAT5B
STAT2	SYK
ALB	SDR16C5
ALB	AKR1C3
ALB	TNF
ALB	PPARA
ALB	PPARG
ALB	CYP2A6
ALB	SLC30A8
ALB	CHRNA1
ALB	PTGS2
ALB	ESR1
ALB	RB1
ALB	CFH
ALB	CHRNA4
ALB	IL1B
ALB	HSPA1A
ALB	NOX4
ALB	PRKCA
ALB	NAMPT
ALB	MPO
ALB	KRT8
ALB	HTT
ALB	SLC30A10
ALB	ACTB
ALB	VDR
SORBS2	G3BP1
SORBS2	GNAI2
SORBS2	IARS
SORBS2	EGFR
SORBS2	CEBPA
SORBS2	IGF2BP3
SORBS2	EEF2
SORBS2	PPP2R1A
SORBS2	POLDIP2
SORBS2	RFC4
SORBS2	SQSTM1
SORBS2	ATP6V0A1
SORBS2	SNW1
SORBS2	STUB1
SORBS2	RPL9P7
SORBS2	SMN2
SORBS2	YBX1
SORBS2	NOG
SORBS2	AIMP2
SORBS2	HSPA1B
SORBS2	GNAI3
SORBS2	AP1M2
SORBS2	HSPA1A
SORBS2	SPTBN1
SORBS2	KCTD3
SORBS2	ESR1
SORBS2	GNAQ
SORBS2	PLEKHA7
SORBS2	SPINT1
SORBS2	SLBP
SORBS2	PAK2
GABPA	PRKAB1
GABPA	TAF1
GABPA	ACTB
GABPA	NOG
GABPA	PCBP4
GABPA	MRPL3
GABPA	RFC4
GABPA	GNAI3
GABPA	PPP3CA
GABPA	WIPF1
GABPA	NUFIP1
GABPA	TRPV2
HIST1H1A	JUN
HIST1H1A	ACTB
HIST1H1A	TAF1
HIST1H1A	PRKCA
HIST1H1A	XRCC6
HIST1H1A	CNBP
HIST1H1A	RB1
THBS1	CEBPA
THBS1	SIN3A
THBS1	TNF
THBS1	CYP2A6
THBS1	SDC1
THBS1	CFH
THBS1	PPARA
THBS1	JUN
THBS1	SRF
THBS1	HIST2H4B
ARHGEF4	TRIM25
ARHGEF4	ESR1
ARHGEF4	NOG
ARHGEF4	PIK3R1
ARHGEF4	GRAP2
VTI1B	NOG
VTI1B	AP3M1
PPFIA2	POU2F1
PPFIA2	CHRNA4
PPFIA2	UNC13B
PPFIA2	PPP2CA
PPFIA2	SNAP25
PPFIA2	PPP2R1A
PIK3R1	IGHV2-70
PIK3R1	THRB
PIK3R1	RB1
PIK3R1	IL1B
PIK3R1	TRIM25
PIK3R1	SEPT2
PIK3R1	ESR1
PIK3R1	GNG7
PIK3R1	GNGT2
PIK3R1	CD247
PIK3R1	FZD4
PIK3R1	SQSTM1
PIK3R1	EGFR
PIK3R1	CEBPA
PIK3R1	NTRK1
PIK3R1	NOG
PIK3R1	SLC9A2
PIK3R1	IGHG4
PIK3R1	STAT5B
PIK3R1	VDR
PIK3R1	SHB
PIK3R1	TNF
PIK3R1	GRAP2
PIK3R1	PPARA
PIK3R1	HTT
THAP7	HIST2H4B
THAP7	TRAF2
THAP7	RPL7
THAP7	GNAI1
LENG8	SMN2
LENG8	MECP2
RNF169	PLOD1
RNF169	SIN3A
ESR1	DNAJB6
ESR1	PTGS2
ESR1	RPL5
ESR1	MDM4
ESR1	XRCC6
ESR1	GNG7
ESR1	NAMPT
ESR1	KRT8
ESR1	YBX1
ESR1	SIN3A
ESR1	RPL11
ESR1	SLC30A10
ESR1	CHRNA4
ESR1	CYP2A6
ESR1	CD247
ESR1	POU2F1
ESR1	TRIM25
ESR1	GNAI2
ESR1	TNF
ESR1	SMC3
ESR1	POMC
ESR1	SMAD3
ESR1	PPARA
ESR1	SPTBN1
ESR1	RPS25
ESR1	PPP2CA
ESR1	JUN
ESR1	LGALS7
ESR1	THRB
ESR1	RB1
ESR1	HSPA7
ESR1	GNG3
ESR1	SART3
ESR1	SYK
ESR1	PPP2R1A
ESR1	MECP2
ESR1	IGHG4
ESR1	RPL9P7
ESR1	MRPL27
ESR1	SNW1
ESR1	CYBB
ESR1	IARS
ESR1	G3BP1
ESR1	IL1B
ESR1	HSPA1A
ESR1	HSPA4
ESR1	FOSB
ESR1	POLR2L
ESR1	HSPA1B
ESR1	PSMB9
ESR1	GNAI3
ESR1	CEBPA
ESR1	GNGT2
ESR1	DNM1L
ESR1	AKR1C3
ESR1	GNAQ
ESR1	SYNCRIP
SDS	SLC38A4
SDS	ACSL3
SDS	SLC9A2
GNAQ	SPTBN1
GNAQ	NUFIP1
GNAQ	SMN2
GNAQ	SPINT1
GNAQ	RGS21
GNAQ	KDR
GNAQ	SNW1
GNAQ	SEPT2
GNAQ	PLEKHA7
GNAQ	GNAI1
GNAQ	GNGT2
GNAQ	PTAFR
GNAQ	PRKCA
GNAQ	GNG7
GNAQ	GNAI3
GNAQ	AKR1C3
GNAQ	TNF
GNAQ	SLBP
TRIB3	SQSTM1
TRIB3	NOG
