#tail	head
VIM	ASPH
ADPGK	E4F1
MCOLN3	ACTG2
RNF31	TUBB4B
CCDC14	APP
SFSWAP	MYC
E2F4	TFCP2
PLA2G4F	AHSG
KLHL20	UBE2V1
CSNK1D	RIPK4
SLC2A1	COL1A1
SLC2A1	ELAVL1
SDC3	PSG4
SDC3	SDCBP
OR4K1	RTP3
IL2RA	SNTA1
AFMID	STK17B
ST6GALNAC5	SMAD3
DAGLB	GNG7
TBX5	KAT5
NXF1	KPNB1
CDH1	ACTA1
GMNN	ATM
PREX2	TP53
RPS19	MRPL53
RPS19	ICAM1
SDC4	ARFGAP1
SDC4	EXOSC7
STON2	CCAR2
EED	KHSRP
ATP2B3	PRKAG1
GNGT1	IGKV1-17
BICD2	HIST2H2BE
CASP8	MAP3K5
PLAC1	REPIN1
TMEM30A	ELAVL1
TUBB6	DNAH5
NR5A2	GPS2
PIK3CA	MAP2K2
KIT	ITK
RTP3	OR13C9
TLN2	SPAST
GNB1	RELA
GNB1	ACO2
ZBED8	ARID3A
RUNX3	RORC
PMEPA1	SGTA
C16orf87	ARID5B
PTH	MYC
KANK2	TFDP3
SMAD3	SIPA1
ENAM	NEK4
HTR2C	ATP6AP2
GNG5	CACNA2D2
RBM25	INS
ATP5F1C	RIPK4
TYMS	CSNK2A1
CKMT2	INS
CPNE3	ESR2
TNIP2	RPS11
CD93	SRC
ADH1B	UGT1A4
PCDHA12	IL1RAP
KDM1A	NR2E1
KDM1A	EGLN3
MRPL49	ATP12A
CAMK2B	OCLN
HMGCR	PPCDC
RMND5A	APP
TP53	PHC3
TP53	PRDX1
TP53	REEP3
TP53	UGT8
TP53	LZTS2
TP53	JUN
TP53	SUPT7L
ABCC1	FNDC11
PPP1R18	MYO19
REL	MSRB3
DCUN1D1	ZNF326
DCUN1D1	MAPK3
FSCN1	AIFM1
RUVBL2	EFTUD2
PRODH	SELENOH
DCUN1D3	FBXL16
DCUN1D3	FBXL15
DCUN1D3	ASB14
SNW1	KPNB1
NPM1	ZNF131
NPM1	ACY1
NPM1	KIF11
RPL27A	RPS24
NOSTRIN	ICAM1
HTT	ARL4C
HTT	TUBB1
TARDBP	NCAM1
SKA2	REPIN1
PLTP	SP1
HNRNPH2	ELAVL1
EBNA1BP2	HIST1H3G
SPHK1	CD3D
SPHK1	MBTPS1
SPHK1	TRPV1
NAGPA	BDKRB1
CLUH	MYC
OR4F29	GNAL
EPO	GSTA4
IL10	PDCD10
SCLY	HYI
NKRF	JUN
BCO1	FN1
GNA11	MCHR1
HIST1H4E	HIST1H2AB
YWHAQ	AFDN
YWHAQ	KRT18
CTTN	MTUS1
CFL2	INS
P4HA3	GLUD2
HNRNPK	MYC
SBNO1	ESR2
HDAC1	SNX9
ABCB6	APP
GSTM1	GSTA3
AIFM1	BLVRA
MYC	PHLDB2
MYC	FOXQ1
MYC	AGO3
HIST1H4D	RNF8
GRIP1	JUN
CDC42	INCENP
CDC42	AREG
PUF60	SNRPB
POLR2F	PHF5A
GAL3ST1	APP
PKP1	KRT5
ANP32E	HSCB
POLR1C	ZC2HC1C
POLR1C	ZFP57
POLR1C	HIST1H2BG
C1QA	IGHV1-46
TBCC	RREB1
PDLIM1	SEPT2
PDLIM1	ARIH2
PIK3R5	ZMYM2
PIK3R5	CLTB
CCP110	BPNT1
PIK3R1	LNX2
PIAS1	SMAD4
LAMC1	SMAD4
RTP5	OR56B1
SRRM2	SFN
SRRM2	FGF11
EGLN3	SORT1
EGLN3	PTOV1
EGLN3	KATNAL2
NECAP2	SNX9
HNRNPA1	SRSF11
FMR1	PDGFA
TGOLN2	TBC1D22A
TGOLN2	PRKD2
FURIN	ELAVL1
SIPA1L3	PPP1R9B
SIPA1L3	EIF4B
SRC	HDLBP
SRC	LATS1
SRC	DOCK1
SRC	SLC9A3R2
ATP5PF	IL6
HAUS6	CEP162
TBL3	CUL7
APP	ZNF225
CUL7	UBE2C
CUL7	IDH3A
ATF1	SAE1
RPS14	NCL
ERLEC1	TNFRSF1A
WASF3	ESR2
ITK	IGKV3-15
PPP1CA	ZBTB38
PPP1CA	CSRNP3
PPP1CA	PAFAH1B2
SPAST	SEMA6C
RPS16	EIF4B
SLC22A1	MMP2
HOXD4	PCYOX1
OR56B1	GNAL
PRKCZ	LCK
CSNK2A1	APOE
CSNK2A1	AHCY
KRT40	TYK2
FBXL18	COPS7A
VKORC1	HSCB
ITGA2	ITGBL1
COPS7A	PSMD1
SLC25A3	GABARAPL2
DDX23	SNRPD3
GRM5	INS
PAPPA	PTK2
CBFA2T3	B3GNT5
STOML2	WDR1
PGF	ICAM1
GABARAPL2	HSPB1
OTP	SP1
SNU13	PPIE
RAP1A	UNK
RAP1A	PTK2
TRIM27	RB1
GAS2L3	ESR2
SF3A1	EFTUD2
GSPT1	ESR2
RELA	PAK1
RELA	HSD11B1
RELA	OPCML
MELTF	MESD
INPP5A	GNG7
DIRAS3	HNF4A
CUX1	NIN
POLA1	ENTPD3
SLC24A5	SLC6A7
YWHAE	JUN
TAZ	GSK3B
KMT2A	INS
OR56A3	REEP5
PDX1	SMARCA2
KIAA1551	AHSG
SNX9	ECI2
SNX9	EIF3A
SNX9	COPS4
IGLC2	ESR2
CNGB3	PITX2
FBXO6	CMAS
REEP6	CEBPA
CSNK1A1L	CBX1
IL4	CBL
FN1	YWHAG
HS2ST1	ESR2
TGFBR1	LIMS1
ALDH3B2	ENTPD3
MICU3	INS
SMAD4	EPC1
HNF4A	ABHD6
ATM	HIST3H3
ATM	HIST4H4
STX17	IRF1
MECOM	ELAVL1
NR0B2	IL6
PSMC3	SUFU
CHD3	VDAC2
PITX2	RYBP
MYL6B	TRPC4
MYL6B	TRPV3
CKAP4	HIST1H3F
INTS6	TAF9
HSPA5	PROZ
HSPA5	PTCD3
GNAI2	GNG7
HIST2H2AA3	HIST2H2BE
SP1	MCTS1
ICAM1	APEX1
EGR1	KLF4
OCLN	SEC24C
NME1	ENTPD3
MFSD13A	INS
OR11H6	GNAL
AQP9	MESD
RALY	SNRPD3
IGKV1-16	BAIAP2
GYS2	NME5
LIMS1	COL9A2
KPNB1	TMEM214
EFTUD2	RPL35A
INS	FMNL2
GARS	CORO1C
GNAL	OR5B17
BAG4	PDGFA
MAGEA12	JUN
FBXL20	COMMD5
HSPA7	IRF1
HNRNPH3	PCBP1
MESD	H2AFB2
PLOD3	SDHD
RRBP1	IRF1
CORO1C	JUN
XRCC5	KAT5
DNAJB9	IFNG
GFRA3	IRF1
HS6ST2	JUN
NF1	CBFA2T2
NCL	EIF5B
ELAVL1	ALKBH5
PTK2	NRG1
HIST1H3F	RPL29
MORF4L1	HIST2H2BE
VDAC2	SLC38A1
HIST2H2BE	NEDD8
IFNG	SELENOH
NOTCH2NLA	ARID3A
TUBA8	REPIN1
CCL2	OR1D2
KRT5	HSPA1A
FBXO11	COPS4
