#tail	head
NAT8L	ACAT1
CXCR3	ADRA2A
CXCR3	PKD1
HSD17B2	IGF1
HSD17B2	CGA
HSD17B2	HSD11B1
HSD17B2	CYP1A2
MCRS1	GPS1
MCRS1	BACH2
MCRS1	INO80C
MCRS1	PIP5K1B
HMOX2	PTPN1
JUP	SLC24A2
JUP	PKD1
JUP	LEF1
JUP	FOXF2
JUP	ACTR2
CRAT	ACAA1
CRAT	MEIS1
CRAT	ACOT7
EXOC6	ASAP1
EXOC6	MEIS1
HSD11B1	AKR1C1
HSD11B1	LEF1
HSD11B1	NOS2
SLC24A2	CACNA2D4
SLC24A2	SLC6A6
SLC24A2	FOXF2
SLC24A2	ATP1A3
ATP1A3	MEIS1
ASAP1	PKD1
ASAP1	PLD1
FNBP1	PIP4K2B
FNBP1	SLC2A8
STAT1	MEIS1
ACAT1	ACSL1
ACAT1	HADH
ACAT1	ACOT7
PIP4K2B	HSP90AA1
PIP4K2B	PLD1
LEF1	HADH
LEF1	PPP1R12A
LEF1	SOX21
LEF1	CDX2
LEF1	SLC44A1
LEF1	DPYSL4
MAPRE3	BACH2
ALG2	HSP90AA1
TROAP	INO80C
PGAM4	IGF1
HADH	ACSL1
PIP5K1B	HSP90AA1
PIP5K1B	ITGAV
PIP5K1B	PLD1
FOXF2	IGF1
FOXF2	MEIS1
FOXF2	ACSL1
FOXF2	HMCN1
FOXF2	POU3F3
FOXF2	IL10
FOXF2	PPP1R12A
FOXF2	MECOM
CACNA2D4	PKD1
ADRA2A	ANXA2
ADRA2A	CYP1A2
ADRA2A	F2RL3
ACTR2	CDH6
ACTR2	PTPN1
ACTR2	SYNJ2
ACTR2	PPP1R12A
PTPN1	SLC39A4
PTPN1	CDH19
NR1I3	CGA
NR1I3	HSP90AA1
NR1I3	MED1
SLC44A1	PLD1
SLC44A1	MECOM
SYNJ2	PLCG1
HSP90AA1	ITGAV
HSP90AA1	PLCG1
HSP90AA1	ANXA2
HSP90AA1	SLCO2A1
ITGAV	IGF1
ITGAV	NOS2
ITGAV	TXNRD1
ITGAV	LAMB4
MEIS1	BACH2
MEIS1	CHRNB3
MEIS1	CDX2
MEIS1	ARHGDIB
MEIS1	PELI2
MEIS1	ACTN2
ARHGDIB	MECOM
ARHGDIB	RHOC
ARHGDIB	SLCO2A1
SLC6A6	ACTN2
SLC6A6	SLC12A5
AKR1C1	SLC2A1
AKR1C1	IGF1
CYP1A2	SLCO2A1
CYP1A2	IGF1
F2RL3	CGA
KLHDC3	DPYSL4
ACSL1	MED1
ACSL1	ACAA1
ACSL1	ACSM2B
ACSL1	DGAT2L6
ACSL1	SLC2A8
CGA	TRIM2
CGA	ADORA2A
CGA	TXNRD1
HNRNPL	PPP1R12A
HNRNPL	TMEM255B
HNRNPL	PLCG1
IGF1	TXNRD1
IGF1	MED1
ACAA1	ACSM2B
IL10	GLRA1
GPS1	DCAF17
MED1	SLC2A1
