#tail	head
JCHAIN	IGLV2-11
FOXO4	OLFM4
FOXO4	EXT1
FOXO4	FOXB1
FOXO4	NXPH3
FOXO4	NAP1L1
FOXO4	HIST1H1C
FOXO4	INS
FOXO4	SMAD3
FOXO4	NTRK3
FOXO4	TGIF1
TTC12	POU3F1
ONECUT1	SLC17A6
ONECUT1	CH25H
ONECUT1	NR3C1
ONECUT1	TECTA
PDE4B	IL4
POLE	POLR2D
MEMO1	RBM45
NR3C1	CRCT1
NR3C1	ELAVL1
NR3C1	RELCH
NR3C1	CXCR4
VCL	UNK
VCL	ETS2
IGLV2-11	AKT2
GDF11	BMP8B
WDR11	CENPC
WDR11	ALDH1L2
WDR11	FBL
KPNA4	HIST1H2BK
KPNA4	CCT6A
AOX1	UGT2B17
POLR2D	HIST1H2BK
POLR2D	SF1
UBXN1	UBC
LCE1C	WDYHV1
LCE1C	VWC2L
IRGM	NOD1
TGIF1	KCNH2
TGIF1	SMAD3
TMEM17	NOG
GRM8	ESRRA
GPSM1	HCAR1
NTRK3	FGF7
NTRK3	PTPN5
IGKV5-2	SOS1
MYH9	CFTR
MYH9	EMD
MYH9	PRKD2
UGT2B4	EXT1
UGT2B4	B3GALT1
INPP5D	IGHV3-48
INPP5D	UBC
BCL2L14	TP53
SLC35A1	UCK1
IL4	FZD1
IL4	IL1R2
IL4	GHR
GGT3P	GRIN2D
HIST1H2BK	RIF1
HIST1H2BK	CENPC
EMD	SFPQ
EMD	NF2
EMD	AGO2
BHMT	SLC6A12
PIP4K2C	FBXO25
FGF7	HPSE
FGF7	IL33
FGF7	CXCR2
RBM45	INS
SLC9A2	SLC1A4
PLA2G12A	DVL2
PLA2G12A	BAAT
RELA	APP
RELA	NOG
RELA	CXCR4
RELA	LGALS3BP
RELA	HIST1H1C
RELA	SFPQ
RELA	HSP90AB1
RELA	HSP90AA1
RELA	GRIN2D
FN1	APOA2
FN1	ELK1
FN1	CFL1
FN1	PRG4
MTHFR	CHRNA7
MTHFR	GLRA1
LEF1	SOS1
LEF1	AGO2
LEF1	ADRB2
LEF1	EGLN3
LEF1	ELK1
LEF1	HABP2
LEF1	HSP90AB1
GDF3	BMP8B
AKT2	IL33
AKT2	SOS1
AKT2	IGHV4-59
AKT2	PPP2R1B
HLA-B	LILRA4
HLA-B	LILRA3
SLC25A22	EGLN3
SLC25A22	NF2
SLC25A22	SLC17A6
ELK1	DCAF1
ELK1	TP53
ELK1	ITM2C
ELK1	FURIN
ELK1	ZNF585A
ELK1	CDC45
ELK1	TUBGCP4
SLC35E2A	NOG
TBC1D4	NOG
RPS2	AGO2
RPS2	INS
RPS2	TP53
RPS2	FBL
UNK	NOG
HIST2H3D	SPI1
HIST2H3D	NAP1L1
IL33	FGF17
FRRS1L	SMAD3
TRAPPC3	TRAPPC5
GPBAR1	INS
TGFB3	ETS2
SORCS1	FURIN
CFL1	APP
CFL1	FBXO25
GRIK1	APP
ADAM33	TOR3A
PIGH	EXT1
PIGH	UCK1
GPC5	NOG
GCNT1	UCK1
GCNT1	B3GALT1
HSP90AA1	OCRL
HSP90AA1	BECN1
HSP90AA1	AGO2
ELAVL1	ZNF664
ELAVL1	HSPA1A
ELAVL1	SF1
ELAVL1	CASP3
ELAVL1	OCRL
ELAVL1	SLC16A6
ELAVL1	EIF4A3
ELAVL1	DCUN1D4
SFPQ	AGO2
SFPQ	TNIP2
NKAIN4	SLC1A4
DGKI	ESRRA
DGKI	IGHV4-59
PRG4	CDC45
PRG4	MECOM
PRG4	APOA2
SF1	HSPA1A
SF1	ATXN1
SF1	EIF4A3
PRLR	IFNA5
PRLR	CXCR4
UBC	CDC37
UBC	CCT6A
UBC	FGF17
UBC	PPP2R1B
CFTR	ATP5PD
CFTR	PACSIN3
GRIN2D	SLC13A3
BRCA2	CDC45
EGLN3	ECPAS
EGLN3	ZC2HC1A
ESRRA	ADRB2
ESRRA	RFX1
ESRRA	DDB1
ESRRA	BECN1
SMAD3	TP53
SMAD3	NF2
HSP90AB1	FBXO25
HSP90AB1	PASK
HSP90AB1	KLHL1
HSP90AB1	SETD1A
HSP90AB1	FBL
NOG	PASK
NOG	EXT1
NOG	ANXA6
ADRB2	OCRL
ZC2HC1A	APP
CDC37	ETS2
CDC37	MATK
CDC37	IGHV4-59
FGF17	IGHV4-59
ZNF585A	TFRC
MEPE	LRP2
SV2A	ATXN1
ATXN1	NARS
ATXN1	ETS2
APOA2	HSPA1A
GHR	CISH
EXT1	MECOM
B4GALT3	ANP32A
CASP3	HSPA1A
CASP3	INS
CASP3	BECN1
CASP3	TFRC
INS	LDHB
INS	HIBCH
INS	AGO2
TFRC	DVL2
TFRC	APP
MECOM	SLC17A6
EIF4A3	AGO2
OCRL	IGHV3-48
C9orf153	APP
TP53	DVL2
TP53	FBL
SETD1A	AGO2
HIST1H2BM	APP
HIST1H2BM	NAP1L1
DDB1	POLD4
DDB1	NF2
ATP5PD	TNIP2
ATP5PD	APP
TNIP2	NF2
LRP2	APP
FBXL21	UBE2J1
OLFM4	APP
KRTAP12-2	PACSIN3
