#tail	head
GLYATL3	DLAT
HOXB6	ETS2
CSK	CLCN6
CSK	YWHAB
CSK	SRC
CSK	SLC30A4
CSK	ESR1
CSK	SLC30A7
CD4	FNBP1L
CD4	HNRNPD
PPIH	FUS
DLAT	BCKDHB
LRRK2	RANBP2
LRRK2	NPM1
LRRK2	PARP1
CCNA1	GOT2
ESR1	SOD1
ESR1	FUS
ESR1	NQO1
ESR1	FBH1
ESR1	BTK
ESR1	IDH3A
ESR1	GABARAPL2
ESR1	SRC
ESR1	SLC30A4
CADPS	GCLM
CADPS	NOG
YWHAB	PPP2R1A
YWHAB	SIPA1L3
YWHAB	BID
YWHAB	PIN1
YWHAB	TKFC
YWHAB	SRC
SLC30A4	INS
SLC30A4	TP53
SLC30A4	APOL1
SLC30A4	ETS2
SLC30A4	PARP1
SLC30A4	HBD
SLC30A4	HNRNPL
FUS	HNRNPL
FUS	DICER1
FUS	ERP44
FUS	NAPG
FUS	LDHA
FUS	SIPA1L3
FUS	AURKA
FUS	HNRNPD
FUS	KHDRBS3
FUS	MDH1
FUS	SNRNP27
FPR3	CCL11
ERP44	NAPG
ERP44	PXDN
ERP44	SIPA1L3
TKT	LDHA
TKT	PNPO
TKT	GABARAPL2
KHDRBS3	HBZ
KHDRBS3	GCLM
RANBP2	GABARAPL2
RANBP2	SPC24
SOD1	LDHA
SOD1	PPP2R1A
SOD1	PIN1
SOD1	GLRX
SOD1	TP53
HAGH	GLRX
HTR1B	PARP1
PIPOX	PNPO
PIPOX	TAT
CIAPIN1	SRC
RAB5IF	HNRNPL
RAB5IF	ETS2
SYAP1	SNRNP27
DICER1	HNRNPD
DICER1	AURKA
DICER1	PARP1
BCKDHB	ALAS1
MDH1	SCCPDH
MDH1	PARP1
MDH1	GOT2
MDH1	LDHA
MDH1	TP53
GNAT3	GNG12
GNAT3	PCP2
GNAT3	CCR6
SUOX	PXDN
SUOX	HADHB
SUOX	PNPO
PARP1	PEX19
PARP1	FOXO1
PARP1	SNRNP27
PARP1	GZMM
PARP1	LIG3
PARP1	CCL11
PARP1	HNRNPL
BIN1	TP53
BIN1	SRC
BIN1	NQO1
BIN1	INS
BIN1	NAPG
BIN1	ETS2
CTDSPL2	IPP
HBD	HBZ
ALDOC	TKFC
SERINC3	FOXO1
RHOV	ARHGEF17
NQO1	NOG
NQO1	FOXO1
ALAS1	PDK1
ALAS1	INS
ALAS1	HADHB
TKFC	SNRNP27
GOT2	PSAT1
PEX19	INS
PEX19	NUBP2
PEX19	HADHB
SIPA1L3	SRC
SIPA1L3	HADHB
SIPA1L3	PPP2R1A
BID	TP53
BID	GCLM
BID	SRC
DTNBP1	NOG
FOXO1	CLPX
FOXO1	INS
FOXO1	NPM1
TAT	PNPO
TAT	PSAT1
NOG	LIG3
NOG	KIF15
NOG	IDH3A
NOG	SCCPDH
NOG	GNG12
NOG	NGEF
NOG	NAPG
NOG	UBE2E1
NOG	MPRIP
NOG	PDK1
SNRNP27	IGF2BP3
SNRNP27	PIN1
FNBP1L	HNRNPL
FNBP1L	GCLM
KIF2A	PPP2R1A
KIF2A	HLA-DPB1
CLPX	HIF1AN
CLPX	LIG3
PPP2R1A	SRC
PPP2R1A	PIN1
GNG12	CCL11
TTK	SPC24
TTK	TP53
PNPO	PXDN
COPZ1	KIF15
ETS2	TCF12
ETS2	BPIFB1
ETS2	TP53
ETS2	ARHGAP12
INS	GCLM
INS	LDHA
INS	HNRNPL
INS	LIG3
HIF1AN	TP53
HIF1AN	TCF12
HNRNPL	NAPG
HNRNPL	GABARAPL2
HNRNPL	PXDN
NPM1	IGF2BP3
NPM1	PIN1
NPM1	TP53
NPM1	SRC
PXDN	DUOX2
SRC	BTK
SRC	IGF2BP3
SRC	LIG3
RHOBTB2	TP53
GCLM	TP53
GCLM	GAPDHS
NAPG	LDHA
NAPG	AURKA
NAPG	HNRNPD
PPA2	TP53
PSAT1	IDH3A
LDHA	SCCPDH
LDHA	LIG3
AURKA	BTK
AURKA	IGF2BP3
CCL11	CCR6
TP53	BTK
TP53	ARHGEF17
TP53	HADHB
TP53	UBE2E1
SNRNP40	HNRNPD
GAPDHS	SCCPDH
KIF15	HLA-DPB1
CCR6	PCP2
KLHL20	CCDC22
