#tail	head
B4GAT1	MGAT5
EIF4A3	AHCY
EIF4A3	EIF4E
EIF4A3	AQR
EIF4A3	SNRNP70
EIF4A3	RPL23A
EIF4A3	RPL15
EIF4A3	RPS14
EIF4A3	SPTBN1
EIF4A3	ESS2
EIF4A3	HSPA1B
PPP1CB	FOXF2
PPP1CB	RBMX
PPP1CB	LIMCH1
PPP1CB	SPTBN1
PPP1CB	SNRNP70
PPP1CB	STOML2
NME1	RPL36A
NME1	NOG
NME1	HSPA1B
XPA	GADD45A
XPA	HSPA1B
RP2	AHCY
RP2	SNRNP70
RP2	XPO7
RHOQ	TCF3
RHOQ	FOXF2
MRPS33	MRPL37
CCDC120	RERE
CCDC120	FOXF2
CCDC120	MDFI
ZFYVE26	TCF3
ZFYVE26	MDFI
ZFYVE26	KRT15
ZFYVE26	SPERT
RPS25	RPL23A
AIP	MKS1
MGAT5	PTK2
MDFI	TCF3
MDFI	MBD3L2
RBMX	NOG
RBMX	PPM1D
SPERT	CCHCR1
ABR	TCF3
NOG	ADGRL1
NOG	TCEAL9
NOG	SFRP1
NOG	RPRD1A
NOG	PXN
NOG	CCHCR1
NOG	LRPPRC
NOG	HSPA1B
NOG	POU2F1
NOG	RBBP4
NOG	HIST1H3D
NOG	ARNTL
NOG	VSX1
NOG	RERE
NOG	TCF4
NOG	PTK2
NOG	NANOG
NOG	GADD45A
NOG	LIMCH1
AHCY	JUN
AHCY	PXN
AHCY	PTK2
AHCY	HIST1H4F
AHCY	EMD
AHCY	POU2F1
AHCY	LIMCH1
LRPPRC	HIF1A
LRPPRC	EIF4E
LRPPRC	STOML2
DNTTIP2	HIST1H4F
PCGF6	RYBP
PCGF6	CDK7
ESS2	SNRNP70
MON2	HMGN2
MON2	HIF1A
BANF1	EMD
BANF1	HSPA1B
FOXF2	GADD45A
FOXF2	XPO7
FOXF2	VSX1
FOXF2	TCF4
XPO7	HIST1H4F
STOML2	HSPA1B
STOML2	SNRNP70
STOML2	SPTBN1
PPP2R3A	POU2F1
RPL36A	RPS14
RPL36A	JUN
RPL36A	HIST1H3D
NANOG	HIF1A
NANOG	TCF4
PXN	RPL15
PXN	EMD
HIF1A	HMGN2
HIF1A	CAVIN1
HIF1A	JUN
HIF1A	PTK2
POU2F1	TCF4
POU2F1	JUN
POU2F1	HIST1H4F
POU2F1	EIF4E
POU2F1	GADD45A
POU2F1	TCF12
POU2F1	CDK7
POU2F1	VSX1
SFRP1	VSX1
SFRP1	TCF3
TBC1D21	KRT15
TBC1D21	TCF12
ARNTL	JUN
MRPL52	MRPL37
PTK2	EIF4E
RPL15	RPL23A
RPL15	RPS14
HIST1H3D	TCF12
HIST1H3D	RPS14
HIST1H3D	SPTBN1
HIST1H3D	SNRNP70
HIST1H3D	PPM1D
HIST1H3D	HIST1H4F
DAP3	MRPL37
DAP3	JUN
HIST1H4F	TCF4
HIST1H4F	JUN
HIST1H4F	HMGN2
HIST1H4F	RBBP4
CNOT2	EIF4E
CNOT2	CCHCR1
VSX1	HMGN2
KRT15	TCF3
CCHCR1	CAVIN1
RPRD1A	CDK7
RPRD1A	SNAPC1
RPL23A	RPS14
RPS14	EIF4E
RBBP4	MBD3L2
RBBP4	JUN
EMD	SNRNP70
KIF5B	SNRNP70
KIF5B	TCF3
KIF5B	JUN
RERE	RYBP
RERE	JUN
RERE	TCF4
HSPA1B	SPTBN1
MKS1	TCF3
SPTBN1	SNRNP70
MRPL37	TCF3
MRPL37	JUN
SNRNP70	LIMCH1
SNRNP70	JUN
EIF4E	JUN
EIF4E	TCF4
TCF12	JUN
TCF12	TCF3
TCF12	TCF4
CDK7	CAVIN1
CDK7	TCF3
JUN	TCF4
TCF4	PPM1D
