#tail	head
TBC1D22B	CEP70
HSD17B2	CDC14A
HSD17B2	IGFBP1
HSD17B2	HNF4A
HSD17B2	CGB5
STX12	VTI1B
STX12	STX10
STX12	TBK1
CDC14A	MYC
CDC14A	TYK2
CDC14A	POC5
CDC14A	HSD17B12
MED19	HELZ2
MED19	DNM2
TP53BP1	IFI16
TP53BP1	POLR1C
TP53BP1	AR
TP53BP1	HIST1H4I
TP53BP1	BARD1
TP53BP1	MYC
PSMB1	TNIP2
PSMB1	SMAD3
PSMB1	MTUS2
PSMB1	PSMC4
PSMB1	MYC
RSBN1	HNF4A
RBM14	USE1
RBM14	MED4
RBM14	IFI16
RBM14	MEX3C
CCDC103	RCN3
STAM2	RNF11
STAM2	MYC
STAM2	UBQLN4
STAM2	HNF4A
STAM2	TYK2
HIST1H3D	MED4
HIST1H3D	ANP32B
HIST1H3D	HDAC8
HIST1H3D	HIST1H4I
HIST1H3D	RPS12
HIST1H3D	MYC
HIST1H3D	CUL4A
HIST1H3D	POLR1C
HIST1H3D	MAPK14
HIST1H3D	RUVBL1
UCHL5	SMAD3
UCHL5	ANP32B
UCHL5	HIST1H4I
POC5	MED4
POC5	XPO1
POC5	CCDC18
RPS12	HSP90AA1
RPS12	RPS20
RPS12	RPN1
RPS12	EEF2
BCAS4	XPO1
CEP70	DNTTIP2
CEP70	HSP90AA1
TYK2	MYC
TYK2	SLC2A1
HELZ2	HSD17B12
HELZ2	CGB5
AR	HSD17B12
AR	UVRAG
AR	RNASEL
AR	MYC
AR	PSMC4
AR	CGB5
AR	FBXW7
DNM2	MYC
DNM2	CA8
ELOC	PSMC4
ELOC	PSMA2
SRSF2	XPO1
SRSF2	UBQLN4
SRSF2	TNIP2
SRSF2	MYC
POLR1C	MYC
POLR1C	RUVBL1
POLR1C	HIST1H3G
AP1M1	GCN1
AP1M1	IGDCC4
AP1M1	CTSL
AP1M1	HNF4A
IGFBP1	NAMPT
IGFBP1	SMAD3
IGFBP1	HSD17B12
IGFBP1	FOXO1
DNTTIP2	HIST1H3G
DNTTIP2	HIST1H4I
RUVBL1	PSMC4
RUVBL1	TNIP2
RUVBL1	SLC2A1
RUVBL1	TBK1
RUVBL1	SLC25A1
HIST1H3G	CUL4A
HIST1H3G	HIST1H4I
HIST1H3G	EGR2
HIST1H3G	KDM5C
HIST1H3G	RBL2
HIST1H3G	ANP32B
KDM5C	MYC
KDM5C	XPO1
NLRC3	GABPB1
NLRC3	TBK1
SYNRG	N4BP2L2
HSP90AA1	MYC
HSP90AA1	XPO1
HSP90AA1	FASN
HSP90AA1	HDAC8
HSP90AA1	FBXW7
NDUFB2	MYC
SCFD2	MYC
SCFD2	USE1
XRCC3	XPO1
UVRAG	XPO1
UVRAG	CUL4A
PYCR1	FASN
PYCR1	SPTLC2
PYCR1	MYC
PYCR1	MARK1
MYC	SCD
MYC	RPN1
MYC	TNIP2
MYC	RBL2
MYC	NAMPT
MYC	GCN1
MYC	RPS20
MYC	SMAD3
MYC	MAPK14
MYC	PSMA2
MYC	CUL4A
MYC	SLC2A1
MYC	HNF4A
SPTLC2	HDAC8
HCFC1	EEF2
HCFC1	HIST1H4I
HCFC1	EGR2
HCFC1	GABPB1
FBXW7	PSMC4
FBXW7	HNF4A
FBXW7	PSMA2
FBXW7	TGM3
PSMC4	RPN1
PSMC4	RBL2
IGDCC4	GCN1
IGDCC4	CTSL
MTUS2	ZBTB47
SMAD3	HNF4A
IFI16	CUL4A
IFI16	PHIP
SCD	HSD17B12
SCD	HNF4A
SCD	STOM
FOXO1	XPO1
FOXO1	CGB5
FOXO1	RBL2
PSMA2	HNF4A
PSMA2	MED4
FASN	TNIP2
FASN	XPO1
MED4	RBL2
RNASEL	SLC2A1
XPO1	SPICE1
XPO1	STOM
XPO1	TBK1
XPO1	TNIP2
RBL2	HNF4A
RBL2	HSD17B12
SEC61G	RPL15
SLC25A1	RPN1
SLC25A1	HSD17B12
SLC25A1	HNF4A
GCN1	CTSL
GCN1	UBE2A
GCN1	STOM
RNF11	UBQLN4
NAMPT	MAPK14
NAMPT	HNF4A
MAPK14	EEF2
STOM	HNF4A
MEX3C	UBE2A
CGB5	EGR2
CGB5	HSD17B12
CGB5	LMNB2
LMNB2	PPP1R13B
LMNB2	CA8
LMNB2	HSD17B12
KNSTRN	TNIP2
HNF4A	PPP1R13B
HNF4A	ANP32B
HNF4A	BARD1
RPS20	RPL15
RPS20	BARD1
RPS20	CUL4A
HSD17B12	RPN1
RPN1	UBQLN4
TMEM200A	UNC119
TNIP2	CTSL
CTSL	SLC2A1
EGR2	UNC119
UNC119	UBQLN4
