#tail	head
PSMB11	ITCH
PRPF8	CPSF7
PRPF8	STUB1
PRPF8	EIF4A3
PRPF8	IARS
PRPF8	HIST1H4C
PRPF8	HNRNPU
PRPF8	LCN2
PRPF8	BSG
TAGLN2	AAR2
TAGLN2	UBE2C
TAGLN2	CDK14
TAGLN2	CDC73
TAGLN2	JUN
TAGLN2	TXN
UBE2K	SMURF1
UBE2K	STUB1
UBE2K	TRIM32
HIST1H2BN	ATM
HIST1H2BN	POLR2B
HIST1H2BN	APCS
TRAPPC11	SEC61B
TRAPPC11	FN1
TRAPPC11	NOG
TXN	SOAT1
TXN	DCUN1D1
TXN	PTBP3
TXN	IL2
NF1	LCN2
NF1	TYR
NF1	XDH
NF1	PIWIL1
NF1	SUPT16H
NF1	PBXIP1
NF1	CDC5L
NF1	NACA
SNAP29	PTBP3
STAG1	HIST1H4C
STAG1	RBBP7
PTGDS	IL2
PTGDS	LCN2
PTGDS	AREG
PTGDS	TUBB3
ADIPOQ	STUB1
ADIPOQ	XDH
ADIPOQ	JUN
UBE2C	CCNB1
UBE2C	JUN
UBE2C	STUB1
UBE2C	SMURF1
SEC23IP	IQCN
SEC23IP	TMEM216
SEC23IP	AREG
RAB5C	ARF1
RAB5C	SOAT1
RAB5C	AREG
RAB5C	AP1G1
SOAT1	ACSS3
SOAT1	ARF1
HELZ2	NAMPT
HELZ2	RFX1
FZD6	PDGFB
FZD6	INHBA
FZD6	IFNA1
FZD6	AREG
SERPING1	SACS
SERPING1	IFNA1
SERPING1	ITGA2
FN1	ACTA2
FN1	NOG
FN1	COPE
FN1	SACS
FN1	HIST1H4C
FN1	PUF60
FN1	IL2
FN1	IARS
FN1	GATA3
FN1	GMPS
FN1	HNRNPU
FN1	JUN
UFD1	HUWE1
SMURF1	STUB1
SMURF1	CDK14
CPSF7	CDC5L
CPSF7	SMNDC1
CPSF7	PUF60
CPSF7	STAT5A
RTCB	CDC5L
AP1G1	ARF1
AP1G1	SHKBP1
AP1G1	JUN
PUF60	JUN
PUF60	IQCN
PUF60	HNRNPU
PUF60	IGF2BP3
PUF60	AAR2
PUF60	NAMPT
PUF60	PRPF19
PUF60	UBE2M
PRMT9	COMTD1
AAR2	IARS
AAR2	STAT4
AAR2	HIST1H4C
AAR2	IPO11
AAR2	POLR2B
AAR2	GMPS
AAR2	HNRNPU
AAR2	EIF4A3
HUWE1	PRPF19
HUWE1	HNRNPU
HIST1H2BJ	CENPN
HIST1H2BJ	APCS
HIST1H2BJ	POLR2B
USP39	SUPT16H
USP39	JUN
USP39	IGF2BP3
USP39	ARF1
PRPF19	STUB1
PRPF19	ATM
PRPF19	IGF2BP3
SMCHD1	NOG
SMCHD1	PIWIL1
STAT5A	PDGFB
STAT5A	IPO11
STAT5A	CDCA3
STAT5A	AP1G2
STAT5A	IL2
STAT5A	AKT3
IARS	SHKBP1
IARS	GMPS
IARS	JUN
IARS	IGF2BP3
KIAA0319	ACSS3
WTAP	CDC5L
WTAP	HIST1H4C
WTAP	TRIR
TMEM216	MARCKSL1
AMHR2	AKT3
AMHR2	STAT4
ITCH	KPNB1
ITCH	ATM
ITGA2	SEC61B
ITGA2	JUN
SACS	ATM
GRIA4	NOG
GRIA4	SLC24A5
GRIA4	ACTA2
KPNB1	CDC5L
KPNB1	COMTD1
SHKBP1	PBXIP1
SHKBP1	UBE2M
CDC5L	UBE2M
CDC5L	SUPT16H
CDC5L	GMPS
CDC5L	CDC73
CDC5L	PTBP3
MOS	STAT4
SLC7A7	SLC24A5
SLC7A7	SLC13A3
SLC7A7	SLC4A5
PBXIP1	PNKD
PBXIP1	COMTD1
PBXIP1	NOG
TRIM27	EIF4A3
TRIM27	MAGED4
TRIM27	TRIM32
CDC73	POLR2B
CDC73	ARF1
PIWIL1	DMXL2
PIWIL1	TUBB3
MSL2	STAT4
MSL2	HIST1H4C
HSPB8	RFX1
GRIK4	TNNT3
GRIK4	ACTA2
ACOX1	GNPAT
SEC61B	NOG
SEC61B	ATM
TYR	IL2
TYR	NAMPT
TYR	PDGFB
POLR2B	HIST1H4C
POLR2B	SMNDC1
HIST1H4C	APCS
HIST1H4C	EIF4A3
HIST1H4C	ATM
HIST1H4C	CDCA3
CCNB1	PDGFB
NOG	SUPT16H
NOG	PDGFB
NOG	STAT4
NOG	JUN
NOG	HNRNPU
SUPT16H	HNRNPU
SUPT16H	CENPN
SUPT16H	SPIN2B
IPO11	EIF4A3
TRIR	IGF2BP3
TNNT3	SLC24A5
TRIM8	JUN
NAMPT	IL2
NAMPT	LCN2
NAMPT	RBBP7
NAMPT	PDGFB
PDGFB	IL2
ARF1	STAT4
ARF1	JUN
ACTA2	SLC24A5
ACTA2	CACNA1F
ACTA2	UBE2M
SLC13A3	SLC4A5
SLC13A3	SLC24A5
ATM	SMARCC2
EIF4A3	SMNDC1
IGF2BP3	SMNDC1
IGF2BP3	JUN
RBBP7	UBE2M
RBBP7	SMARCC2
XDH	JUN
NOM1	JUN
TRAPPC6B	AREG
SLC24A5	SLC4A5
MAGED4	LCN2
AREG	AKT3
AKT3	JUN
JUN	SMARCC2
