#tail	head
HYPM	SIX1
SOX9	FBXW7
GAN	COMMD1
GAN	SLC25A4
GAN	COPS3
GAN	UBE2N
HSPA5	NFATC1
HSPA5	MAST1
HSPA5	ATP5F1B
HSPA5	HDAC4
HSPA5	NFKBIA
HSPA5	CUL4A
HSPA5	MSN
HSPA5	SF1
HSPA5	STOML2
HSPA5	HNRNPA1
HSPA5	PRKN
WDFY3	SF1
WDFY3	APP
ADORA1	FGF8
ADORA1	PDGFA
ADORA1	IFNA21
SNAP91	BTC
SNAP91	PIK3CD
SNAP91	JUN
SNAP91	HBEGF
MED19	CDC23
MED19	NFKBIA
MED19	APP
MCM5	SF1
MCM5	HIST1H2BJ
MCM5	STON2
MCM5	NFKBIA
MCM5	HIST1H2AC
MCM5	MAX
MCM5	HNRNPA1
MCM5	STOML2
MCM5	JUN
UBE2V2	UBE3C
UBE2V2	FBXW7
UBE2V2	RNF2
PRSS50	NR1H4
ATAD1	ELAVL1
HIST1H2AC	RNF2
HIST1H2AC	HIST1H2BJ
HIST1H2AC	DDX21
HIST1H2AC	JUN
HIST1H2AC	KAT5
BTC	FGF19
BTC	IGKV1-5
TIMM17B	ATP5F1B
GLUD1	HIF1AN
UBE3C	APP
HSD17B4	FGF8
HSD17B4	RORA
HSD17B4	XBP1
HSD17B4	PDGFA
HSD17B4	NFKB1
HSD17B4	CDKN1A
HSD17B4	IGF2
NIPBL	ZEB1
NIPBL	ATP12A
NIPBL	GTF3A
RNF2	ELAVL1
AHSA1	HNRNPA1
AHSA1	CCT6B
AHSA1	HNRNPA2B1
AHSA1	XRCC5
C1S	IGKV1D-39
C1S	C1QA
DDIT4L	CDK6
CD3G	NTF3
CD3G	STON2
CD3G	FGF8
CD3G	PDGFA
CD3G	PIK3CD
CD3G	JUN
CD3G	HBEGF
CD3G	UBC
MSN	ELAVL1
APLP1	GTF3A
IGKV1D-39	FGF8
IGKV1D-39	PDGFA
HNRNPA1	CHUK
HNRNPA1	SF1
HNRNPA1	NFKBIA
HNRNPA1	RBMS1
HIST1H2BJ	DDX21
HIST1H2BJ	MAX
HIST1H2BJ	UBE2N
CIR1	GCA
IGKV1-5	PIK3CD
IGKV1-5	C1QA
IGKV1-5	PDGFA
IGKV1-5	HBEGF
COMMD4	FBXW7
COMMD4	COPS3
COMMD4	COMMD1
COMMD4	CUL4A
MAX	ZIC1
MAX	JUN
MAX	ASCL1
MAX	CDKN1A
MAX	HMGA1
MAX	ATG12
CHUK	COPS3
CHUK	NFKBIA
ELAVL1	FOXJ2
ELAVL1	ZMYND19
ELAVL1	JUN
ELAVL1	SF1
ELAVL1	STON2
ELAVL1	STOML2
TTLL1	CDC23
DDX21	NFKB1
DDX21	FGF8
DDX21	JUN
HNRNPA2B1	PRKAB2
HNRNPA2B1	NFKB1
HNRNPA2B1	MTF1
HNRNPA2B1	JUN
HSDL2	FGF8
HSDL2	STOML2
HSDL2	STON2
CDK6	MLLT3
CDK6	ZIC1
CDK6	MTF1
ATP5F1B	NFKB1
CDKN1A	CDC23
CDKN1A	JUN
HBEGF	PIK3CD
HBEGF	PXN
HBEGF	APP
FGF19	GNG4
FGF8	PIK3CD
SF1	ELF1
SF1	NTF3
SF1	HDAC4
SF1	CCT5
SF1	NFKB1
UBC	UBE2N
UBC	AMPD3
UBC	KAT5
UBC	PRKN
SEC31B	CCT5
HDAC4	CCT5
HDAC4	APP
GNG4	WNT16
FBXW7	CCT6B
FBXW7	AMPD3
FBXW7	CCT5
UBE2N	PRKN
HMGA1	HCN3
HMGA1	APP
HMGA1	ZIC1
HMGA1	MTF1
PRKN	COMMD1
PRKN	STOML2
NTF3	ZEB1
NTF3	RORA
NTF3	IGHD
BMT2	MTF1
RORA	ZEB1
STOML2	CCT5
STOML2	NR1H4
STOML2	YME1L1
STOML2	STON2
IFNA21	FZD1
IFNA21	SUMF1
E2F3	XBP1
E2F3	ELF1
MYOG	ATP12A
CXADR	STON2
AMPD3	CDC23
DCAF5	CCT6B
DCAF5	COMMD1
RGS6	CCT6B
NFKB1	ZEB1
NFKB1	APP
NFKB1	IGF2
NFKB1	CUL4A
COMMD1	CUL4A
COMMD1	NFKBIA
CCT6B	APP
NFATC1	JUN
NFATC1	XRCC5
HCN3	WDR19
CDPF1	APP
PIK3CD	IGHD
PIK3CD	ELF1
MTF1	JUN
UHRF1	KAT5
ELF1	XBP1
IGF2	APP
IGF2	JUN
MRPL40	JUN
XRCC5	STON2
STON2	APP
STON2	JUN
CCT5	JUN
KAT5	CUL4A
KAT5	APP
SIX1	NR1H4
