#tail	head
MIS18A	CCDC96
ALDH6A1	PANK2
MAPK8	RAF1
MAPK8	STAT3
MAPK8	CRK
MAPK8	ETV1
MAPK8	HSF1
MAPK8	AR
SLC25A11	TUBA1A
IL12B	PARP1
IL12B	CYP11A1
IL12B	JAK2
IL12B	ZEB1
LAT	CALM2
LAT	SRC
LAT	SPAST
LAT	HLA-DRB1
LAT	PTPN11
SP1	CRK
SP1	PPARA
SP1	IL23A
SP1	AR
SP1	RBBP4
SP1	FLOT1
SP1	EPAS1
SP1	SOCS2
SP1	UBE3A
SP1	SPEG
SP1	KCNS3
SP1	RSF1
SP1	ILF3
SP1	SNCA
SP1	CRMP1
TK1	MYC
IL11	IRS1
IL11	FSHB
FTL	TFRC
SLC24A2	SLC8A3
SLC24A2	TRPV6
SLC8A3	TFAP4
SLC8A3	ZEB1
C1QBP	TUBA1A
C1QBP	ILF3
SCO1	ITIH2
SCO1	KRT8
SCO1	PARP1
SCO1	FAM136A
SCO1	NDUFS3
SCO1	PLG
SCO1	PRNP
CBL	TACR1
CBL	IRF8
CBL	FLOT1
CBL	CRK
CBL	JAK3
CBL	CAD
TACR1	CXCR2
TACR1	CALM2
AR	ESR2
AR	SMARCD1
AR	JAK2
AR	VHL
AR	MYC
AR	UBE3A
AR	CSAD
AR	PARP1
AR	FSHB
FXYD7	SCNN1A
ALDH3A2	P4HA1
ELOC	ESR2
USP13	ZEB1
USP13	ATXN3
ERG28	ENO1
TRIM72	SMARCD1
EPAS1	MED24
DGKA	IRF8
FSHB	IRS1
FSHB	UBE3A
FSHB	PARP1
FSHB	ESR2
ZNF138	KRTAP12-3
TFAP4	SPI1
TFAP4	MYC
TFAP4	ETV1
ALDOA	TAGLN
ALDOA	FLOT1
ZNF292	PPARA
PARP1	CALM2
PARP1	VHL
PARP1	PPARA
PARP1	PLG
PARP1	SMARCD1
PARP1	ESR2
PARP1	SRC
PARP1	ZEB1
PARP1	FLOT1
PARP1	SPI1
NPLOC4	ENO1
NPLOC4	RAF1
SOCS2	CRK
SOCS2	JAK2
SOCS2	ZEB1
BCR	MYC
BCR	CALM2
BCR	CRK
BCR	IGKV2D-28
BCR	PIK3CG
JAK3	JAK2
JAK3	STAT3
JAK3	IFNA1
ESR2	SRC
ESR2	IRS1
ESR2	MYC
ESR2	ENO1
ESR2	NDUFS3
ESR2	ITIH2
ESR2	RERG
ESR2	TFRC
ESR2	CANX
FRK	STAT3
FRK	SNCA
SMARCD1	BCL7C
SMARCD1	RBBP4
TAGLN	ENO1
PANK2	HMGCL
PANK2	GMPS
KRT8	ZEB1
KRT8	PTPN11
SPI1	RERG
SPI1	SRC
IRF8	CSAD
IRF8	PPARA
ENO1	TUBA1A
ARAF	STAT3
ARAF	SRC
SCO2	TUBA1A
SCO2	PRNP
MYC	FABP3
MYC	CALM2
MYC	RBBP4
MYC	CLN3
FLOT1	ZEB1
HSF1	CACNA1A
HSF1	TRPV6
HSF1	IFNA1
IRS1	CRK
IRS1	CXCR2
IRS1	IGLV7-43
IRS1	GTF3A
IRS1	IGKV2D-28
SCNN1A	RAF1
CALM2	TRPV6
CALM2	CXCR2
CALM2	JAK2
CALM2	ZEB1
IFNA1	PLG
IFNA1	CXCR2
LHX6	ZEB1
GTF3A	P4HA1
CRK	TUBA1A
CRK	IGKV2D-28
CRK	PPARA
ITPR2	IGLV7-43
PLG	TRPV6
ILF3	TUBA1A
TUBA1A	VHL
CXCR2	TRPV6
CXCR2	JAK2
CXCR2	STAT3
CXCR2	IL23A
RERG	RAF1
CRP	FCGR2B
CRP	IGLV7-43
MICAL1	CRMP1
CRMP1	ZEB1
MEIS2	STAT3
IGLV7-43	FCGR2B
IGLV7-43	PIK3CG
SRC	RAF1
SRC	JAK2
SPEG	HSF2BP
TRPV6	ITIH2
SPRY1	PIK3CG
PCDH10	ZEB1
VASP	UBE3A
MPL	JAK2
MPL	PTPN11
MPL	STAT3
ZEB1	ITIH2
STAT3	IL23A
STAT3	PTPN11
IGKV2D-28	PIK3CG
FCGR2B	PTPN11
PTPN11	PIK3CG
PIK3CG	JAK2
