#tail	head
LAT	CD53
SLC9A1	SLC13A4
SLC9A1	SLC4A8
PIP4K2C	EPO
LRPPRC	FBXO6
DPEP1	BCAT1
IGLV2-14	ITPKB
TRPV6	FOS
SLC22A9	CHPT1
IGHV4-59	EPO
IGHV4-59	FGF3
NINL	TDRD3
STXBP1	SYT2
SLC5A12	SLC34A2
RPL3	SP1
HIST2H2AA4	KMT5A
LYN	TUBB3
OR52E2	GNAL
PSMD10	TRIM25
AQR	VIRMA
LNX1	DYDC1
RPS19	UPF3A
VPS18	EP300
MAZ	FXYD6
MAZ	EPHA2
STON2	NCL
PZP	VDAC2
DYRK2	AR
MRPL18	EP300
NRAS	GABPB2
SF3A3	DHX38
EED	E2F1
RHOA	PDGFRA
RHOA	KIF14
C17orf47	DYNLL1
ACSM3	ACER2
NUP160	CCNB1
CASP8	AHR
WDR61	HIST1H3A
TNK1	PTPRK
LHB	IGFBP2
RAB1A	KIF12
FOXO4	PTPN22
FOXO4	KRTAP4-1
FOXO4	USP49
ST13	HSF2
RTP3	OR1F12
PAN2	HIST1H4J
GNB1	PLCL1
GNB1	GNB3
ST6GALNAC6	PGS1
SPRY1	KRTAP12-3
E2F1	HSBP1
E2F1	SLPI
E2F1	CHRM4
HIST1H3D	KDM1A
HIST1H3D	PADI4
HIST1H3D	CAMSAP3
HIST1H3D	HDAC2
CHPT1	ST8SIA5
PUS7	CDK7
KMT5A	H2AFV
STAT5B	MAP4K4
PLLP	EBP
ZNF143	IGF1
TES	TNFAIP8L2
AOC3	HMOX1
AOC3	SLC25A14
TCL1A	FOS
LRP4	APBB2
ELOVL5	ACSL5
ADIPOQ	SEMG1
ZNF394	USP7
PRKAA1	HNF4A
ABCC1	TRIM25
LAP3	BCAT1
EPRS	HSCB
PHF1	HIST1H2BM
GATB	PHKA2
CDK1	HIST1H2BH
A2M	SLC30A3
KRTAP9-2	SMCP
KRTAP9-2	KRTAP4-4
DUSP3	PHKA2
AHCYL2	SLC5A2
PIH1D1	XPOT
OR51A4	REEP3
CLASRP	RBM38
BMI1	MMP2
RPL4	SKI
SPHK1	BAG2
NOL6	SIRT7
TRIM42	PSMA1
TRPC3	TRPC1
CAMK2G	TNPO2
MRPL12	TGOLN2
SIRT7	ME2
SIRT7	VDAC1
REEP3	OR4F4
REEP3	OR4C13
MNAT1	SIRT6
LMO4	GOLGA2
ITGB7	SDC2
GSTM1	MYC
GORASP2	CDK2
FGF9	CDC14A
NADSYN1	ADH6
MYC	USP37
MYC	HIST1H1A
SH3GL2	GAK
EPS8	RET
CHEK1	PIGM
NOX5	HMOX1
CXCR2	KDR
TMEM184A	TRIM25
REEP4	OR4Q2
IGHG4	IGLV2-8
HIST1H3A	ELMSAN1
BCAT1	ZZZ3
SPRY4	FGFR3
TGFB1	PDHA1
TGFB1	BCAS3
PKM	EGFR
HMOX1	TNFRSF1A
HMOX1	MCOLN1
SLC6A1	SLC5A1
CTNNB1	DLG1
CTNNB1	CFL1
RPAP2	SP1
PIK3R5	TGOLN2
YBX1	BAG6
OR5I1	TYR
WNT10A	SP1
TUBG1	BRCA1
CCAR1	MED4
CCAR1	FOXN1
AR	ESR2
AR	PTEN
SKP1	PTEN
FMR1	CYBB
FANCD2	CREB1
OAS2	TAF1
COPZ2	DYNLL2
OR2M2	RTP2
GDF9	CACNB3
CKAP5	SUCLA2
H3F3B	RARB
PSMD2	USP19
SOX2	GABPB2
OR6T1	REEP2
OR4M2	RTP2
MAPK11	SYK
BMP2	CDK2
HIST1H2BB	TAF1D
DPAGT1	ALG9
SLC7A9	SLC2A9
ICOS	FGFR3
MTA1	H2AFX
TJAP1	TRIM25
POU5F1	BAG6
MC4R	GLP1R
FGF1	ESR2
AGTR1	HRAS
DYNLL1	NME7
SRPX2	CTSB
PSMB7	BIRC2
PSMB7	TNFRSF13C
NAT1	SP1
HSPA1L	PRKN
ADAM9	CREB1
ACP2	CES3
ALDH3A2	ACSL5
CISH	JAK1
MSH2	HMGB1
TRMT61A	TRIM25
HIST3H2A	HIST1H3F
NFE2L2	MRPL32
HOXB4	RBBP5
YES1	VEGFA
NCAPG2	HIST1H3J
ANPEP	HNF1A
XDH	NQO1
PC	MPC2
PC	PHKA1
PSMA1	PRPH
PSMA1	FZR1
CLCN7	SLC12A7
AARSD1	GNAL
SLC12A4	ANO1
PHKG2	PGP
HIF1A	SENP3
HIF1A	SLC5A1
HIF1A	NCF2
SLCO1B1	HNF1A
AES	DYDC1
SMARCAD1	CREB1
RNPS1	POLR2E
CXCL8	GATA4
IGSF8	HIST1H2BN
OR10R2	REEP2
FAS	SYK
TBP	RRN3
TBP	GOLGA2
S100A7	ZNF354C
DRD4	FGF2
TFAP4	VAMP3
SULT1E1	ATP4A
VEGFA	LEP
CYP1B1	SP1
NFYB	EP300
TAT	ALDH18A1
KXD1	CREB1
KMT2A	HIST1H2BN
PELI2	UBA1
HDAC2	SRSF9
RBBP5	KLC2
PPCS	KARS
SPICE1	SRPRA
USP3	SP1
HIST1H4L	PSMC3IP
SPANXN2	HIST1H2BN
POLR2B	HIST1H3F
GOLGA2	CD59
GOLGA2	PRDM9
RPS9	UTP14C
HNF4A	TIMM17B
HNF4A	CCL15
LSM3	ZNF207
HIST1H2BF	GTF3C2
HIST1H2BF	TGM2
MAP2K2	RAF1
ECPAS	RET
VAV1	KDR
OR2A12	RTP4
MMP2	ACO2
ATP1A3	ATP6V0E2
SLC7A5	SLC5A1
PNPLA4	FABP9
OR1L6	RTP2
SP1	PRR3
SP1	STX11
RPN1	AP1M1
PSMC6	BIRC3
TNF	C8A
TNF	IGF1R
ESR2	VASN
ESR2	TRAF3IP2
ESR2	ZC3H18
TMEM71	TCEA2
GAPDH	ATP12A
PIK3C2A	ARF3
REEP2	OR4A8
TMED9	KIF26A
GREB1	SLC5A1
KIAA0319	CBL
ABCB8	ABCG2
ASH2L	HIST1H2AJ
INS	SMPD1
REEP1	OR12D2
REEP1	OR13G1
PTCD3	MRPL52
ATP12A	CYLD
SLC23A1	SLC38A1
PIK3CG	ARAP3
L3MBTL3	BYSL
RRP1B	HNRNPU
GFER	TPO
LTF	FGFR1
KRTAP11-1	DHRS1
GAN	UBA1
EGFR	CPT1C
NCL	RAD50
PRKCQ	SMPD1
FTSJ3	HIST1H3J
MYO10	TUBA1A
GPR152	GOLT1A
GABRE	ALG9
SUCLA2	AKR1B10
SGTB	SOD3
PLPBP	SLC38A1
PIK3CD	HNF1A
HIST1H3J	KMT2D
