#tail	head
MAS1	ARL10
GNRHR	GNA11
GNRHR	GNAQ
GNRHR	GNG10
GNRHR	GNG5
GNG5	S1PR1
GNG5	GNGT2
GNG5	CCR6
GNG5	PIP5K1B
GNG5	GPSM3
GNG5	HTR2B
GNG5	GNA11
HSF1	MKX
HSF1	DAPK1
GNA11	PIP5K1B
GNA11	GNGT2
GNA11	GNAQ
GNA11	CALM3
GNA11	HTR2B
GNA11	APP
GNA11	GNG10
GNA11	PRKACA
S1PR1	HTR1D
S1PR1	GNG10
S1PR1	APP
SBSPON	APP
SBSPON	CDX2
MTMR3	PIP5K1B
HTR2B	GNGT2
HTR2B	APP
HTR2B	GNAQ
HTR2B	GNG10
HTR2B	HTR1D
CALM3	HCAR3
CALM3	PRKACA
CALM3	GNAQ
CALM3	RALA
ADAMTSL1	GATA1
PIP5K1B	GNAQ
PIP5K1B	GNG10
PIP5K1B	GATA1
DAPK1	LCN2
MKX	RAB34
GNAQ	PRKACA
GNAQ	CCR6
GNAQ	GNGT2
GNG10	HTR1D
GNG10	HCAR3
GNG10	GNGT2
GNG10	APP
GNG10	CCR6
GNG10	GPSM3
CCR6	GNGT2
CCR6	GPSM3
OPRK1	GPSM3
OPRK1	GNGT2
PRKACA	DMTN
PRKACA	LCN2
PRKACA	APP
RAB34	RALA
GNGT2	HTR1D
GNGT2	HCAR3
GATA1	DMTN
GPSM3	HTR1D
GPSM3	HCAR3
GPSM3	APP
HTR1D	APP
HCAR3	LCN2
APP	DMTN
