#tail	head
NR3C1	RND1
SLC2A3	SRRT
SLC2A3	SNW1
SLC2A3	SEPT2
CORO6	CORO1B
CORO6	HOXA4
CORO6	MEF2A
RPLP1	NCBP1
RPLP1	EIF3D
RPLP1	COPS5
RPLP1	ANXA2
ANXA2	SEPT2
ANXA2	SRRT
ANXA2	EIF3D
ANXA2	SNW1
EIF3D	SRRT
EIF3D	SNW1
EIF3D	SEPT2
NXF1	HOXA4
NXF1	COPS5
NXF1	SNW1
NXF1	NCBP1
NXF1	RBMX
TBC1D2	SEPT2
TBC1D2	SNW1
TBC1D2	SRRT
RBMX	NCBP1
RBMX	SNW1
RBMX	SRRT
MEF2A	PLEKHA6
MEF2A	HOXA4
MEF2A	SEMA4D
SNW1	SRRT
SNW1	COPS5
SNW1	SEPT2
SNW1	CORO1B
SNW1	NCBP1
NCBP1	COPS5
NCBP1	SEPT2
NCBP1	SRRT
RND1	SEMA4D
SRRT	SEPT2
SRRT	CORO1B
HOXA4	PLEKHA6
CORO1B	SEPT2
