#tail	head
TRIP12	UBE2A
UBE2A	ANAPC11
UBE2A	ANXA6
UBE2A	POMP
PSMD9	UBE2D1
PSMD9	ANAPC11
PSMD9	PSMB6
PSMD9	PSMD2
PSMD9	ADRM1
PSMD9	PSMB1
POMP	PSMB1
POMP	PSMB6
POMP	ZNF197
TMOD2	CACNG4
TMOD2	CACNG1
CTU1	VWCE
ST3GAL4	MUC4
ST3GAL4	RMND1
ST3GAL4	MUC15
UBE2D1	ANAPC11
UBE2D1	PSMD2
UBE2D1	HECW1
PSMB1	LIMD1
PSMB1	ADRM1
PSMB1	AES
PSMB1	HNF4A
PSMB1	ANAPC11
MUC4	B3GNT5
CACNG1	ANXA6
CACNG1	CPNE6
PSMD3	LIMD1
PSMD3	PSMD2
PSMD3	HECW1
PSMD3	ADRM1
PSMD3	PSMB6
PSMD3	COPS5
PSMB6	ZNF197
PSMB6	LIMD1
PSMB6	PSMD2
PSMB6	ANAPC11
PRKAA2	MYCL
PRKAA2	HNF4A
PRKAA2	ANAPC11
ANAPC11	PSMD2
ANAPC11	AES
B3GNT5	MUC15
ADRM1	PSMD2
ANXA6	CACNG4
ANXA6	CHRNA2
ANXA6	HNF4A
HECW1	PSMD2
COPS5	FBXL16
COPS5	PSMD2
GALNT6	MUC15
GALNT6	RMND1
CHRNA2	CPNE6
VWCE	ZNHIT6
VWCE	HNF4A
RMND1	HNF4A
RMND1	CACNG4
CPNE6	CACNG4
