#tail	head
DOK3	PLEKHA3
TEC	GRAP2
TEC	PLCG2
TEC	STAT1
TEC	PTPRS
TEC	GNG3
TEC	FGF6
TEC	PIK3CD
TEC	IGHV3-48
TEC	PRKCQ
TEC	CPSF6
TEC	PIK3R2
CAPN1	CYP19A1
CAPN1	IGF1
CAPN1	COMT
CAPN1	CREG1
CAPN1	ESRRA
CAPN1	YWHAQ
CAPN1	INS
CAPN1	HNRNPD
PLCG2	FGF6
PLCG2	HCK
PLCG2	PRKCQ
PLCG2	CPSF6
PLCG2	CD247
PLCG2	FGR
PLCG2	ESR2
PLCG2	ERBB2
PLCG2	IGHV1-69
PLCG2	PIK3CD
PLCG2	CD14
PLCG2	GRAP2
PLCG2	AR
PLCG2	STAT5A
SEC23A	LRPPRC
SEC23A	DHX15
SEC23A	ILF2
SEC23A	SETD1A
SEC23A	SYNCRIP
SEC23A	NSF
SEC23A	SEC13
SEC23A	HNRNPD
SEC23A	SFPQ
SEC23A	HNRNPAB
SEC23A	LDHA
SEC23A	NTRK1
SEC23A	CD2AP
SEC23A	TRIM28
SEC23A	HNRNPM
SEC23A	KPNA1
SEC23A	HNF4A
SEC23A	ASH2L
SEC23A	CCT3
CD14	CD247
CD14	IL1B
CD14	IL32
NR3C1	KMT2B
NR3C1	RHOBTB1
NR3C1	CYP19A1
NR3C1	SET
NR3C1	LAMTOR3
NR3C1	DCTN4
NR3C1	SYNCRIP
NR3C1	CD2AP
NR3C1	NFKB1
NR3C1	NUP210
NR3C1	HNF4A
NR3C1	ZNF205
NR3C1	ESR2
PAFAH1B3	DCTN4
PAFAH1B3	LNX1
PAFAH1B3	LDHA
CNNM3	KRTAP10-8
NAPA	ASH2L
NAPA	TRIM28
NAPA	VAMP3
NAPA	RPA2
NAPA	SETD1A
NAPA	ANXA2
NAPA	SFPQ
NAPA	SET
NAPA	SEC13
NAPA	DHX15
NAPA	ILF2
NAPA	AGO2
NAPA	HNRNPD
DHX15	HNRNPD
DHX15	FBXO6
DHX15	SET
DHX15	EFTUD2
DHX15	PRCC
DHX15	RPA2
DHX15	CSTF2T
DHX15	GPANK1
DHX15	INS
DHX15	IGSF8
DHX15	NPM1
DHX15	SNRNP35
DHX15	RNPS1
DHX15	CPSF7
DHX15	YWHAB
DHX15	ILF2
KPNA4	HIST1H2AE
KPNA4	SEC13
KPNA4	CCT3
KPNA4	NPM1
KPNA4	STAT1
KPNA4	IGHG1
KPNA4	NUP210
KPNA4	YWHAB
PIK3C3	GRAP2
PIK3C3	PIK3R2
PIK3C3	FGF6
PIK3C3	STAT1
PIK3C3	IGHV1-69
PIK3C3	RAB39A
PIK3C3	IGHV3-48
PIK3C3	INS
PIK3C3	CPSF6
PIK3C3	HNF4A
PIK3C3	IGF1
PIK3C3	ERBB2
PIK3C3	YWHAQ
PIK3C3	STAT5A
PIK3C3	IL1B
TRIM28	CCT3
TRIM28	RPA2
TRIM28	NTRK1
TRIM28	CCT8
TRIM28	NEK4
TRIM28	SET
TRIM28	FBXO6
IGSF8	ILF2
IGSF8	HNF4A
IGSF8	CCT3
IGSF8	FBXO6
CCT3	FBXO6
CCT3	EFTUD2
CCT3	CCT8
CCT3	SET
CCT3	NTRK1
CCT3	SEC13
CCT3	ESR2
CCT3	POC1A
CCT3	PRPF4
TSG101	HNF4A
TSG101	LNX1
TSG101	CHMP4A
TSG101	RBPMS
TSG101	SFPQ
TSG101	CD2AP
TSG101	VPS37B
IFT46	IFT57
POC1A	CCT8
POC1A	POC5
POC1A	HNF4A
YWHAB	SLC38A9
YWHAB	NTRK1
YWHAB	YWHAQ
YWHAB	HNF4A
YWHAB	LAMTOR3
YWHAB	BAIAP2
YWHAB	ESR2
YWHAB	CRNKL1
YWHAB	EFTUD2
TTC26	TCTEX1D1
FZR1	HSPA2
FZR1	RBBP8
FZR1	PRR36
FZR1	ERBB2
RAB14	LAMTOR3
RAB14	COMT
RAB14	RPA2
STAT1	NTRK1
STAT1	PRKCQ
STAT1	STAT5A
STAT1	PI4KB
STAT1	ESR2
STAT1	SYK
STAT1	ERBB2
STAT1	PIK3CD
STAT1	IL1B
STAT1	NSF
STAT1	MUC1
RPS15A	NFKB1
RPS15A	RPL38
RPS15A	RRP36
RPS15A	RPL35
RPS15A	FCF1
RPS15A	RPS27L
RPS15A	RNPS1
POC5	FAM161A
GABBR1	GRAP2
GABBR1	KCNJ4
GABBR1	ADRA2C
GABBR1	CYSLTR1
GABBR1	IGHG1
MGST3	BSG
GORASP2	VPS37B
GORASP2	ESR2
GORASP2	CHMP1A
GORASP2	PRCC
GORASP2	RAB39A
AR	GRAP2
AR	ESR2
AR	SYK
AR	ESRRA
AR	CPSF7
AR	IL1B
AR	HCK
AR	NFKB1
AR	DCTN4
AR	PIK3R2
AR	ASH2L
AR	HIST1H2AE
AR	CYP19A1
AR	IGF1
AR	KMT2C
HSPA2	NEK4
HSPA2	INS
HSPA2	SEC13
HSPA2	NFKB1
HSPA2	SIRT1
RPL35	INS
RPL35	HNRNPM
RPL35	EFTUD2
RPL35	SRPRA
RPL35	RPS20
RPL35	RPL38
RPL35	NPM1
RPL35	RPS27L
RPL35	RNPS1
RPL35	ESR2
RPL35	ILF2
ERCC3	NXF1
ERCC3	TAF1C
ERCC3	RBL1
ERCC3	RBBP8
FXYD2	SLC13A3
FXYD2	KCNJ4
YWHAQ	FGR
YWHAQ	ESR2
YWHAQ	FBXO6
YWHAQ	ERBB2
YWHAQ	EFTUD2
YWHAQ	NFKB1
YWHAQ	NPM1
YWHAQ	NTRK1
YWHAQ	PIK3R2
PNMA2	BAIAP2
PNMA2	IGHG1
RPA2	ANXA2
RPA2	HNF4A
RPA2	INS
RPA2	SFPQ
RPA2	NPM1
RPA2	HNRNPAB
RPA2	ILF2
RPA2	CPSF7
CPSF7	NTRK1
CPSF7	ESR2
CPSF7	STAT5A
CPSF7	EFTUD2
VAMP3	PIK3CD
VAMP3	NSF
VAMP3	COMT
VAMP3	PRKACB
VAMP3	PIK3R2
KPNA1	ESR2
KPNA1	SFPQ
KPNA1	NTRK1
ERG28	HNF4A
ERG28	NSF
CD247	FGR
CD247	GRAP2
CD247	ESR2
CD247	FGF6
CD247	PRKCQ
CD247	HNF4A
CD247	GNG3
CD247	SYK
CD247	IL1B
CD247	IGHV3-48
CD247	HNRNPAB
CD247	HCK
CD247	NPM1
IL32	IL1B
ATP5F1D	KRTAP10-8
ATP5F1D	CYSRT1
RHOBTB1	PIK3R2
BSG	NTRK1
BSG	LDHA
BSG	FBXO6
CHMP3	VPS37B
HNRNPM	SYNCRIP
HNRNPM	SFPQ
HNRNPM	FBXO6
HNRNPM	CRNKL1
HNRNPM	SEC13
HNRNPM	NFKB1
HNRNPM	NPM1
HNRNPM	CSTF2T
HNRNPM	NXF1
ZFP62	ESR2
ZFP62	INS
STAT5A	SYK
STAT5A	FGR
STAT5A	ESR2
STAT5A	ERBB2
STAT5A	BMPR1B
STAT5A	SYNCRIP
STAT5A	SLC26A9
STAT5A	NEUROD2
STAT5A	NTRK1
STAT5A	HCK
STAT5A	PRKACB
STAT5A	NFKB1
STAT5A	PRKCQ
BAIAP2L1	INS
BAIAP2L1	ESR2
ADRA2C	INS
ADRA2C	IL1B
ADRA2C	GNG3
ADRA2C	ANXA2
IGHV3-11	BAIAP2
IGHV3-11	HCK
IGHV3-11	IGHG1
IGHV3-11	GNG3
IGHV3-11	ESR2
IGHV3-11	ITPKA
IGHV3-11	SYK
IGHV3-11	CPSF6
IGHV3-11	GRAP2
IGHV1-69	FGR
IGHV1-69	ERBB2
IGHV1-69	GRAP2
IGHV1-69	PIK3R2
IGHV1-69	ITPKA
IGHV1-69	IGHG1
IGHV1-69	CPSF6
NR1I3	NR1H2
NR1I3	HNF4A
NR1I3	COMT
NR1I3	CYP19A1
FAM161A	KRTAP10-8
EIPR1	CCDC93
FBXO24	ESRRA
PRR36	HNF4A
ARNTL	SIRT1
ARNTL	CCDC93
ARNTL	INS
TRMT61A	MAT1A
HIST1H2AE	SIRT1
HIST1H2AE	NXF1
HIST1H2AE	KMT2C
HIST1H2AE	NEK4
HIST1H2AE	TAF1C
HIST1H2AE	SETD1A
HIST1H2AE	KMT2B
NR1H2	NPM1
NR1H2	RHOU
NR1H2	ABCG1
SFPQ	SET
SFPQ	NEK4
SFPQ	CPSF6
SFPQ	HNRNPD
SFPQ	ASH2L
SFPQ	LRPPRC
SFPQ	SYNCRIP
SFPQ	NSF
SFPQ	LDHA
SFPQ	CD2AP
SFPQ	ANXA2
SFPQ	NXF1
ANXA2	EFTUD2
ANXA2	SETD1A
ANXA2	ERBB2
ANXA2	SET
ESR2	CYP19A1
ESR2	CPSF2
ESR2	IGHG1
ESR2	BAIAP2
ESR2	PRCC
ESR2	LRPPRC
ESR2	CYSRT1
ESR2	FGR
ESR2	SETD1A
ESR2	SRPRA
ESR2	KIF21A
ESR2	IGF1
ESR2	NPM1
ESR2	RPS20
ESR2	CCT8
ESR2	PRPF4
ESR2	NXF1
ESR2	CPSF6
ESR2	KMT2C
ESR2	RPL38
ESR2	TMED3
ESR2	CFAP20
ESR2	RNPS1
ESR2	ASH2L
ESR2	NUP210
ESR2	AGO2
ESR2	ESRRA
ESR2	EFTUD2
MAT1A	KMT2C
CPSF2	RNPS1
CPSF2	NUP210
CPSF2	EFTUD2
CPSF2	CSTF2T
CPSF2	CRNKL1
CPSF2	ASH2L
CPSF2	HNRNPD
CPSF2	SEC13
CPSF2	NPM1
IL1B	SIRT1
IL1B	MUC1
IL1B	CYP19A1
IL1B	HNRNPD
IL1B	ESRRA
SEC13	ASH2L
SEC13	ILF2
SEC13	HNRNPD
SEC13	SETD1A
SEC13	LRPPRC
SEC13	NPM1
SEC13	NUP210
SEC13	NSF
SEC13	LDHA
SEC13	CD2AP
SEC13	CCT8
ASH2L	SETD1A
ASH2L	CBFB
CBFB	PRKCQ
CHMP1A	NXF1
CHMP1A	EFTUD2
CHMP1A	INS
FBXO6	SYNCRIP
FBXO6	COMT
FBXO6	NUP210
PI4KB	INS
PI4KB	PIK3CD
RBPMS	INS
RBPMS	GRAP2
RBPMS	SNRNP35
RBPMS	HNF4A
SLC26A9	GATA4
NXF1	ESRRA
NXF1	TMED3
NXF1	HNRNPAB
NXF1	ARHGEF3
NXF1	HNRNPD
NXF1	PIK3R2
NXF1	LRPPRC
RBL1	NTRK1
RBL1	ERBB2
RBL1	CREG1
RBL1	NEK4
RBL1	NFKB1
PTPRS	FGR
PTPRS	HCK
CHMP4A	INS
ESRRA	CYP19A1
ESRRA	HNF4A
ESRRA	DOK4
ESRRA	ITPKA
ESRRA	IGF1
NTRK1	SET
NTRK1	AGO2
NTRK1	EFTUD2
NTRK1	HNRNPD
NTRK1	NUP210
NTRK1	LRPPRC
NTRK1	PRPF4
NTRK1	CTTNBP2NL
NTRK1	CRNKL1
NTRK1	NPM1
NTRK1	LDHA
NTRK1	PIK3R2
NTRK1	SRPRA
IGHG1	BAIAP2
IGHG1	SYK
IGHG1	HCK
IGHG1	IGHV3-48
IGHG1	CPSF6
LAMTOR3	SLC38A9
LAMTOR3	ILF2
IFT57	TCTEX1D1
LRPPRC	SETD1A
LRPPRC	INS
LRPPRC	HNRNPD
LRPPRC	SET
LRPPRC	NPM1
LRPPRC	SIRT1
KCNJ4	GNG3
CYSRT1	HCK
CYSRT1	INS
CXCL12	CYP19A1
CXCL12	CYSLTR1
PIK3R2	HCK
PIK3R2	CPSF6
PIK3R2	GNG3
PIK3R2	PIK3CD
PIK3R2	NPM1
PIK3R2	FGF6
PIK3R2	CD2AP
SYK	GRAP2
SYK	BAIAP2
SYK	HCK
SYK	PRKCQ
SYK	CPSF6
SYK	GNG3
SYK	FGR
SYK	PIK3CD
CACNB4	PRKCQ
CACNB4	PRKACB
GPANK1	HNF4A
GPANK1	KRTAP10-8
GRAP2	PIK3CD
GRAP2	GNG3
GRAP2	IGHV3-48
GRAP2	LNX1
GRAP2	ITPKA
GRAP2	PRKCQ
SYNCRIP	NFKB1
SYNCRIP	HNRNPD
SYNCRIP	SIRT1
SYNCRIP	CRNKL1
SYNCRIP	EFTUD2
SYNCRIP	SYT7
AHI1	PRKAR2B
DCTN4	INS
CPSF6	BAIAP2
CPSF6	IGHV3-48
CPSF6	PIK3CD
CPSF6	PRPF4
CPSF6	EFTUD2
CRNKL1	PRPF4
CRNKL1	CFAP20
CRNKL1	EFTUD2
CRNKL1	PRCC
ARHGEF3	NEK4
HNRNPAB	SET
HNRNPAB	EFTUD2
HNRNPAB	HNF4A
FGR	INS
