#tail	head
CDK9	CCDC87
APOB	AGTR1
APOB	GPC4
APOB	GCLC
FOXO4	RARB
FOXO4	EPN1
FOXO4	ITGA2
FOXO4	ACVR1B
FOXO4	GLI1
FOXO4	RILP
EPN1	SPTBN1
EPN1	EPS15L1
EPN1	SMTN
PCDHGA11	PCDH12
HIST1H2BB	LMNA
TMEM14B	B4GALT7
TMEM14B	CNIH2
TPCN1	CAMK2A
TPCN1	MYL10
TPCN1	PXN
LHCGR	CGB8
MAP1LC3B	LMNA
MAP1LC3B	HNRNPH1
MAP1LC3B	HIST1H1C
MAP1LC3B	MMP2
TGM5	LGALS7B
TGM5	EIF4E2
PTGDS	IGF2
PTGDS	ESR2
POLR3E	TRIM25
BTC	NRAS
HIST1H3D	SETD1B
HIST1H3D	POLDIP2
HIST1H3D	C7orf50
HIST1H3D	SSB
BCL2L14	TRAPPC5
BCL2L14	TRAPPC3
GAPDH	MTMR14
GAPDH	FXYD2
GAPDH	RPSA
GAPDH	SEPT7
GAPDH	CAD
GAPDH	TARDBP
GAPDH	FBXO6
GAPDH	CD81
MAPK1	NTRK1
MAPK1	RARB
MAPK1	SPRY2
MAPK1	DNMT3A
MAPK1	SPTBN1
MAPK1	CHRNA4
MAPK1	CNGA3
MAPK1	AGTR1
BASP1	AGTR1
BASP1	LRCH3
BASP1	TRIM25
SEC22B	MRPS18B
SEC22B	CPS1
ATP5PO	CD81
CHMP4B	CAPZA2
CHMP4B	RPSA
CHMP4B	EIF6
CHMP4B	LMNA
USP48	NTRK1
CPS1	ADAT3
CPS1	FBXO6
GAMT	COQ5
GAMT	HNMT
POLDIP2	SMTN
POLDIP2	RPSA
POLDIP2	SEC13
POLDIP2	SREBF1
WNT9A	AGTR1
WNT9A	CER1
RBM6	PAK5
RBM6	LMNA
RBM6	SLC4A7
SLC3A2	ATP1B3
SLC3A2	RPSA
SLC3A2	CAD
SLC3A2	FXYD2
SLC3A2	SREBF1
SLC3A2	SEPT7
SLC3A2	GCLC
LDB2	LMO4
SRMS	PTPRS
SRMS	PTPN6
FNDC3B	BBS2
HCAR2	CAMK2G
CNIH2	TRAPPC1
CNIH2	TRAPPC5
CNIH2	TRAPPC10
CAMK2B	CACNG3
MTMR14	CARM1
MTMR14	PPP2R1A
MTMR14	PIGC
SLC1A7	SLC5A3
