#tail	head
EAF1	GOLGA6L9
HIST2H4B	SIN3A
HIST2H4B	PTGDS
HIST2H4B	CCND1
HIST2H4B	PRKAB2
HIST2H4B	FN1
HIST2H4B	MSL3
HIST2H4B	HIST2H3C
HIST2H4B	CTNNB1
HIST2H4B	NOTCH1
CASP1	SLC5A1
CASP1	VAC14
L2HGDH	DLD
L2HGDH	BCAT2
ITGA1	LAMB4
ITGA1	P2RX4
ITGA1	LIMS2
ITGA1	COL11A1
ITGA1	VCL
ITGA1	FN1
ITGA1	COL5A2
ITGA1	TPM1
ITGA1	ITGA7
AGL	FN1
AGL	FOXA2
AGL	PRKAB2
AGL	PRKAA2
AGL	PTGDS
GOLGA6L9	PRKAB2
HSD17B7	P2RX4
HSD17B7	PLAT
HSD17B7	DYSF
HSD17B7	SIN3A
HSD17B7	NOTCH1
HSD17B7	CCND1
HSD17B7	CTNNB1
HSD17B7	DCXR
CTH	LAP3
CTH	HAL
CTH	DLD
CTH	BCAT2
S100A10	PLAT
S100A10	PLD1
S100A10	SIN3A
P2RX4	TPM1
P2RX4	VCL
P2RX4	DYSF
PRKAB2	SLC5A1
PRKAB2	HIST2H3C
PRKAB2	HIST1H4J
PRKAB2	PRKAA2
PRKAB2	TPM1
ITGA7	LAMB4
ITGA7	COL5A2
ITGA7	COL11A1
ITGA7	LIMS2
ITGA7	VCL
ITGA7	FN1
PLD1	PRKAA2
LIMS2	FN1
LIMS2	COL5A2
LIMS2	VCL
LIMS2	LAMB4
LIMS2	COL11A1
PLAT	FN1
PLAT	PLAU
FOXA2	SIN3A
SIN3A	PTGDS
SIN3A	HIST2H3C
SIN3A	HIST1H4J
LAP3	VCL
LAP3	DLD
HIST2H3C	NOTCH1
HIST2H3C	CCND1
HIST2H3C	CTNNB1
HIST2H3C	FN1
HIST2H3C	HIST1H4J
DLD	FN1
DLD	SLC5A1
DLD	BCAT2
DLD	HAL
DLD	TPM1
BCAT2	HAL
BCAT2	PTGDS
MSL3	HIST1H4J
COL5A2	LAMB4
COL5A2	VCL
COL5A2	COL11A1
COL5A2	FN1
FN1	LAMB4
FN1	DCXR
FN1	SLC5A1
FN1	VCL
FN1	HIST1H4J
FN1	PLAU
FN1	COL11A1
VCL	TPM1
VCL	LAMB4
VCL	CTNNB1
VCL	COL11A1
DCXR	CTNNB1
DCXR	PRKAA2
DCXR	NOTCH1
DCXR	C4orf33
HIST1H4J	NOTCH1
HIST1H4J	PTGDS
HIST1H4J	CCND1
HIST1H4J	CTNNB1
COL11A1	LAMB4
PLAU	SLC5A1
SLC5A1	PRKAA2
SLC5A1	PTGDS
SLC5A1	CCND1
SLC5A1	CTNNB1
VAC14	C4orf33
CTNNB1	NOTCH1
CTNNB1	CCND1
CTNNB1	TPM1
NOTCH1	CCND1
