#tail	head
FOXH1	IARS
E4F1	ZNF770
E4F1	TMEM86A
E4F1	HIST1H4E
OCRL	UBC
OCRL	PLCE1
IFIH1	USP17L10
MTX2	AIFM1
HAT1	HIST1H4E
HAT1	HIST1H4I
LAMB1	ACTN1
LAMB1	CACNA1A
HIST1H4I	YWHAZ
HIST1H4I	THAP7
HIST1H4I	EGFR
HIST1H4I	UBTF
HIST1H4I	HNRNPR
HIST1H4I	RARA
HIST1H4I	ATF1
HIST1H4I	PAX6
HIST1H4C	EGFR
HIST1H4C	RARA
HIST1H4C	UBTF
HIST1H4C	PAX6
HIST1H4C	POLR2H
HIST1H4C	THAP7
NUP37	UBC
AIFM1	EGFR
HNRNPM	POLR2H
HNRNPM	EEF2
HNRNPM	RARA
HIST1H4E	UBTF
HIST1H4E	YWHAZ
HIST1H4E	POLR2H
PPP2R5D	PSMB9
ACTN1	EEF2
CYSRT1	SLC13A5
IARS	COMTD1
EEF2	YWHAZ
EEF2	ATF1
EEF2	HNRNPR
PCDHGA2	FOXN1
CDC25A	YWHAZ
CDC25A	EGFR
CDC25A	UBC
THAP7	TPM3
YWHAZ	ABL1
YWHAZ	HECTD4
YWHAZ	UBC
RARA	PAX6
RARA	HNRNPR
RARA	EGFR
ATF1	SLC25A3
ATF1	EGFR
ATF1	TMEM86A
ATF1	ABL1
HECTD4	TFCP2
SLC25A3	EGFR
UBTF	MPHOSPH8
NEDD4L	SLC9A3
PSMB9	LTB
LTB	PSME3
POLR2H	PAX6
ABL1	UBC
EGFR	UBC
EGFR	ILK
SLC9A3	SLC13A5
UBC	PSME3
