#tail	head
C21orf91	CCDC85B
TAF13	INTS9
PELP1	ESRRA
PELP1	HIST1H4D
PELP1	GNL3
PELP1	HIST1H3D
PELP1	MNDA
PELP1	OBSL1
WWP2	DDX17
WWP2	HIST1H4D
WWP2	PSMD10
WWP2	CEBPA
INPP5K	IL7R
INPP5K	OCRL
INPP5K	PES1
INPP5K	PYGM
INPP5K	EP300
INPP5K	PHKA2
INPP5K	VAMP7
RPS4X	RPL28
RPS4X	OBSL1
RPS4X	HSPA8
RPS4X	ESRRA
RPS4X	HIST1H2BI
RPS4X	HSPA1A
RPS4X	PIH1D1
IL7R	HIP1
IL7R	INPP4A
IL7R	ARPC5
PHKA2	INPP4A
PHKA2	DUSP16
PEAK1	PPP1R3A
ICOS	LCP2
ICOS	WASF3
APOA4	OBSL1
GRIP2	AP2B1
GRIP2	AP2A2
GRIP2	WASF3
PYGM	ATP6V0A1
PYGM	SLC2A1
PYGM	OCRL
PYGM	ACYP2
PYGM	PHKG1
PYGM	INPP4A
GNAQ	OCRL
GNAQ	SGTA
GNAQ	SRRT
GNAQ	ESRRA
GNL3	MNDA
GNL3	GABARAP
HIST1H3D	SRRM2
LDLRAD4	TCF3
LDLRAD4	RNF31
KDM3B	TCF3
KDM3B	SREBF1
INTS9	TCF3
HIP1	TCEANC
HIP1	AP2A2
HIP1	HSPA8
HIP1	AP2B1
HIP1	ITSN1
SRRT	TNRC6A
SRRT	SRRM2
SRRT	HSPA1A
SRRT	CEBPA
SRRT	DNAJB12
ROR1	DUSP16
ROR1	CEBPA
ROR1	FOXO1
SEC23B	AP2B1
SEC23B	PIH1D1
SEC23B	HSPA8
SEC23B	CENPJ
SEC23B	OCRL
CCR7	CCL8
PPP1R3A	PPP1R7
PPP1R3A	PIH1D1
PPP1R3A	PDRG1
LCP2	GNG7
LCP2	IGHV3-33
GNG7	AGTR1
GNG7	IGHV3-33
GNG7	WASF3
GNG7	CCL8
SGTA	ATP6V0A1
SGTA	DDX17
SGTA	SRRM2
DICER1	RPL28
DICER1	DDX17
AP1S2	CEBPA
AP1S2	OCRL
AP1S2	TCF3
OFCC1	CEBPA
GHRHR	GNG4
INPP4A	VAMP7
INPP4A	AGTR1
INPP4A	SREBF1
INPP4A	PHKG1
INPP4A	WNT5A
MYOC	SERPINF1
PPP1R11	UBXN2B
LINC01600	LMO4
UBXN2B	XAF1
VAMP7	OCRL
VAMP7	ARPC5
RNF31	HSPA1A
RNF31	SRRM2
RNF31	DDX17
RFC5	GABARAP
TMEM199	TCF3
DSE	CSPG4
DLC1	ESRRA
AP2A2	ITSN1
ZNF655	TCEANC
ZNF655	MBD3
ARPC5	EGR2
ARPC5	OCRL
ARPC5	SREBF1
ARPC5	WNT5A
IL12A	AGTR1
YEATS4	HIST1H4D
YEATS4	HIST1H2BI
CDC73	SRRM2
HIST1H2BI	EGR2
HIST1H2BI	PSMD10
AGTR1	GNG4
AGTR1	OCRL
AGTR1	AP2B1
AGTR1	ITSN1
AGTR1	FGF18
AGTR1	PSMD10
AP2B1	SRRM2
AP2B1	HSPA8
AP2B1	OCRL
AP2B1	WNT5A
AP2B1	ITSN1
AP2B1	FZD2
WNT5A	PLA2G1B
WNT5A	OCRL
WNT5A	FZD2
ESRRA	EP300
HIST1H4D	EGR2
HIST1H4D	HNRNPA3
HIST1H4D	OBSL1
GNG4	FGF18
GNG4	FZD2
GNG4	IGHV3-33
GNG4	CCL8
GNG4	GABBR2
ITSN1	HSPA8
ITSN1	CEBPA
CNOT10	CENPJ
MORF4L2	EGR2
FOXO1	KLHL40
FZD2	TCF3
HNRNPA3	OBSL1
HNRNPA3	GABARAP
HNRNPA3	PHGDH
GART	PHKG1
SRY	LMO4
ACYP2	PHKG1
IGHV3-33	OCRL
IGHV3-33	FGF18
CEBPA	EGR2
CEBPA	CCL8
CEBPA	SLC2A1
SRRM2	PHGDH
SRRM2	HSPA1A
SRRM2	GABARAP
SRRM2	PIH1D1
ATP6V0A1	PHGDH
SNCA	TCF3
ZNF384	GABARAP
GABARAP	RPL28
GABARAP	DUSP16
GABARAP	HSPA6
GABARAP	SRSF10
HSPA8	OCRL
OCRL	PHKG1
DDX17	SREBF1
DDX17	GATA4
DDX17	PIH1D1
DDX17	OBSL1
DDX17	PHGDH
PHKG1	DUSP16
NEUROG2	GATA4
HSPA1A	PIH1D1
HSPA1A	PSMD10
EP300	HSPA6
TNRC6A	PHGDH
PSMD10	PES1
CD79B	TCF3
PHGDH	PIH1D1
GATA4	MBNL1
KLHL40	TCF3
