#tail	head
FOXH1	LINC01600
ATP5IF1	RNASET2
NDUFV2	MT-ND6
NDUFV2	JUN
NDUFV2	TAF1
MT-CO2	RNF4
IKBKG	RNF4
IKBKG	RPS11
ALDH3B2	GUCY2F
CFAP410	NDUFB7
FAR2	APP
PPP2R5C	APP
PPP2R5C	RNF4
PPP2R5C	PAX2
TUBA4B	MAX
POLR2K	MYC
POLR2K	HIST1H3C
GK2	DHFR
PAX2	MYC
MAX	AP4B1
MAX	HDAC6
MAX	RNF4
MAX	ABCC4
MAX	SMAD2
MAX	RXRB
MAX	TAF1
EBNA1BP2	HIST1H3D
EBNA1BP2	JUN
TAF1	DHFR
TAF1	HIST1H3D
TAF1	MYC
TAF1	B2M
TWISTNB	HIST1H3C
RNF4	HIST1H3D
RNF4	MYC
RNF4	ZMYM2
RNF4	STAT3
RNF4	DHFR
PSMG3	PSMB7
PSMG3	RPS11
PSMB7	MYC
IGKV5-2	GNG2
IGKV5-2	B2M
STAT3	MYC
SMAD2	MYC
SMAD2	FHL2
LINC01600	GNE
HIST1H3D	JUN
HIST1H3D	HDAC6
FHL2	JUN
WDR83	MAGOH
NDUFB7	ATP5PB
GNG2	APP
GNG2	ZMYM2
MAGOH	MYC
RXRB	ZMYM2
B2M	MYC
DHFR	ABCC4
ABCC4	MYC
ABCC4	APP
ABCC4	GUCY2F
HIST1H3C	JUN
HIST1H3C	MYC
PTMS	APP
APP	AP4B1
JUN	MYC
