#tail	head
TNFSF11	PSMB1
TEC	HSP90AA1
TEC	IGHV3-53
TEC	IGKV1-17
TEC	PTPRC
TEC	MYOD1
TEC	VAV3
GRIN1	SCN3A
GRIN1	RELA
GRIN1	CHRNG
GRIN1	FXYD7
GRIN1	HTR3B
GRIN1	MYOD1
CCNJL	MYOD1
MOB1A	THOC2
GPR87	JUN
GPR87	TCF3
SLTM	SIRT7
SEC23A	SIRT7
FOXC1	HOXA11
NEFL	DLG4
NEFL	SLC24A5
NEFL	SHH
NEFL	ACTN2
NEFL	SCNN1A
UBE2D2	FBXO44
UBE2D2	BIRC2
UBE2D2	CSF3
UBE2D2	TP53
ZNF503	TCF3
PSMB1	NEDD8
NCK2	GRB2
NCK2	TRIM27
RAD51C	MRE11
RAD51C	ADAMTS4
ADAMTS4	TFAP4
ADAMTS4	YTHDC1
MAP2K1	UBE2I
MAP2K1	HSP90AA1
HSPA9	VCAM1
HSPA9	COPS5
HSPA9	ECHS1
HSPA9	MYOD1
NDUFV1	COPS5
NDUFV1	PAK5
SHH	ADORA2A
SHH	MNX1
UBE2I	HIST1H2BF
UBE2I	CREB1
CCAR2	HSD17B10
CCAR2	RELA
CCAR2	HSP90AA1
CCAR2	VCAM1
USP2	ACTN2
USP2	RELA
USP2	TCF3
FXYD7	DLG4
FXYD7	ACTN2
FXYD7	CHRNG
FXYD7	SCNN1A
RELA	XDH
RELA	HTR3B
RELA	TP53
RELA	ADGRB2
RELA	CREB1
RELA	JAK3
ATP6V1F	NEDD8
ATP6V1F	SLC24A5
MAPRE3	TFAP4
BACH1	MRE11
BACH1	TUBB4A
BACH1	SLX1A
BACH1	PSMD11
PSMD1	WWP1
PSMD1	HSP90AA1
PSMD1	JUN
PSMD1	HSD17B10
PSMD1	BIRC2
PSMD11	GRB2
MERTK	PTPRC
PHF20L1	WWP1
DCAF7	JUN
DCAF7	BIRC2
DCAF7	NEDD8
DCAF7	LIG1
DCAF7	SIRT7
TFAP4	MYCN
TFAP4	MYOD1
TFAP4	ADGRB2
TFAP4	TUBB4A
TUBB4A	JUN
TUBB4A	STMN4
CHRNG	DLG4
CHRNG	TCF3
ALX1	PTPRC
ALX1	CRTAC1
NEDD8	HSP90AA1
NEDD8	TP53
BCR	TNKS2
BCR	HSP90AA1
BCR	IGKV1-17
BCR	PTPRC
HSD17B10	COPS5
HSD17B10	ECHS1
EDN2	ADORA2B
EDN2	ADORA2A
COPS5	FBXO44
CSF3	ADORA2A
CSF3	TP53
CSF3	TRIM27
CSF3	IL1B
CSF3	TCF3
HSP90AA1	WWP1
HSP90AA1	KDR
HSP90AA1	VCAM1
HSP90AA1	VAV3
HSP90AA1	TRIM32
HSP90AA1	IGHV3-53
SLC16A8	TCF3
HMGCS2	ECHS1
HTR3B	DLG4
JAK3	COX4I1
JAK3	GRB2
PAK5	TP53
SAV1	ECHS1
GRB2	IGHV3-53
GRB2	IGKV1-17
GRB2	PTPRC
GRB2	IGLV3-21
IL1B	VCAM1
IL1B	JUN
IL1B	TP53
IL1B	ALDH1A1
TRIM27	TRIM32
PTPRC	KDR
HIST1H3C	CREB1
HIST1H3C	SIRT7
HIST1H3C	MYOD1
GNGT1	IGHV3-53
GNGT1	IGKV1-17
PALB2	HIST1H2BF
IGLV3-21	RAC1
NOS2	RAC1
NOS2	CREB1
SCNN1A	WWP1
SCNN1A	DLG4
SCNN1A	SLC24A5
MYCN	STMN4
STMN4	TCF3
KDR	RAC1
KDR	TP53
SIRT7	TP53
MYOD1	CREB1
MYOD1	JUN
MYOD1	NKAIN2
TRIM32	TP53
TERF2	TCF3
TERF2	MRE11
TERF2	HIST1H2BF
UBE2L6	WWP1
UBE2L6	BIRC2
FBXO44	TCF3
FBXO44	JUN
ACTN2	COL4A2
RAC1	EED
RAC1	DLG4
EED	HIST1H2BF
SUMO3	JUN
IL10	JUN
TP53	SP3
TP53	MRE11
LDHAL6A	ALDH1A1
CREB1	JUN
ADGRB2	SP3
MRE11	HIST1H2BF
DLG4	SLC4A5
DLG4	SLC24A5
HIST1H2BF	JUN
HIST1H2BF	SMC1B
