#tail	head
MAP3K7	HJV
ATF2	SEC24C
ATF2	HMGA1
ATF2	CTTN
ATF2	GEM
ATF2	NOG
SEPT9	PIK3CB
SEPT9	SEPT1
PRPF8	SNRPE
PRPF8	NUP155
PRPF8	HSPA6
PRPF8	SRSF2
PRPF8	CPS1
STAT2	DNAH6
STAT2	PIK3CB
STAT2	PIK3CA
STAT2	MET
STAT2	PIK3R5
DRD1	HBEGF
SEC24C	TOMM40
SEC24C	PSMD7
SEC24C	YKT6
SEC24C	SAR1B
SEC24C	LMAN2L
SEC24C	SEC16A
SEC24C	OGA
SEC24C	MYO6
SEC24C	SEC24D
WWP2	CPSF6
WWP2	HNRNPK
WWP2	DVL1
LYZL2	MRC2
LYZL2	DNAJB9
LYZL2	GALNS
KIF20A	KDELR3
RXFP4	GNG8
DVL1	PIK3CB
DVL1	WNT9B
DVL1	ERLIN2
DVL1	CPSF6
DVL1	HBEGF
CA13	TCIRG1
ACSM4	SPATA5
ACSM4	ALAS1
HSD11B1	TMBIM6
SLC24A2	SLC6A18
SLC24A2	HIBCH
SLC24A2	IDH1
INSL5	GALNS
MET	IGHV4-59
MET	CTTN
MET	CD28
MET	CPSF6
SEC23IP	SAR1B
SEC23IP	LMAN2L
SEC23IP	SEC16A
MEOX2	POM121C
IGHV1-2	IGHV4-59
IGHV1-2	GNG8
IGHV1-2	PIK3R5
IGHV1-2	CD28
IGHV1-2	ERLIN2
YKT6	KDELR3
YKT6	SEC24D
YKT6	SEC16A
YKT6	SAR1B
SRSF2	SNRPE
KDELR3	COPE
KDELR3	COG4
KDELR3	PIK3CA
KDELR3	KIF1B
BACH1	MRE11
BACH1	HBEGF
BACH1	PIK3CA
BACH1	BARD1
HNRNPK	PPP1R10
HNRNPK	CPSF6
HNRNPK	SPTAN1
HNRNPK	RBMX
HNRNPK	SNRPE
SAR1B	NOG
SAR1B	SEC24D
SAR1B	LMAN2L
POM121C	SNRPE
POM121C	HMGA1
CHL1	NOG
CHL1	LGALS1
TMEM216	NUP155
GEM	PRDM14
GEM	NOG
SLC6A18	ALAS1
RAB34	HMGA1
RAB34	DUSP23
SPTAN1	ERLIN2
SPTAN1	DNAH6
SPTAN1	PSMD7
NOS1AP	VANGL1
NOS1AP	TOMM40
HBEGF	ERLIN2
HBEGF	PIK3R5
HBEGF	PIK3CA
HBEGF	PIK3CB
HBEGF	NOG
HBEGF	IGHV4-59
HBEGF	GNG8
HBEGF	CTTN
CRYBG3	MLF1
ALAS1	PIK3CB
COG4	MAN1A2
TBC1D9	SNRPE
CD28	PDGFB
CD28	IGHV4-59
CD28	ERLIN2
HMGA1	SEPT1
HMGA1	MRC2
DEFA1B	EDEM3
DEFA1B	GALNS
NOG	PIK3CB
NOG	KDELR2
NOG	RBMX
NOG	MRC2
NOG	DUSP23
NOG	PIK3R5
NOG	GNG8
NOG	CTTN
NOG	MAN1A2
NOG	SEC24D
NOG	PSMD7
NOG	OGA
NOG	PRDM14
STRN4	PRDM14
WNT9B	GNG8
COPE	KIF1B
SNRPE	OGA
SNRPE	CPSF6
SNRPE	RBMX
LMAN2L	SEC24D
SEC16A	OGA
SEC16A	MYO6
SEC16A	SEC24D
OGA	CTTN
OGA	PIK3CA
OGA	SPATA5
PSMD7	CTTN
PSMD7	PSMA7
PSMD7	TOMM40
CPSF6	PDGFB
CPSF6	IGHV4-59
CPSF6	PIK3R5
CPSF6	PIK3CA
CPSF6	PIK3CB
GALNS	ERLIN2
IGHV4-59	PIK3R5
IGHV4-59	PIK3CA
IDH1	FMO4
IDH1	HIBCH
MYO6	RBMX
BARD1	MRE11
GAPDHS	SPATA5
ERLIN2	PIK3CA
CTTN	TOMM40
GNG8	PIK3CA
PIK3CA	TOMM40
PIK3CA	PIK3CB
