#tail	head
SOS2	LOX
EEFSEC	RPL27
EEFSEC	RPL23
EEFSEC	EFTUD2
DEXI	SP1
DEXI	HNF1A
IDH1	SH3GL1
IDH1	PRDM14
IDH1	CDH1
EPHX1	INS
EPHX1	CYP2B6
HNF1A	PAX6
HNF1A	PAX2
HNF1A	SP1
HNF1A	MYL2
HNF1A	KCNK18
EFTUD2	ATP5PO
EFTUD2	RPL27
EFTUD2	RPLP1
EFTUD2	GOLM1
EFTUD2	SH3GL1
MAF	TCF3
MAF	TGFBR1
MAF	MEIS1
BLOC1S6	TPM1
GTF2H2	HMGN1
TGFBR1	NOTCH1
PIK3C2B	SH3GL1
PIK3C2B	INS
KCNK18	FXYD6
CYP2B6	LPO
PAX2	PRDM14
PAX2	MEIS1
PAX2	SP1
SP1	HMGN1
SP1	NOTCH1
SP1	INS
SP1	ZBTB2
MYL12B	TPM1
ZNF362	MEIS1
RPL23	SPCS2
RPL23	RPL27
RPL23	RPLP1
CACNG8	TPM1
TADA2B	TAF5L
SLC24A1	CDH1
ATP5PO	INS
JAGN1	EBP
JAGN1	GOLM1
ZBTB2	NOTCH1
ZBTB2	PRDM14
FXYD6	EBP
INS	HIST1H2AA
INS	TPM1
INS	CDH1
INS	GOLM1
SH3GL1	TPM1
LOX	LPO
NOTCH1	TCF3
NOTCH1	CDH1
MEIS1	TAF10
MEIS1	TCF3
SPCS2	RPL27
HIST1H2AA	TAF10
TCF3	PAX6
TCF3	KCNB1
