#tail	head
ARHGAP30	RHOT2
TNFAIP8	RAB8A
SPR	PRDX1
SPR	FASN
SPR	CYP7A1
SPR	YWHAZ
SPR	HSP90AA1
SPR	PDHA1
PRDX1	ALB
PRDX1	NOG
PRDX1	SLC5A1
PRDX1	IQCB1
PRDX1	TRPV6
PRDX1	HNRNPA1
PRDX1	PDHA1
PRDX1	COPS5
GIP	ADORA2B
GIP	GRM8
GIP	GNG11
GIP	GRM1
ALB	S100A7
ALB	HSP90AA1
ALB	CTNNB1
ALB	IL6
ALB	SLC47A1
ALB	IL1A
ALB	SLC39A9
ALB	CXCL8
ALB	KLK3
OR6B3	GNGT1
OR6B3	REEP1
OR6B3	REEP2
OR6B3	RTP2
PGM2	CXCL8
PGM2	HPRT1
PGM2	NOG
PGM2	GDPGP1
TRIM54	C2CD6
TPR	RARA
TPR	IFI16
TPR	HSPA6
TPR	PDHA1
TPR	TAF15
TPR	NUP85
TPR	NOG
IL6	JAK3
IL6	PPARG
IL6	CXCL8
IL6	PDHA1
IL6	SLC47A1
IL6	SLCO2A1
IL6	TYR
IL6	ADORA2B
IL6	SLC39A9
IL6	FASN
IL6	GRM1
IL6	IL1A
IL6	GRM8
IL6	S100A7
IL6	VEGFA
IL6	HIST1H4E
KLB	ITK
KLB	FGF9
KLB	NRAS
KLB	NRG1
KLB	RHOA
KLB	GNG11
KLB	FGF7
KLB	VEGFA
GATA6	SRGAP1
GATA6	UPP1
GATA6	NRAS
GATA6	NOG
GNG11	VEGFA
GNG11	HSP90AA1
GNG11	ITK
GNG11	IGHV3-7
GNG11	GRAP2
GNG11	GNGT1
GNG11	NOG
GNG11	CXCL8
GNG11	GRM8
GNG11	NRG1
GNG11	RHOA
ZNF354C	S100A7
ITPK1	UPP1
ITPK1	GDPGP1
IFNW1	GRM1
IFNW1	JAK3
GDPGP1	EPM2A
GDPGP1	UPP1
ITK	FGF7
ITK	NRG1
ITK	JAK3
ITK	FGF1
ITK	IGHV3-7
ITK	HSP90AA1
ITK	GRAP2
ITK	GNGT1
GRM8	FGF9
GRM8	BMP2
GRM8	CXCL8
GRM8	GNGT1
GRM8	TGFB2
GRM8	VEGFA
GRM8	FGF7
OR8H1	REEP1
OR8H1	REEP2
OR8H1	RTP2
OR8H1	GNAL
OR8H1	REEP4
UBQLN1	RARA
UBQLN1	ZFAND2B
UBQLN1	HNRNPA1
UBQLN1	FGF7
UBQLN1	SCG2
HSD17B1	CTNNB1
HSD17B1	BMP2
HSD17B1	FGF9
HSD17B1	CXCL8
HSD17B1	GH1
HSD17B1	GPS2
HSD17B1	VEGFA
SFN	RPL10
SFN	HSP90AA1
SFN	TAF15
SFN	REEP4
SFN	KIAA0930
SFN	CTNNB1
SFN	NOG
SFN	NRAS
SLC47A1	TYR
SLC47A1	VEGFA
SLC47A1	DSP
SLC47A1	HMOX1
SLC47A1	CXCL8
