#tail	head
IL37	CCDC103
EGLN3	RBBP8NL
EGLN3	TCP1
EGLN3	CDKAL1
EGLN3	TP53
EGLN3	NOG
EGLN3	UBR4
SGF29	SF1
SGF29	PLEKHA7
SGF29	PRKAG1
SGF29	HIST1H2BC
FOXO4	TRMO
FOXO4	IL10
FOXO4	HTR3B
FOXO4	MYH2
FOXO4	XPO1
FOXO4	PRKAG1
FOXO4	RBBP8NL
FOXO4	TLN2
FOXO4	FN1
FAM192A	HSFX2
FAM192A	IL10
KARS	PFAS
KARS	FN1
TP53	TCP1
TP53	VCAN
TP53	FASN
TP53	IL10
TP53	XPO1
TP53	MARS
TP53	UBE2M
TP53	BRD1
IL10	EYA1
IL10	HNF4A
EYA1	HIST1H2BC
EYA1	NOG
ZNF264	HNF4A
ZNF264	KRTAP10-8
UBE2M	MCC
UBE2M	UBAC1
UBE2M	FN1
UBE2M	HNF4A
RBBP8NL	CHIA
NOG	VCAN
NOG	WIPF3
NOG	HNF4A
NOG	DPY19L2
NOG	MARS
NOG	ITGB5
NOG	TLN2
NOG	MCC
FASN	SF1
FASN	FN1
FASN	XPO1
FASN	SLC25A16
FASN	HADHB
FASN	TCP1
SCD5	HADHB
SCD5	SLC25A16
KCNMB2	HTR3B
KCNMB2	SF1
HADHB	SF1
HADHB	HNF4A
WASL	DNM1
WASL	ARPC4
ARPC4	WIPF3
ARPC4	FN1
ARPC4	MYH2
ARPC4	XPO1
GPC1	VCAN
GPC1	PLEKHA7
BRD1	MCC
BRD1	HIST1H2BC
COL15A1	VCAN
COL15A1	HNF4A
COL15A1	FN1
XPO1	FN1
XPO1	HNF4A
GPANK1	HNF4A
TLN2	VCAN
GDPD3	HRASLS2
CHIA	UBR4
CHIA	UBAC1
PFAS	MCC
TCP1	FN1
TCP1	HNF4A
PLAU	ITGB5
PLAU	FN1
HELZ	PLEKHA7
HELZ	SF1
LRTOMT	MAT1A
LRTOMT	MAOA
KRTAP10-8	ITGB5
PLEKHA7	PRKAG1
MAOA	HNF4A
MAOA	HTR3B
PRKAG1	SF1
PRKAG1	MARS
VCAN	HSFX2
VCAN	FN1
MAT1A	HNF4A
MAT1A	CDKAL1
UBAC1	MYH2
UBAC1	HRASLS2
MYH2	FN1
CDKAL1	HNF4A
CDKAL1	DNM1
FN1	MARS
FN1	ITGB5
