#tail	head
EDEM2	GABPA
NCL	PSMA3
NCL	RPL23A
NCL	AURKB
ITGA4	RPL23A
ITGA4	SNRPD2
COX6A1	HTT
COX6A1	ALDH9A1
TRIM72	DLG3
AKAP9	ARAF
STIM1	HSPA5
STIM1	SYT5
STIM1	PAFAH1B1
STIM1	TRPC6
NTRK2	INS
NTRK2	FGF17
UBA52	RPS6
UBA52	ASB13
UBA52	FGF17
UBA52	RPL23A
UBA52	PSMA3
MCRS1	JAKMIP1
LYPD4	KIF18A
COPS7A	ASB13
COPS7A	INS
GPT2	ALDH9A1
HSPA5	CAND1
HSPA5	HIST1H3H
HSPA5	PSMA3
HNRNPM	GMCL2
HNRNPM	JUN
HNRNPM	SF3A3
HNRNPM	LEF1
PSMA3	SF3A3
DLG3	FGF11
DLG3	SLC24A5
DLG3	MYH3
MYH4	LEF1
FAM50A	NR1H4
HIST1H3H	PRELID3A
HIST1H3H	LEF1
HIST1H3H	SNRPD2
CKMT1A	HSPE1
CKMT1A	SLC34A1
HTT	INS
AURKB	PDS5B
FGF11	SF3A3
FGF11	SLC24A5
FGF11	FGF17
FGF11	DLG2
FGF11	NR1H4
SLC5A9	SLC24A5
DLG4	MYH3
DLG4	SLC34A1
ASB13	LEF1
MRPL34	MRPL16
MRPL34	INS
MRPL34	MRPS16
KIF18A	PAFAH1B1
GCLC	JUN
RPS6	RPL28
SLC24A5	NR1H4
ACTR1A	MYH3
CAND1	RPL23A
CAND1	RPL28
MCOLN3	SYT5
HSPE1	INS
IGHV2-70	TRPC6
TRPC6	INS
RPL23A	OBSL1
RPL23A	LEF1
DLG2	SYT5
DLG2	NR1H4
NFE2L2	INS
NFE2L2	JUN
MANF	NR1H4
PAFAH1B1	SNRPD2
DDX54	OBSL1
LEF1	TCF4
