#tail	head
DGCR2	YY1
TRPC6	PLCG2
TRPC6	MAPK3
TRPC6	SLC17A7
TRPC6	IGHV1-2
TRPC6	GNG10
TRPC6	SHC1
TRPC6	SLC24A2
YY1	JUNB
YY1	SMAD3
YY1	AP1G1
YY1	FOXO4
YY1	ATF7
YY1	RALA
PA2G4	SET
PA2G4	PLEKHA7
ATF7	FOXO4
ATF7	CEBPA
ATF7	MAPK3
ATF7	JUNB
ATF7	MAZ
SET	CEBPA
SET	GDI2
SET	TNIP2
SET	AP1G1
SET	MAZ
SET	NRF1
SET	DAB2
SET	JUNB
SET	PLEKHA7
SET	ARPC1A
FOXO4	LRP5
FOXO4	SLC24A2
FOXO4	NRF1
FOXO4	SH3BP5
FOXO4	MAZ
FOXO4	RALA
FOXO4	GSKIP
FOXO4	SMAD3
FOXO4	MAPK3
LRP5	FZD2
LRP5	GNG10
LRP5	TNIP2
GNG10	IGHV1-2
GNG10	FZD2
GNG10	FPR1
GNG10	SHC1
GNG10	CCL8
GNG10	NRF1
GNG10	IGHG1
GNG10	RAC2
GNG10	PLCG2
GNG10	RHOG
TNS2	CEBPA
TNS2	CRX
TNS2	MAZ
AP1G1	AP4E1
AP1G1	AP1S1
AP1G1	AP1AR
AP1G1	PLEKHA7
SLC24A2	FZD2
SLC24A2	RYR2
RHOG	ARPC1A
RHOG	GDI2
RHOG	PLCG2
RHOG	IGHG1
RHOG	ARHGAP33
RHOG	SHC1
RHOG	IGHV1-2
RHOG	MAZ
RHOG	ARHGEF33
MAZ	RYR2
MAZ	RAB13
MAZ	NRF1
MAZ	AP1S1
MAZ	FOXD2
MAZ	JUNB
MAZ	SHC1
MAZ	MAPK3
MAZ	CD151
GDI2	SIRT7
GDI2	SMAD3
GDI2	PLEKHA7
GDI2	RAB13
GDI2	RHOV
GDI2	RAC2
IGHV1-2	RAC2
IGHV1-2	IGHG1
IGHV1-2	PLCG2
IGHV1-2	SHC1
CGRRF1	KLRC1
CGRRF1	FOXD2
CGRRF1	SMAD3
JUNB	SMAD3
JUNB	CEBPA
JUNB	MAPK3
JUNB	TNIP2
ARPC1A	DAB2
ARPC1A	PLEKHA7
ARPC1A	TNIP2
ARPC1A	RAC2
FZD2	MAPK3
OR8D2	RYR2
OR8D2	IGHG1
OR8D2	AP4E1
OR8D2	SH3BP5
SH3BP5	PLCG2
SH3BP5	IGHG1
SH3BP5	RYR2
SH3BP5	AP4E1
CEBPA	MAPK3
CEBPA	SMAD3
CEBPA	PLEKHA7
CEBPA	CCL8
NCEH1	UGT3A2
NCEH1	CD151
CRX	SMAD3
CRX	BANF2
PLCG2	IGHG1
PLCG2	SHC1
PLCG2	RASA2
PLCG2	RAC2
KLRC1	CD151
RALA	BECN1
RALA	RAB13
CCL8	FPR1
BANF2	MCM6
SLC17A7	RYR2
ARHGEF33	RHOV
ARHGEF33	RAC2
SLC35D1	NRF1
SLC35D1	UGT3A2
RHOV	ARHGAP33
MCM6	SIRT7
RASA2	SHC1
TNIP2	GSKIP
AP1AR	AP1S1
ARHGAP33	RAC2
SMAD3	DAB2
SMAD3	MAPK3
IGHG1	SHC1
IGHG1	RYR2
IGHG1	AP4E1
IGHG1	RAC2
AP4E1	AP1S1
AP4E1	RYR2
SHC1	RAC2
SHC1	MAPK3
SHC1	NRF1
DAB2	PLEKHA7
DAB2	BECN1
AP1S1	NRF1
NRF1	SIRT7
MAPK3	FPR1
