#tail	head
AKAP5	HIST1H3I
FXYD4	GNG2
FXYD4	GNB1
FXYD4	KCNG1
FXYD4	GRIA2
CHRM3	GNA15
CHRM3	GNAO1
CHRM3	GNG2
CHRM3	GNB1
GPBAR1	GNB1
GPBAR1	TRPV5
HSP90AB1	AKT1
GNB1	CCR4
GNB1	HLA-DRB1
GNB1	GNA15
GNB1	FXYD3
GNB1	AKT1
PIK3R1	CSNK2A1
PIK3R1	GNG2
PIK3R1	GNA15
PIK3R1	AKT1
PIK3R1	TMEM17
PIK3R1	STAT5B
PIK3R1	SOCS7
GNAO1	HLA-DRB1
STAT5B	AMHR2
STAT5B	AKT1
IGKV2-28	AKT1
IGKV2-28	GNG2
TMEM17	SLC6A15
HLA-DRB1	GNG2
HLA-DRB1	ZBTB17
FXYD3	GRIA2
FXYD3	KCNG1
FXYD3	SLC6A15
AKT1	TRPV5
AKT1	RYR1
AKT1	AMHR2
AKT1	GNG2
GNG2	GNA15
CUL5	HSP90B1
PAFAH1B1	RYR1
PAFAH1B1	CSNK2A1
DDIT3	ZBTB17
DDIT3	CSNK2A1
GNA15	RGS1
GNA15	TRPV5
GNA15	RYR1
CCR4	TRPV5
CCR4	RYR1
RYR1	TRPV5
