#tail	head
MRPS6	MKRN3
PCGF1	ZGPAT
PCGF1	MRE11
PCGF1	RNF2
FAAP24	TOP3A
FAAP24	DCLRE1B
FAAP24	UBB
AMBP	NOG
ALDH3B2	GAPDH
VCL	ATP2B4
VCL	TRPM7
VCL	VIM
VCL	GRIK4
VCL	YES1
VCL	GRIK1
VCL	SEPT2
VCL	SH3GL1
NUPR1	FN1
NUPR1	VIM
NUPR1	PTK2
HIST1H2BN	SIN3B
HIST1H2BN	DEK
HIST1H2BN	SIRT1
HIST1H2BN	HIST1H4E
HIST1H2BN	UBB
HIST1H2BN	CHD4
VSIG8	DOLPP1
VSIG8	TEX35
IFNA13	IL6R
IFNA13	IFNA21
IFNA13	PTPN6
IFNA13	GAPDH
IFNA13	PTK2
GAB1	CD79B
GAB1	PIK3CB
GAB1	CRKL
GAB1	YES1
GAB1	IGLV1-51
ABCB1	GAPDH
ABCB1	ATP2B4
ABCB1	LDHA
ABCB1	UPP2
ABCB1	RAN
ABCB1	MSL1
ABCB1	RELA
ABCB1	PCM1
UPP2	PTPN6
UPP2	CDC14B
MSL1	RAN
MSL1	NOG
SDS	HADH
WSB2	UBB
WSB2	DCUN1D1
KLHL15	DCUN1D1
KLHL15	TNS2
PYGO1	HIST1H4E
PYGO1	PRMT6
PYGO1	HIST1H2BK
PYGO1	NOG
RRN3	EIF3L
GAPDH	SEPT2
GAPDH	LDHA
GAPDH	RPS12
GAPDH	DOLPP1
GAPDH	RAN
GAPDH	PTK2
GAPDH	EIF3B
GAPDH	FN1
GAPDH	NUDC
GAPDH	UBB
GAPDH	TARDBP
GAPDH	DUSP12
NUDC	SH3GL1
NUDC	WRAP73
DUSP12	TEK
RPS12	RNF2
RPS12	CDC14B
RPS12	VIM
RPS12	FN1
PCM1	PTK2
PCM1	SEPT2
PCM1	WRAP73
PCM1	KYNU
HIST1H2BK	DDX21
HIST1H2BK	SIN3B
HIST1H2BK	SIRT1
HIST1H2BK	RNF2
HIST1H2BK	HIST1H4E
HIST1H2BK	H3F3B
RNF2	EIF3L
RNF2	HIST1H4E
RNF2	HNRNPAB
RNF2	RPL18A
RNF2	H3F3B
RNF2	VIM
RNF2	EIF3B
TRAF1	CD40
TRAF1	RELA
DSTN	NOG
DSTN	KYNU
RELA	SIRT1
RELA	NFKBIA
RELA	NOG
RELA	MECOM
RELA	TEAD4
RELA	TEK
RELA	HIST1H4E
RELA	SEM1
MRPS9	ZC3HAV1
MRPS9	HIST1H3F
FN1	PRPF40A
FN1	PTK2
FN1	NOG
FN1	STAT4
FN1	NFKBIA
FN1	MECOM
FN1	SEPT2
FN1	SIRT1
FN1	TEAD4
FN1	HIST1H4E
FN1	YES1
FN1	ZC3HAV1
FN1	USP39
FN1	VIM
FN1	DAZAP1
CFL2	AKR1B1
CFL2	NOG
CDC14B	FTSJ3
RORB	SCNM1
KRCC1	ELAVL1
VAMP2	SH3GL1
VAMP2	GRIK4
VAMP2	PIK3CB
VAMP2	ATP2B4
TEAD4	INCA1
TEAD4	YAP1
CARD9	CDK5RAP2
CARD9	YES1
PLN	CATSPER1
PLN	GRIK4
PLN	ATP2B4
USP39	CHD4
USP39	PCBP1
USP39	CFAP20
HADH	NOG
HADH	LDHA
HADH	AKR1B1
HMMR	CDK5RAP2
FOXF2	TNS2
DCUN1D1	HNRNPAB
DCUN1D1	FBF1
SRSF6	NOG
SRSF6	POLR2J
GRIK1	GRIK4
SEPT2	YES1
SEPT2	HNRNPAB
SEPT2	UBB
SEPT2	TARDBP
SEPT2	PCBP1
CDK5RAP2	PCBD1
