#tail	head
PROSER1	ASH2L
ACSM5	NAGS
ACSM5	CPT2
ACSM5	PAFAH2
ACSM5	ACSM6
ACSM5	MBOAT7
ACSM5	PKM
ACSM5	CRAT
ACSM5	ACOT2
ACSM5	ACOX3
ACSM5	ACSS3
ACSM5	ADCY1
ACSM5	GCK
ACOX3	ACOT2
ACOX3	ACSM6
ACOX3	CRAT
ACOX3	ACSS3
ACOX3	CPT2
RPL3	RPL7A
RPL3	METTL18
RPL3	ZNF746
PAFAH2	MBOAT7
PAFAH2	CPT2
PAFAH2	ACSS3
PAFAH2	NAGS
PAFAH2	ACOT2
CPT2	NAGS
CPT2	ACSS3
CPT2	ACSM6
CPT2	MBOAT7
CPT2	ACOT2
CPT2	CRAT
CPT2	SCD5
RPL7A	ZNF746
ATP6V1G3	PKM
ASH2L	H2AFJ
METTL18	TCP1
ACAP2	MBOAT7
ACAP2	MED4
ACOT2	ACSM6
ACOT2	CRAT
ACOT2	SCD5
ACOT2	NAGS
ACOT2	ACSS3
ACOT2	MBOAT7
NAGS	SCD5
NAGS	ACSS3
NAGS	ACSM6
NAGS	CRAT
NAGS	MBOAT7
H2AFJ	GREB1
ACSS3	MBOAT7
ACSS3	CRAT
ACSS3	ACSM6
MED4	WRAP73
MED4	CEP135
SCD5	CRAT
PUF60	HSD17B1
PUF60	ZNF746
GCK	GYS1
GCK	PKM
GCK	GBA
GBA	TCP1
WRAP73	CEP135
PKM	ZNF746
PKM	TCP1
PKM	ADCY1
PKM	CRAT
ACSM6	MBOAT7
ACSM6	CRAT
ACSM6	ADCY1
MBOAT7	CRAT
CEP135	GYS1
HSD17B1	GREB1
TCP1	ZNF746
