#tail	head
JCHAIN	IGLC2
RFX3	ABCB1
SEC23A	CUL3
SEC23A	PRKACA
SEC23A	S100A6
SEC23A	EPS15
SEC23A	RPSA
SEC23A	TBL1XR1
SEC23A	HSPD1
SEC23A	HLA-DRB4
SEC23A	SQSTM1
SEC23A	TRIM25
SEC23A	TUFM
SEC23A	SYNJ1
SEC23A	HNF4A
MRPL24	MRPS28
MRPL24	TUFM
ATF3	NUP98
ATF3	UMPS
ATF3	NT5C1B
TMEM14B	TRIM25
TMEM14B	BTN2A2
TMEM14B	HSD17B11
STN1	TERF2
IL6	ENO1
IL6	PRKACA
IL6	H2AFZ
IL6	HIST1H2BH
IL6	TUFM
IL6	HIST1H4A
IL6	S100A8
IL6	NFE2L1
IL6	HTT
IL6	SOS1
IL6	MAP2K2
GATA6	SP1
GATA6	KLF12
GATA6	MEIS1
ARHGEF4	GCKR
ARHGEF4	SOS1
SP1	FXR2
SP1	H2AFZ
SP1	SF3A1
SP1	RHOG
SP1	PRKACA
SP1	TFAP2A
SP1	EPS15
SP1	PLK1
SP1	TMED2
SP1	UBE2N
SP1	HNF4A
SP1	NCOA1
SP1	DNM2
SP1	TGFB1
SP1	ABCB1
SP1	HSPD1
SP1	SYNJ1
SP1	WEE1
SP1	SIN3A
SP1	NUP98
SP1	SLC39A5
SP1	SUDS3
ABCB1	SQSTM1
ABCB1	NCOA1
ABCB1	SIN3A
CDK2	RPL8
CDK2	TUFM
CDK2	HSPD1
CDK2	S100A6
CDK2	TERF2
CDK2	PRKACA
CDK2	UBE2N
CDK2	SSR4
CDK2	S100A8
CDK2	RPS20
CDK2	RPL14
CDK2	ENO1
CDK2	RAD50
CDK2	HIST1H4A
CDK2	EIF3E
SFN	WEE1
SFN	RPS20
SFN	RPSA
SFN	TRIM25
SFN	MAP2K2
SFN	RPL8
PTBP1	RPSA
PTBP1	DHX38
PTBP1	CUL3
PTBP1	PRKACA
PTBP1	TUFM
PTBP1	SQSTM1
APEX2	UBE2N
APEX2	TRAF2
MXD1	SUDS3
MXD1	SIN3A
ABCG8	FGFR4
ABCG8	PRKACA
ABCG8	F2R
ABCG8	HNF4A
NFX1	SIN3A
SIN3A	HIST1H3F
SIN3A	PRKACA
SIN3A	TGFB1
SIN3A	HTT
SIN3A	SUDS3
SIN3A	MDK
DNM2	PLK1
DNM2	EPS15
DNM2	HTT
DNM2	SYNJ1
DNM2	AP2M1
DNM2	F2R
DNM2	TRIM25
DNM2	OFD1
NFE2L1	RHOG
NFE2L1	DENND5A
NFE2L1	HNF4A
NFE2L1	SQSTM1
NFE2L1	UNKL
NFE2L1	NABP2
NFE2L1	TCF12
SUDS3	HIST1H3F
