#tail	head
AS3MT	CASP6
BFAR	BCL2
ARRB2	DDX5
ARRB2	STAT1
ARRB2	AGTRAP
ARRB2	SRC
ARRB2	DHX15
ARRB2	ARPC1A
NSUN4	FGF8
PIK3R1	CDC37
PIK3R1	IGF1
PIK3R1	DVL1
PIK3R1	VDAC1
PIK3R1	RARA
PIK3R1	IGHM
PIK3R1	STAT3
PIK3R1	IGKV2D-40
PIK3R1	ALK
PIK3R1	YWHAZ
PIK3R1	EPS15
PIK3R1	FGF8
PIK3R1	IGHV2-5
MRPL58	MRPL41
MRPL58	NDUFS8
DHX15	SRC
DHX15	USP39
DHX15	UNK
DHX15	PIH1D1
DVL1	FGF8
DVL1	APBB1IP
DVL1	CDC37
DVL1	IGKV2D-40
DVL1	GNB2
DVL1	GNG3
DVL1	IGHM
MAPK13	INS
MAPK13	STAT1
PSMB1	ACVR2A
PSMB1	BMPR2
PSMB1	FN1
PSMB1	UNK
STAT1	ALK
STAT1	GPX1
STAT1	BCL2
STAT1	STAT3
STAT1	RARA
STAT1	CTTN
RNF146	PXN
RNF146	PSMD7
RNF146	SH3BP2
ITPR3	VDAC1
ITPR3	PXN
AHSA1	RPN1
AHSA1	CDC37
KANK2	FN1
KANK2	ESR2
KANK2	LZTS1
CHORDC1	SAFB
CHORDC1	CSF3
CHORDC1	CDC37
CHORDC1	CTTN
EIF4E	SOD2
EIF4E	GEMIN5
EIF4E	INS
EIF4E	GPX1
EIF4E	PIH1D1
EIF4E	NUP210
EIF4E	ESR2
EIF4E	NUP37
NDUFS8	OCIAD1
FN1	PSMB2
FN1	BCL2
FN1	HSP90AA1
FN1	GPX1
FN1	IGHM
FN1	DDX5
FN1	TOP2A
FN1	PCNA
FN1	SRC
FN1	DDX3X
FN1	RPN1
FN1	EPS15
TOP2A	DDX5
TOP2A	PCNA
TOP2A	RFC4
TOP2A	MYO6
CAST	SRC
APBB1IP	SRC
APBB1IP	AGTRAP
CASP6	KRT16
NPC2	LDB3
GNB2	SAFB
GNB2	WNT7A
GNB2	STAT3
GNB2	IGHV2-5
GNB2	HSP90AA1
GNB2	GNG3
GNB2	CDC37
GNB2	CCT6A
GNB2	INPPL1
GNB2	SRC
GNB2	RPN1
UNK	OCIAD1
UNK	SAFB
UNK	HSP90AA1
USP39	ESR2
USP39	DDX3X
USP39	INS
PCNA	IGF1
PCNA	SAFB
PCNA	RPN1
DDX5	HSP90AA1
DDX5	ALYREF
DDX5	TOB1
DDX5	SRC
DDX5	CTTN
DDX5	SAFB
DDX5	CDC37
ZNF292	ESR2
ZNF292	INS
ZNF292	LDB3
RARA	INS
RARA	YWHAZ
RARA	CDC37
RARA	RFC4
RARA	DDX3X
GPX1	SOD2
GPX1	VDAC1
EGR4	TRIM55
EGR4	ABI2
EGR4	KCNH3
IGHV2-5	ESR2
IGHV2-5	SRC
IGHV2-5	BCR
IGHV2-5	CDC37
LZTS1	LMNB2
BCR	INPPL1
BCR	SRC
BCR	PXN
BCR	IGKV2D-40
BCR	CDC37
BCR	IGHM
BCR	ESR2
HSP90AA1	INPPL1
HSP90AA1	ALK
HSP90AA1	ABI2
HSP90AA1	VDAC1
HSP90AA1	DDX3X
HSP90AA1	STAT3
HSP90AA1	CTTN
CSF3	HENMT1
CSF3	STAT3
CSF3	PSMD7
CSF3	SUMO2
GRM2	BMP10
GRM2	WNT7A
GRM2	IGF1
KRT16	EPS15
KRT16	INPPL1
KRT16	LDB3
RFC4	SRC
RFC4	EDC4
RFC4	SAFB
ESR2	SRC
ESR2	STAT3
ESR2	YWHAZ
ESR2	LMNB2
ESR2	BMP2K
ESR2	ABI2
ESR2	FGF8
ESR2	ALYREF
ESR2	DDX3X
ESR2	MYO6
ESR2	IGKV2D-40
ESR2	EDC4
ESR2	TOB1
ESR2	CTTN
SAFB	SRC
SAFB	EPS15
SAFB	CTTN
SAFB	CDC37
SAFB	EDC4
SAFB	ARPC1A
SAFB	CCT6A
SAFB	PSMD7
SAFB	COX15
SAFB	DDX3X
HENMT1	INS
SOD2	BCL2
SOD2	IGF1
SOD2	VDAC1
SH3BP2	STAT3
IGHM	GNG3
IGHM	CDC37
FGF8	GNG3
FGF8	LMNB2
FGF8	SRC
FGF8	CDC37
FGF8	TREM2
MRPL41	TRIM55
BMPR2	ACVR2A
BMPR2	ACVR1B
INPPL1	GNG3
INPPL1	IGKV2D-40
INPPL1	EPS15
TFAM	AGTRAP
ATE1	INS
IGKV2D-40	ABI2
IGKV2D-40	SRC
GEMIN5	RPN1
GEMIN5	PIH1D1
GEMIN5	INS
GEMIN5	DDX3X
TYR	IGF1
COX15	MYO6
BMP10	ACVR2A
ALYREF	NUP210
CDC37	GNG3
CDC37	SRC
CDC37	LMNB2
YWHAZ	PIH1D1
YWHAZ	CCT6A
BMP2K	MYO6
BMP2K	SRC
BMP2K	INS
PSMD7	ACVR1B
PSMD7	RPN1
VDAC1	RPN1
VDAC1	PIH1D1
VDAC1	DDX3X
INS	LMNB2
INS	ABI2
ACVR2A	BMPR1A
ACVR2A	STAT3
IGF1	SRC
IGF1	BCL2
SRC	CTTN
SRC	AGTRAP
SRC	STAT3
SRC	ARPC1A
SRC	CCT6A
SRC	PXN
SRC	ABI2
SRC	MYO6
CCT6A	RPN1
ALK	MYO6
ALK	PXN
MYO6	CTTN
RPN1	DDX3X
RPN1	ARPC1A
RPN1	CTTN
PXN	CTTN
BMPR1A	STAT3
STAT3	PIH1D1
SLC9A8	LDB3
EPS15	ARPC1A
