#tail	head
PTPRZ1	MET
RABL6	FOXF2
CHEK2	KPNB1
CHEK2	RAD9A
NR3C1	PSMC3IP
NR3C1	AR
NR3C1	FOXF2
NR3C1	EPB41L1
NR3C1	H2AFZ
NR3C1	ESR1
NR3C1	RAD9A
NR3C1	ESR2
PRDM10	CUL1
PRDM10	ESR2
HBP1	MYC
HBP1	ZNF800
HBP1	BAZ1B
HBP1	XBP1
IL12B	ESR1
IL12B	HIST1H4E
WDFY3	CD79B
WDFY3	ESRRA
WDFY3	APP
ESR1	PAK1
ESR1	APP
ESR1	GLS
ESR1	FGF8
ESR1	XBP1
ESR1	CLCC1
ESR1	ITK
ESR1	SEPT2
ESR1	ACTN4
ESR1	TSHB
ESR1	HIST1H4E
ESR1	RAD9A
ESR1	AR
ESR1	ESRRA
ESR1	PSMC3IP
ESR1	BAIAP2
ESR1	INS
ESR1	HNRNPD
ESR1	MYC
ESR1	RARA
ESR1	POLR2E
ESR1	FMR1
ITK	DUPD1
ITK	AREG
ITK	ESR2
WDR18	FBL
RPS19	RPL7A
RPS19	EEF1A1
RPS19	CCDC8
RPS19	NPM1
RPS19	MYC
CENPH	FBL
CENPH	NUP93
CENPH	NUP107
CENPH	H2AFZ
MET	MYC
MET	DUPD1
MET	MST1R
MET	AGO2
MET	FGF8
MET	BAIAP2
FZD8	TSHB
FZD8	AREG
FZD8	NRG3
AR	NSUN5P2
AR	RNF6
AR	EPHA7
AR	IFI16
AR	KPNB1
AR	HOXB7
AR	OSM
AR	HIST1H4E
AHSA1	SFPQ
AHSA1	HIST1H4E
AHSA1	APP
RPL7A	HNRNPD
RPL7A	RARA
RPL7A	EEF1A1
RPL7A	RRS1
RPL7A	CCDC8
RPL7A	FBL
CAMK2B	ACTN4
CAMK2B	PICK1
MST1R	DUSP13
MST1R	PTPRG
ABI1	IGLV2-14
ABI1	NRG3
FRG1	PNN
PNN	RALY
PNN	SFPQ
PNMA2	BAIAP2
EPHA7	DUPD1
EPHA7	PICK1
EPHA7	ESRRA
TSHB	DRD3
PREX2	FOXF2
PREX2	PAK1
PREX2	MYC
FXR1	SDC4
FXR1	CUL1
FXR1	AGO2
FXR1	SFPQ
PSMC3IP	POLR2E
IGLV2-14	CD79B
IGLV2-14	AREG
IGLV2-14	NRG3
H2AFZ	NPM1
H2AFZ	POLR2K
H2AFZ	AGO2
H2AFZ	RARA
FKBP14	XBP1
FKBP14	FOXF2
FOXF2	PAK1
FOXF2	MYC
FOXF2	RARA
FOXF2	RAB5B
FOXF2	INS
RARA	POLR2E
RARA	ACTN4
RARA	MYC
RARA	INS
RARA	CUL1
RARA	POLR2K
RARA	ESRRA
RARA	CCDC8
RARA	FBL
RARA	RRS1
NUP107	NUP93
NUP107	ZWINT
NUP107	IFI16
NUP107	AGO2
FMR1	INS
FMR1	MYC
FMR1	SDC4
FMR1	SIPA1L3
FMR1	ESR2
SEPT2	EEF1A1
SEPT2	EPB41L1
SEPT2	KPNB1
SEPT2	AGO2
SEPT2	EPS15
SEPT2	RALY
SEPT2	HNRNPD
SEPT2	SFPQ
DRD3	AREG
DRD3	NRG3
DRD3	INS
CCDC8	VANGL1
CCDC8	KPNB1
CCDC8	STAU1
BAZ1B	IFI16
BAZ1B	PTPRG
BAZ1B	DUSP13
BAZ1B	HIST1H4E
BAZ1B	MYC
BAZ1B	POLR2E
SFPQ	KPNB1
SFPQ	HNRNPD
SFPQ	STAU1
SFPQ	SIPA1L3
SFPQ	NPM1
SFPQ	EEF1A1
SFPQ	EPB41L1
SFPQ	FBL
KPNB1	NUP93
KPNB1	MYC
KPNB1	HNRNPD
KPNB1	SIPA1L3
ESR2	EEF1A1
ESR2	STAU1
ESR2	GABPB1
ESR2	BAIAP2
ESR2	POLR2E
ESR2	ARHGAP35
ESR2	SDC4
ESR2	NFKBIA
ESR2	SCRIB
ESR2	NUP93
ESR2	HIST1H4E
ESR2	AGO2
ESR2	ESRRA
ESR2	RALY
EEF1A1	FBL
EEF1A1	CUL1
EEF1A1	INS
EEF1A1	SDC4
EEF1A1	POLR2E
RAD9A	MYC
FGF8	AREG
CHRM2	RAB5B
SIPA1L3	HNRNPD
SIPA1L3	AGO2
SIPA1L3	EPS15
SIPA1L3	RALY
MYC	HOXB7
MYC	AGO2
MYC	INS
MYC	NPM1
MYC	ESRRA
MYC	GLS
MYC	PPA2
MYC	APP
MYC	CD79B
VANGL1	SDC2
RAB5B	EPS15
RAB5B	AREG
DUPD1	PICK1
DUSP13	PPA2
HIST2H2BF	HIST1H4E
SDC2	EPB41L1
IFI16	HIST1H4E
IFI16	RRS1
SDC4	RALY
POLR2K	POLR2E
POLR2K	AGO2
MIPOL1	APP
GABPB1	HNRNPD
GABPB1	ZNF384
GABPB1	TRAF2
CLCC1	PTPRG
CUL1	AGO2
CUL1	HIST1H4E
CUL1	INS
CUL1	NFKBIA
PTPRG	SERPINA12
NUP93	NPM1
NUP93	AGO2
INS	STAU1
INS	ZNF384
INS	NFKBIA
INS	SCRIB
INS	AREG
INS	ISCA1
NPM1	RRS1
NPM1	RALY
NPM1	POLR2E
NPM1	APP
ZNF384	HNRNPD
ZNF384	HOXB7
ZNF384	TMEM164
BAIAP2	APP
BAIAP2	AREG
BAIAP2	PAK1
BAIAP2	NRG3
TRAF2	EPS15
PAK1	SCRIB
ZNF17	PICK1
HIST1H4E	AGO2
CD79B	NRG3
CD79B	AREG
FBL	RRS1
FBL	RALY
NSUN5P2	RALY
XBP1	APP
AREG	APP
HNRNPD	RALY
STAU1	RALY
STAU1	APP
