#tail	head
E4F1	DNAJC27
OCRL	RHOB
OCRL	GNG3
OCRL	CFL1
OCRL	GNG5
OCRL	RAC1
OCRL	RAB1B
OCRL	PLA2G10
ECSIT	APP
ECSIT	NDUFA12
ECSIT	TAB1
GNG5	GPRC6A
GNG5	RAC1
GNG5	APP
GNG5	GARNL3
GNG5	GNG3
GNG5	INS
RBAK	ZNF330
RBAK	ENTPD3
COL6A1	ACAN
COL6A1	INS
COL6A1	LUM
COL6A1	SMC3
COL6A1	SHC2
COL6A1	PLA2G10
COL6A1	COL9A2
COL6A1	COL1A2
GNG3	APP
GNG3	RAC1
GNG3	GARNL3
GNG3	GPRC6A
ENTPD3	POLE4
ENTPD3	ACSL4
ENTPD3	NDUFA12
ENTPD3	ACSM5
ENTPD3	MARK1
ZMYM6	INS
ZMYM6	FHL5
POLE4	KAT14
TAB1	TGFB3
TAB1	CFL1
TGFB3	ACAN
TGFB3	INS
TGFB3	LUM
COL1A2	INS
COL1A2	SMC3
COL1A2	COL9A2
COL1A2	APP
COL1A2	LUM
COL1A2	SHC2
COL1A2	ACAN
CFL1	APP
CFL1	FBXO7
CFL1	INS
ARHGAP42	DEF6
ARHGAP42	RHOB
ARHGAP42	RAC1
SHC2	SMC3
SHC2	ACAN
SHC2	COL9A2
SHC2	LUM
COL9A2	LUM
COL9A2	SMC3
COL9A2	ACAN
DEF6	RAC1
DEF6	APP
BCL6B	CALCOCO2
BCL6B	FHL5
NUDT16L1	APP
NUDT16L1	FBXO7
MARK1	ACSL4
MARK1	NDUFA12
ACSM5	PLA2G10
ACSM5	ACSL4
ACSM5	ACOX1
RHOB	RAC1
ZNF408	FHL5
ZNF408	APP
ZNF408	ZNF330
ZNF408	CALCOCO2
ZNF408	CDC16
DNAJC27	INS
DNAJC27	GARNL3
CDC16	KAT14
CDC16	PSMC1
TUBB3	INS
TUBB3	DYNLL2
TUBB3	PLA2G10
KAT14	INS
ACAN	LUM
ACAN	INS
ACAN	SMC3
DYNLL2	INS
DYNLL2	RAB1B
DYNLL2	SMC3
ACSL4	PLA2G10
ACSL4	APP
ACSL4	ACOX1
FBXO7	APP
FBXO7	PSMC1
INS	APP
INS	RAB1B
INS	LUM
INS	RAC1
LUM	SMC3
PLA2G10	APP
RAC1	APP
APP	PSMC1
APP	RAB1B
