#tail	head
GTSE1	PSMB9
SRSF3	NXF2B
SRSF3	VCP
CCDC14	FXR1
LRPPRC	SEH1L
C3	VDR
SORCS1	HNF4A
ITGAD	LAMB3
ITGAD	COL4A1
PPIB	TMEM237
GCC1	HDX
GSTA1	IL6
TAB1	UBA1
MAP1LC3B	TUBA1C
MAP1LC3B	TRIM21
PTPN12	EGF
SRGAP2	RHOU
RPS25	EWSR1
NRAS	IRS2
NRAS	FGF18
EED	H1F0
GNGT1	OR52E8
GNGT1	FGF10
GNGT1	OR10K1
GNGT1	INSL5
WDFY1	SNX2
ORAI2	SLC24A3
NTN4	BACH1
ITGA7	MYOD1
SIKE1	NRF1
CEP63	CEP164
RFXANK	PHB2
ADRM1	CLDN3
TUBB	COPE
BAD	HNRNPL
PAN2	YBX1
MYL12B	GRB2
ITGA2B	HIST1H4K
PPAT	NME7
SNRNP27	ARF6
CCT2	WWP2
CCT2	MAPK15
CCT2	ALKBH3
C1S	HNF4A
E2F1	H2AFZ
ATRX	NAF1
CENPL	VIRMA
CENPL	INCENP
VPS37A	INS
AQP6	SLC39A7
FBP1	CROT
HIST1H4J	XPO7
CTBP1	LEF1
NDUFA7	PDLIM5
FZD7	BMP8B
ANKRD36BP1	KRT40
BCAM	ATP6V0A2
VASP	ESR2
ITGA3	FBXO6
PPP2R2B	IQGAP1
NR5A1	MYC
DHH	SRF
SLC10A1	CMTM3
LEF1	PIP5K1A
LEF1	REEP6
LEF1	HIST1H2BA
LEF1	MAP1B
PRKAA1	SARS
MAFG	MDM2
LAP3	NME1
SLC30A8	TMEM11
PJA1	TK1
NDEL1	KIF19
NPM1	CASP3
MATK	PTPRG
JARID2	CAMTA1
JARID2	SEC61B
AGPAT1	UPF2
NUDT6	INS
XRN1	SEMA7A
TRIM28	MDM2
DHFR2	LIPH
CTAG1B	HLA-DRB3
CTAG1B	STRA8
CTAG1B	ARHGEF28
GAPDHS	EYA3
RUNX1T1	OTUD4
RUNX1T1	KRTAP6-2
RUNX1T1	MSX1
PSMB9	PSMG2
TRPC3	MYL6B
TRPC3	SLC17A7
SIAH1	RARA
NRF1	TBC1D15
NRF1	MRPL30
NRF1	PPP1R15B
KMT2C	JUN
MRPL19	MRPS31
MRPL19	MRPS6
TOMM70	HNF4A
GRB2	IGKV2D-28
UBXN10	MYC
GPBAR1	S100A8
AMPD1	GATA1
SERTAD2	IGFN1
LMO4	BRCA1
NSUN2	ARRB2
GCG	COL6A2
MYC	FGF11
MYC	MYCL
MYC	MAPK7
PUM3	PDGFB
FBXW11	FAF1
COL4A6	ITGAL
KRT9	ZBTB33
DACT1	REPIN1
HIST1H3A	IL6
ITGA6	COL6A2
IFT80	TRAF3IP1
TRMT61B	MMAB
LSM8	HNRNPA1
DBP	CEBPG
LRFN1	KIF1B
PSMD8	CKS1B
C16orf70	TOLLIP
SCO1	ELK1
GABPA	CEP135
GABPA	DHX8
GABPA	SIK3
CRK	PTF1A
YAF2	EWSR1
HOXC6	GATA1
SOD2	NCF2
ACHE	APOA1
UBE2A	UBC
PTPMT1	WEE1
TUBG1	TUBA3D
RPLP2	RIPK4
MAP3K5	TFAP4
HNRNPA1	CDK9
TMEM11	RETREG3
RNF4	CSPG4
RNF4	TPI1
PPFIA2	CEBPG
TK1	TAF1C
FMR1	DDIT4L
SNCAIP	FIG4
SLC38A4	NME3
ESR1	NAA50
ESR1	HIST1H2BO
ESR1	CCT3
SLC25A4	SCGB2A2
SRSF11	IGF2BP3
SOX2	FOXD3
TMEM207	SCAND1
HID1	EHHADH
SRF	H2AFX
