#tail	head
BTRC	NCOR2
COL12A1	MMP12
NOS2	CUL5
NOS2	IL1A
NOS2	ESR1
KLRC3	NCOA2
TRAM1	ESR1
TRAM1	RPL8
MMP12	F12
SEPHS1	CNN3
SEPHS1	ESR1
SEPHS1	CASK
SEPHS1	P4HB
SEPHS1	RPL4
RRP1	RIOK1
RRP1	GABARAP
KIF2A	CAPZA2
MCM5	CAPZA2
UBE2D3	KLHL42
UBE2D3	HECTD3
SHC1	ESR1
ESR1	SF3B1
ESR1	RPS14
ESR1	P4HB
ESR1	NCOA2
RIOK1	RPS14
NCOR2	RXRB
TTC26	UFD1
VCPIP1	UFD1
CUL5	UBE2W
CUL5	KLHL42
CUL5	RPS14
ZCCHC8	SF3B1
P4HB	UBXN10
CIC	CSNK2B
UBE2W	KLHL42
SF3B1	GABARAP
RXRB	CALCOCO2
NCOA2	CYP27B1
CNN3	GABARAP
UBXN8	UFD1
TRIM31	CALCOCO2
