#tail	head
HRG	PLSCR1
C4BPB	SLC30A3
INO80	HIST1H4K
INO80	HIST1H4A
INO80	TUBA1B
ESR1	MDM4
ESR1	ILK
ESR1	RPL36
ESR1	NF1
ESR1	NFKBIA
ESR1	SLC30A3
ESR1	TUBA1A
ESR1	UBE2I
ESR1	HIST1H4A
ESR1	TUBA1B
ESR1	MYOD1
NF1	APP
NF1	RBBP4
NF1	PITX2
NF1	NFKBIA
NF1	SPRY1
NF1	CREB1
NF1	EIF4E2
MAP1LC3B	CASP9
MAP1LC3B	CORO1C
MAP1LC3B	HNRNPH1
MAP1LC3B	TP53
MAP2K1	HNRNPA1
MAP2K1	PPARG
MAP2K1	CDKN2A
MAP2K1	RPL7
MAP2K1	SRC
MAP2K1	YWHAQ
MED8	LEP
MED8	PCK1
MED8	MYOD1
F8	SLC31A2
RPS12	HNRNPA1
RPS12	APP
RPS12	RPL39
RPS12	SMG8
ARID2	HIST1H4K
ARID2	HNRNPA1
ARID2	HIST1H4A
UBE2I	APP
UBE2I	PPARG
UBE2I	HNRNPA1
UBE2I	TP53
UBE2I	RPL7
UBE2I	PCK1
RPL7	RPL39
RPL7	YBX1
YWHAQ	HNRNPA1
YWHAQ	TP53
YWHAQ	WDR62
YWHAQ	TUBA1A
YWHAQ	E2F1
YWHAQ	HIST1H4K
YWHAQ	HIST1H4A
ALKBH3	HNRNPH1
ALKBH3	TUBA1A
CDKN2A	HIST1H4K
CDKN2A	RBBP4
CDKN2A	EFHC2
CDKN2A	E2F1
GPT	RALA
HNRNPA1	SRC
HNRNPA1	E2F1
HNRNPA1	HNRNPH1
HNRNPA1	RPL36
HNRNPA1	YBX1
HNRNPA1	NFKBIA
HNRNPA1	TUBA1A
HNRNPA1	RPL39
TSGA10	RCOR3
TSGA10	ZNF205
HIST1H4K	CFLAR
HIST1H4K	PPARG
HIST1H4K	RBBP4
DCUN1D1	HNRNPH1
PSMB4	EGF
PSMB4	PCK1
PSMB4	PEX19
EIF4E2	TP53
EIF4E2	POMGNT2
EIF4E2	SLC31A2
EIF4E2	APP
CASP9	TP53
CASP9	APP
CASP9	LYN
E2F2	PEX19
LEP	MDM4
LEP	TP53
LEP	MYOD1
RALA	CNKSR2
PITX2	TP53
PITX2	NCL
PITX2	YBX1
PITX2	XK
PEX19	E2F1
CFLAR	HNRNPH1
CFLAR	HIST1H4A
LYN	SRC
LYN	EGF
LYN	PTPRU
CORO1C	RNF6
CORO1C	MYO19
CORO1C	SRC
UTP4	NCL
UTP4	APP
PLSCR1	SRC
PLSCR1	OXTR
PLSCR1	EGF
XK	E2F1
SLC30A3	TP53
SLC30A3	MDM4
SLC30A3	MYOD1
HNRNPH1	HIST1H4A
HNRNPH1	NCL
HNRNPH1	TP53
HNRNPH1	TUBA1A
HNRNPH1	SLC31A2
IFNA1	NFKBIA
IFNA1	NCL
IFNA1	APP
IFNA1	TP53
IFNA1	MDM4
IFNA1	WDR62
IFNA1	YBX1
PPARG	AGER
PPARG	PCK1
E2F1	WDR62
PCK1	GNA12
PCK1	PTPRU
PCK1	CA10
PCK1	CREB1
MYO19	MYOD1
MYO19	TUBA1B
MYOD1	CA10
MYOD1	CNKSR2
MDM4	APP
MDM4	TP53
TUBA1B	TUBA1A
TUBA1B	APP
TUBA1A	DLG1
TUBA1A	NFKBIA
TUBA1A	RPL36
TUBA1A	NCL
TUBA1A	YBX1
TUBA1A	TP53
SRC	PTPRU
SRC	EGF
SRC	TP53
SRC	DLG1
SRC	CTNND1
SRC	NCL
SRC	APP
RCOR3	APP
ILK	CREB1
TIGAR	APP
TIGAR	CREB1
TIGAR	TP53
GNA12	APP
GNA12	CTNND1
SMG8	RPL36
EGF	APP
EGF	OXTR
EGF	CREB1
EGF	NFKBIA
NCL	RPL36
NCL	TP53
TP53	SLC31A2
TP53	CREB1
TP53	NFKBIA
PTPRU	APP
CTNND1	APP
CTNND1	KIFC3
CTNND1	DLG1
CREB1	RBBP4
RPL36	APP
YBX1	SLC31A2
NFKBIA	APP
